,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.3773296992466333,0.3773296992466333,0.012004036219278655,0.012004036219278655
16,sett_cutoff,sett_stratify_split,,,,,,,,0.28939902451208804,0.7448655494751084,0.01865537426372791,0.023053651978898287
0,sett_cutoff,,,,,,,,,0.07813682571638708,0.07813682571638708,0.004750111033671205,0.004750111033671205
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.005955729514350017,0.7569648229114764,0.0013924120958003822,0.022699582959650643
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.004895865453745246,0.7594874176402058,0.003467041241640955,0.02308590437436923
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.004480828600107047,0.08626380998846442,0.002225455047793617,0.005023496213175369
2,sett_exclude_features,,,,,,,,,0.0041355052254285676,0.0041355052254285676,0.0012104010747199126,0.0012104010747199126
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.004021653906104656,0.7766527222135031,0.0019343916137502563,0.022356059206655055
7,sett_scale,,,,,,,,,0.003982622571717244,0.003982622571717244,0.001346777332540397,0.001346777332540397
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.003944367369905846,0.09682108537057753,0.00207716741809779,0.0069888115758711565
6,sett_preprocess_income,,,,,,,,,0.0036461556719702927,0.0036461556719702927,0.0016926686158329277,0.0016926686158329277
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.00317103264077072,0.7833292794880969,0.0016151212585965968,0.02342092144234608
178,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,,,,,,0.0030988124299133665,0.11415754562008909,0.0019760068477704057,0.011935307164617074
36,sett_model,sett_preprocess_income,,,,,,,,0.003046625151600318,0.0075954221864949645,0.0012928194176520622,0.002311842430555094
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.0030261520275402997,0.7544388368703119,0.0016814108241235417,0.023084495418885603
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.002849812396559953,0.7530891394574588,0.0016624128052247348,0.02313096466667564
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0027648408046054285,0.7710638295389549,0.0010642861602212083,0.022878739951616857
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.0026859840587621147,0.8053130690797228,0.0008909369768819612,0.02365493716865246
12,sett_cutoff,sett_model,,,,,,,,0.00266364149768259,0.08170310857699403,0.0012085149602877657,0.004580793380138309
3,sett_exclude_subgroups,,,,,,,,,0.0026382775638898576,0.0026382775638898576,0.0008559841026905408,0.0008559841026905408
38,sett_model,sett_stratify_split,,,,,,,,0.0025772610614108763,0.38080960167096856,0.0008641197571306964,0.011909594695863713
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.00252881558283587,0.770737760784198,0.0006818786620362677,0.023335182632708413
42,sett_preprocess_income,sett_scale,,,,,,,,0.0024950390493718175,0.010123817293059353,0.00130177935324918,0.003014061478691835
25,sett_exclude_features,sett_model,,,,,,,,0.0024923163717136274,0.00753046296006655,0.001295037476560182,0.0020264875727332124
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.0024024510599861817,0.01816382233102115,0.0016939306390515003,0.005469270685236225
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.002368269951157855,0.009142052740476282,0.0007737932930994643,0.002110233414868186
323,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,0.0022151308135583106,0.8102756021601111,0.0012570434579192618,0.0244740756081104
70,sett_cutoff,sett_preprocess_income,sett_scale,,,,,,,0.002208056488271414,0.09543415073840307,0.0013204254799360038,0.006561057823684521
102,sett_exclude_features,sett_model,sett_stratify_split,,,,,,,0.0021336734358361276,0.3910590863853237,0.0012289161073624556,0.01145823326752723
173,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,,0.0019506872458505023,0.7719249730260223,0.0007436428078092833,0.02289651376001196
37,sett_model,sett_scale,,,,,,,,0.0016882874634509435,0.006573551398092541,0.0010291545367560077,0.001937031277682607
314,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0016346681927146675,0.8054360834304943,0.0007314368821952127,0.02312082210810612
304,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0016258431827984388,0.8104384854511595,0.000750739117523753,0.022600869758529676
163,sett_cutoff,sett_exclude_features,sett_preprocess_income,sett_stratify_split,,,,,,0.0016026987399618228,0.772709704806782,0.0010144353647646397,0.022999804147295085
43,sett_preprocess_income,sett_stratify_split,,,,,,,,0.001599018439274702,0.3825748733578783,0.000703097002161061,0.01100986655592964
98,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0015981793932312253,0.39103647184691004,0.0005198148946375816,0.011973781032606155
123,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,,0.0015805632492464606,0.39068196418306034,0.0007569942104031857,0.010125662105843801
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.0015800690043107563,0.09103953715874005,0.0005666878207878769,0.00462022918826066
184,sett_cutoff,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,,0.00152539735025799,0.7731336038724986,0.0008361907057575647,0.022922928853527886
177,sett_cutoff,sett_model,sett_preprocess_age,sett_stratify_split,,,,,,0.0015178089820301467,0.7629817689400955,0.0007651524948830888,0.021622160202928682
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.0014879896813768442,0.38295319415343876,0.0006836813749089779,0.011662377577383252
298,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,0.001479982524641689,0.7965690844151647,0.0006348851848434907,0.022916377618472365
34,sett_exclude_subgroups,sett_stratify_split,,,,,,,,0.0014785507851923499,0.3814465275957155,0.0005183728323549472,0.011931104381342665
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.0014669681931689196,0.09072153882816286,0.0007141020899228359,0.005192957067805891
174,sett_cutoff,sett_exclude_subgroups,sett_scale,sett_stratify_split,,,,,,0.0014389582486217076,0.7638837808833856,0.0006024387976818315,0.02297662910327582
223,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0013869098188723397,0.403753733024929,0.0005134141985811395,0.012212376398726691
315,sett_cutoff,sett_exclude_subgroups,sett_model,sett_scale,sett_stratify_split,,,,,0.001330602972265683,0.7897547528381693,0.0004472189988870477,0.022864026919368497
44,sett_scale,sett_stratify_split,,,,,,,,0.0013224881406156794,0.38263480995896626,0.000578764635832937,0.012089953574885973
321,sett_cutoff,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,0.0013203784687778686,0.7952532719930812,0.0008675109444147491,0.02290551404425477
420,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,0.001316018719510381,0.8535731393298875,0.0005559755798050472,0.022817120697058154
150,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,0.0012963342880022836,0.10284330021778945,0.0003669644276133005,0.005838081240753489
182,sett_cutoff,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,,0.001295332689552131,0.765174695197254,0.0007476475680276112,0.02226628952844188
299,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_scale,sett_stratify_split,,,,,0.0012876756676025382,0.7877759169925094,0.000744334723390316,0.023795243899606865
69,sett_cutoff,sett_preprocess_age,sett_stratify_split,,,,,,,0.0012629214542576896,0.7475520121211505,0.000971056813631373,0.022282592528124697
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.0012569492367082188,0.08203205251698517,0.000565624210428847,0.004499930419930769
112,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,,0.0012454926365338278,0.3870341110057437,0.0004915823189488858,0.011748649059511512
180,sett_cutoff,sett_model,sett_scale,sett_stratify_split,,,,,,0.0012411066105252073,0.7683964465866093,0.0005518199169094317,0.022301794667130715
317,sett_cutoff,sett_exclude_subgroups,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,0.0011957155042842474,0.7829591841374568,0.0006469665750378546,0.021341302983274392
171,sett_cutoff,sett_exclude_subgroups,sett_preprocess_age,sett_stratify_split,,,,,,0.0011910727404300901,0.7583944021101681,0.0006147387202359847,0.021796830515540377
302,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_age,sett_stratify_split,,,,,0.0011889475853438893,0.7876556798871106,0.0007370940588635873,0.021555735902739622
305,sett_cutoff,sett_exclude_features,sett_model,sett_scale,sett_stratify_split,,,,,0.0011787542419565045,0.7934451968765224,0.0005920169115967936,0.022398447580678153
312,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_stratify_split,,,,,0.0011278483696417424,0.7822712190992434,0.0005674178086944296,0.02101348878094056
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.0011167781415687013,0.01451597696584209,0.00035445299982641074,0.0032082238090940054
421,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_scale,sett_stratify_split,,,,0.001096177802430343,0.835957808409367,0.0005724082586266519,0.025925086689573124
117,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,,,0.0010721750251942112,0.3881891640509625,0.00033529481171574,0.010884407635037683
164,sett_cutoff,sett_exclude_features,sett_scale,sett_stratify_split,,,,,,0.0010437145942942523,0.7638100797654995,0.00045546088124234676,0.022778884343447717
319,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,0.0010270061714636404,0.7919276660817847,0.0005608827972880407,0.02237525266536291
58,sett_cutoff,sett_exclude_subgroups,sett_model,,,,,,,0.0010028948548298062,0.08746341858158103,0.0004165550563105591,0.004504943695342232
72,sett_cutoff,sett_scale,sett_stratify_split,,,,,,,0.0009919088606898687,0.7516471916887094,0.0007632916117223344,0.022785714938592144
65,sett_cutoff,sett_model,sett_scale,,,,,,,0.0009765685462224253,0.08883520979896281,0.0006665102687354119,0.0052114847029239054
234,sett_exclude_features,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.0009717349885457312,0.40370184597136993,0.0005777215478312644,0.009565494023458354
118,sett_exclude_subgroups,sett_scale,sett_stratify_split,,,,,,,0.0009484347508210542,0.38858255142383913,0.0004397013983957122,0.012263970648196404
244,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.0009397691555969262,0.3997750060233733,0.0003594055564374687,0.00975804892050718
253,sett_model,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,,0.0009337606747311856,0.4048866831150577,0.0006145720723227334,0.009346372862958767
10,sett_cutoff,sett_exclude_features,,,,,,,,0.0009236404608577024,0.08319597140267335,0.0006348536848219937,0.004649285906305348
107,sett_exclude_features,sett_preprocess_income,sett_stratify_split,,,,,,,0.0009163333578514376,0.38959294774378717,0.0005013727888584497,0.010840679137263241
161,sett_cutoff,sett_exclude_features,sett_preprocess_age,sett_stratify_split,,,,,,0.0009083530045177142,0.7594690882274063,0.0003543830429615966,0.022327010573985392
4,sett_model,,,,,,,,,0.0009026413629243539,0.0009026413629243539,0.0005619744197826136,0.0005619744197826136
296,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_age,sett_stratify_split,,,,,0.000886821995983129,0.7805679917496959,0.000394641912082398,0.021768010553391833
33,sett_exclude_subgroups,sett_scale,,,,,,,,0.0008824783649696327,0.007503378500576734,0.00044359283889682465,0.0019773373824317963
97,sett_exclude_features,sett_exclude_subgroups,sett_scale,,,,,,,0.0008708897218828627,0.015479376013990949,0.0006942730230327342,0.0038521357583093246
30,sett_exclude_subgroups,sett_model,,,,,,,,0.0008621883491591266,0.004403107275973338,0.0004091460324616382,0.0009987466066473498
309,sett_cutoff,sett_exclude_features,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,0.0008527920752186104,0.7910142305615799,0.0005520085797447897,0.02319551237447828
229,sett_exclude_features,sett_exclude_subgroups,sett_scale,sett_stratify_split,,,,,,0.0008281708679032579,0.40111355567260176,0.000595646575250571,0.01276612909441011
418,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_stratify_split,,,,0.0008164060628596494,0.8257657064820607,0.00037877521804334274,0.02218567706942473
307,sett_cutoff,sett_exclude_features,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,0.0008103661613599736,0.7826539118874513,0.0003614619236007218,0.02216814173094983
148,sett_cutoff,sett_encode_categorical,sett_preprocess_income,sett_stratify_split,,,,,,0.0007896344809418038,0.7625299640334883,0.0007394180133418313,0.023330712170084193
166,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,0.0007880935572020956,0.10499189307072707,0.0004043345093668759,0.006856991896568708
228,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,,0.0007823440468334194,0.4003919432868518,0.0002841214354457675,0.011292526459777744
63,sett_cutoff,sett_model,sett_preprocess_age,,,,,,,0.000781886097015792,0.08364854078882888,0.0003912380673529944,0.004893623173435423
183,sett_cutoff,sett_preprocess_age,sett_scale,sett_stratify_split,,,,,,0.0007745991792213001,0.7557662507430671,0.0010778736838195592,0.021605839615583187
156,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,,,,,,0.0007706461120134817,0.10814421201362469,0.0003931576340298231,0.00750828645615873
60,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,,,,,,,0.0007658158136137355,0.09135013992148397,0.0003981908874691755,0.004879653249962373
432,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,0.000759492659924373,0.82714627723168,0.00031582386449900484,0.021512839828418614
121,sett_model,sett_preprocess_age,sett_stratify_split,,,,,,,0.000755411537890039,0.38278004212156935,0.00046365156497439115,0.011859095475771459
429,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,sett_scale,sett_stratify_split,,,,0.0007482319192337035,0.8466376108425866,0.00040294218956272754,0.023114605001041046
124,sett_model,sett_scale,sett_stratify_split,,,,,,,0.0007440188413335326,0.38854701868808594,0.0004260719501066776,0.011767415320497916
61,sett_cutoff,sett_exclude_subgroups,sett_scale,,,,,,,0.0007431278479134553,0.08812490394216367,0.00041099042375132116,0.005015107322260713
284,sett_cutoff,sett_encode_categorical,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0007430638269028283,0.7894049575725981,0.0007610303451112578,0.024659484848176906
318,sett_cutoff,sett_exclude_subgroups,sett_preprocess_age,sett_scale,sett_stratify_split,,,,,0.0007427705632098684,0.7723160060327914,0.0006207575805863013,0.020877682114985058
126,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,,,0.0007345972786691676,0.38463231461198566,0.0003286357213882472,0.010882788556727613
364,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0007087380405378174,0.42157976098472016,0.00028977253875937857,0.010194475733269528
291,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,0.0007075203244330473,0.12485589746488004,0.00042841096647349146,0.007278994065852291
425,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,sett_scale,sett_stratify_split,,,,0.0007070126889163481,0.8267103048083337,0.00035494313148954823,0.02359539641792703
434,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_scale,sett_stratify_split,,,,0.0007040245987638568,0.843770958878115,0.000344426616646678,0.023617372531415295
423,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,0.0006982872009417304,0.815827538945707,0.0003188464140428613,0.020690789377747758
251,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,,0.000686372660641883,0.3947646189635441,0.0003944640575978394,0.00987384396654752
292,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_scale,,,,,0.0006861979049036099,0.11757653002495597,0.0004900376676921405,0.009036712497666107
322,sett_cutoff,sett_model,sett_preprocess_age,sett_scale,sett_stratify_split,,,,,0.0006825594012059891,0.7774698194944695,0.0004789801155580746,0.02040484448582292
153,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_scale,,,,,,0.0006671778434093007,0.09957567544366609,0.0004126454840610547,0.0060339128449907195
167,sett_cutoff,sett_exclude_subgroups,sett_model,sett_scale,,,,,,0.000651762606100384,0.09750494518442004,0.000304133209473465,0.005963810856451917
55,sett_cutoff,sett_exclude_features,sett_preprocess_income,,,,,,,0.0006517215523075444,0.09245292334831029,0.00031034146196781264,0.005253026694669846
152,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,,,,,,0.0006482522607973442,0.10257175595635373,0.0002982329594400587,0.005134510510014667
108,sett_exclude_features,sett_scale,sett_stratify_split,,,,,,,0.0006406667928370272,0.38950030427355364,0.0004235847395692166,0.011813380302701867
128,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,,,0.0006360511307907811,0.39101107425037385,0.00035476983132073226,0.01069172562413086
247,sett_exclude_subgroups,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,,0.0006336576081441237,0.3921521620780327,0.0003266780431620537,0.010765135557081699
111,sett_exclude_subgroups,sett_model,sett_scale,,,,,,,0.0006320565618867415,0.011588552237997901,0.0003254064920498903,0.002817523254686839
245,sett_exclude_subgroups,sett_model,sett_scale,sett_stratify_split,,,,,,0.0006318782715027978,0.39786637597204133,0.0002292615253326094,0.01195169144389604
324,sett_cutoff,sett_preprocess_age,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,0.0006294020367287004,0.7817282330887783,0.00033937345406478736,0.02168522466267537
155,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_age,,,,,,0.0006246306436817258,0.0944319301866289,0.00036690937103030084,0.00565047000191213
427,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,0.0006236549492308929,0.8308096729625186,0.0002829782428312023,0.022454840129575927
436,sett_cutoff,sett_model,sett_preprocess_age,sett_preprocess_income,sett_scale,sett_stratify_split,,,,0.0006035996300850244,0.8282151184111419,0.00032353842275327933,0.02263151928957278
115,sett_exclude_subgroups,sett_preprocess_age,sett_stratify_split,,,,,,,0.0006018075914365406,0.3832913159125835,0.0003441644230563234,0.011867520288690066
