,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.3635271656620214,0.3635271656620214,0.012810333756643283,0.012810333756643283
16,sett_cutoff,sett_stratify_split,,,,,,,,0.30647807459305987,0.7430752279170151,0.012937017196686823,0.017874262880335934
0,sett_cutoff,,,,,,,,,0.07306998766193382,0.07306998766193382,0.006661235885550736,0.006661235885550736
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.00892898096462834,0.7604306961760485,0.0020487821722082033,0.017869490048077027
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.006277339597874778,0.7908937696493101,0.0017438226464254144,0.01794739721741768
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.006230866485983776,0.7890010706565586,0.0014085377158955508,0.017752549037158727
25,sett_exclude_features,sett_model,,,,,,,,0.0057549021579444744,0.012159944647149291,0.0011845088906797872,0.001699049841645918
2,sett_exclude_features,,,,,,,,,0.0051402197905113575,0.0051402197905113575,0.0011021956536254854,0.0011021956536254854
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.004301891257912119,0.07902283331657327,0.0018314279089953135,0.006140346029700766
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.004087852984901663,0.09111990314493919,0.001463032516555483,0.005872276822768175
102,sett_exclude_features,sett_model,sett_stratify_split,,,,,,,0.003991214824723058,0.38605039318413714,0.001554896707426139,0.012211692550114379
38,sett_model,sett_stratify_split,,,,,,,,0.003948710070273529,0.36874069843098845,0.0016016456690849251,0.012454293679251634
3,sett_exclude_subgroups,,,,,,,,,0.0036678326322819002,0.0036678326322819002,0.0012454386743446127,0.0012454386743446127
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.003574359075211193,0.7553111364959526,0.0014658924801294068,0.016632869789117984
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.0035623654926642333,0.01237041791545749,0.0011429798340035701,0.002546258044238141
36,sett_model,sett_preprocess_income,,,,,,,,0.003531439619332773,0.0064472167147535606,0.001141701187056654,0.0018944493190283624
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.0032506049615173413,0.7552737859744298,0.0009303806204595766,0.017519558071992437
12,sett_cutoff,sett_model,,,,,,,,0.003212954525438026,0.0775477648860653,0.0010894413346883146,0.006180750141977013
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.0031536177429370565,0.8258544711190547,0.0011329916151367762,0.015390337336907126
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.0031452577569248755,0.7760342866924734,0.0013433833105640635,0.015412700436869915
