,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.3688562266913569,0.3688562266913569,0.006016657901411874,0.006016657901411874
16,sett_cutoff,sett_stratify_split,,,,,,,,0.306236931351577,0.7571747768151142,0.004983499713815505,0.009029983931688405
0,sett_cutoff,,,,,,,,,0.08208161877218029,0.08208161877218029,0.0028847869735470024,0.0028847869735470024
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.007441290671749619,0.7726075710908356,0.0014136894990215343,0.009546348369711792
25,sett_exclude_features,sett_model,,,,,,,,0.006058732456661447,0.012273166558207413,0.0019180105382985532,0.0021838032931755912
36,sett_model,sett_preprocess_income,,,,,,,,0.005878820265728061,0.009859746129072842,0.0013029818733752026,0.0013875654550087313
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.005530723785055291,0.8004627631921738,0.0017442167395179038,0.00861978840230015
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.0053468587924062685,0.10601300135704998,0.0010161343912391367,0.003271045670653155
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.005158119164711054,0.08999116963744098,0.0008770384466077439,0.0031640878632423616
2,sett_exclude_features,,,,,,,,,0.004984939938750821,0.004984939938750821,0.0008231294783821645,0.0008231294783821645
178,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,,,,,,0.004878347841562704,0.12975429118341641,0.0010314487015610952,0.004830237631846814
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.0042662895324869065,0.7709693358009377,0.0012486613864138834,0.010297496109422998
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.00389623996684986,0.8034906688085626,0.0012674948611798265,0.01191195491218251
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.003712257714815679,0.023071864831257165,0.0009122450676976582,0.0032429458721643743
70,sett_cutoff,sett_preprocess_income,sett_scale,,,,,,,0.003646394064246497,0.10097739143197651,0.0006244856790835554,0.0029687554022285877
12,sett_cutoff,sett_model,,,,,,,,0.0035666584986795303,0.08687777143365497,0.0005456736881025107,0.002944366762156812
102,sett_exclude_features,sett_model,sett_stratify_split,,,,,,,0.003476016267854833,0.3895841479600548,0.0010247891327924026,0.0055420776665859855
42,sett_preprocess_income,sett_scale,,,,,,,,0.003463421403034825,0.009428461086797742,0.0009512159463125864,0.001428008221857175
7,sett_scale,,,,,,,,,0.00321360798321328,0.00321360798321328,0.0006640044005578211,0.0006640044005578211
38,sett_model,sett_stratify_split,,,,,,,,0.0031953509424971264,0.3732810717966492,0.0008459832380636984,0.005817329481895693
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.003037017334401834,0.8290064175607059,0.0008835451863658019,0.010274249602572312
37,sett_model,sett_scale,,,,,,,,0.002822831601120542,0.007265933747128968,0.000865624269699202,0.0013407911525225075
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.002797862679416253,0.7679581049816363,0.0013601155512142278,0.007948824349803462
6,sett_preprocess_income,,,,,,,,,0.002751431700549636,0.002751431700549636,0.0005531877128381471,0.0005531877128381471
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.0026920436448851764,0.010240608308588535,0.0006589110430428324,0.0011925633468327938
3,sett_exclude_subgroups,,,,,,,,,0.0025636247249525386,0.0025636247249525386,0.00028867169015823915,0.00028867169015823915
304,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0025311715975993554,0.8395471761092244,0.0007876674504489048,0.009945376636795998
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0023699319442466176,0.7857434365047135,0.000697081869383735,0.009586148989072882
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.002107255663176544,0.7827220900596573,0.000568142829520276,0.008037704783630096
184,sett_cutoff,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,,0.002084882852171353,0.7854918825299695,0.0009320104705919465,0.010840291219092796
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.002010151047105649,0.7643964798586786,0.0005049840433529969,0.009223829783159202
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.0020063914252445446,0.10114497330252833,0.000890515949009762,0.003775457744600326
123,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,,0.0019666197069191376,0.385496662057922,0.0005399718113582528,0.006452920538101054
223,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.001868546402308168,0.4043536675787117,0.0004638008008302021,0.0063195990300671965
323,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,0.0018492093386350218,0.8345285791716146,0.0004620233867135799,0.012893944866531
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.0017833875001384536,0.37562455413024626,0.00046183431434128287,0.006006900579805165
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.0017765763596928608,0.020739473731773567,0.0005517687982022342,0.0036160591927992983
