,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.37333161140827376,0.37333161140827376,0.004591377430410858,0.004591377430410858
16,sett_cutoff,sett_stratify_split,,,,,,,,0.30825206885946654,0.7605407909175852,0.004804845215905126,0.008991195191883988
0,sett_cutoff,,,,,,,,,0.07895711064984484,0.07895711064984484,0.0028161787282008567,0.0028161787282008567
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.0070859340737602335,0.7744475830896249,0.0012693274074586191,0.009143602612705713
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.00606421219166068,0.801183290908968,0.0014267160628293205,0.00977900252101126
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.005859228982182311,0.08697417090370685,0.0013321999615056087,0.002935482011467777
36,sett_model,sett_preprocess_income,,,,,,,,0.005763026454978519,0.008729332710843165,0.0014203668703285546,0.0012531780521664662
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.005759609993566236,0.10258418953318894,0.0011478212352663258,0.00281582593586454
25,sett_exclude_features,sett_model,,,,,,,,0.005326761638442508,0.011023781928463835,0.001150923312327686,0.0015813323743539645
178,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,,,,,,0.005094044208715759,0.12586934145094095,0.0012077728287082884,0.004750608260566755
2,sett_exclude_features,,,,,,,,,0.004888545305836367,0.004888545305836367,0.0009914152049643873,0.0009914152049643873
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.003886706736484868,0.8050795158442863,0.0010629837067677834,0.008020957254371033
70,sett_cutoff,sett_preprocess_income,sett_scale,,,,,,,0.0035212266354561995,0.09757154836549875,0.0007306727479709476,0.0036783760959503663
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.0032862708046209927,0.021305216498606318,0.0005900206564238601,0.0022236700983436354
12,sett_cutoff,sett_model,,,,,,,,0.0032789071967523975,0.08304449283078219,0.0006789213626242413,0.0027943024804715486
42,sett_preprocess_income,sett_scale,,,,,,,,0.0032027942523577,0.008542430115507,0.0007909803773002218,0.001129207585125139
7,sett_scale,,,,,,,,,0.0031818045914696145,0.0031818045914696145,0.0005373125052962879,0.0005373125052962879
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.0031685442321872734,0.7736705435937662,0.0008576640808465942,0.007999211916666572
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.0030094659031125962,0.01072111554822646,0.0005609245571824138,0.0014185695707998136
102,sett_exclude_features,sett_model,sett_stratify_split,,,,,,,0.0029920021521188194,0.39250700387257276,0.0006182317249502347,0.004226038709006643
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0029814645452426103,0.7693713937962061,0.0007879498830517435,0.008618699344845928
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.002924345029355768,0.8315801531855587,0.0005921447461600618,0.009200643559269302
37,sett_model,sett_scale,,,,,,,,0.002905014139314849,0.0068952937149694225,0.0007676182078111641,0.0008058568541859772
3,sett_exclude_subgroups,,,,,,,,,0.002823104339277497,0.002823104339277497,0.0005307776773971407,0.0005307776773971407
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.002771427263236987,0.78920812269843,0.0006661414286449846,0.008479638197500404
