,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.36641297834896963,0.36641297834896963,0.005620052342394817,0.005620052342394817
16,sett_cutoff,sett_stratify_split,,,,,,,,0.3140220021810738,0.7601907152106429,0.004615824311952795,0.00736386972510237
0,sett_cutoff,,,,,,,,,0.07975573468059946,0.07975573468059946,0.0026591915528112525,0.0026591915528112525
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.006541248237475712,0.7746007453660275,0.0009481353177634355,0.007832665471575398
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.006067429298914618,0.8008825550736831,0.001296867074852226,0.009778101286716188
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.00567917302677513,0.08814010627307303,0.0013569805485823547,0.003106497791924709
36,sett_model,sett_preprocess_income,,,,,,,,0.005617431665375346,0.009091022549402372,0.0012780769189807144,0.0015587381659187302
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.005545429933456188,0.10371472900588799,0.0011345621329805463,0.004203063385475289
25,sett_exclude_features,sett_model,,,,,,,,0.005095998187782891,0.010725727120744294,0.0009737485034767393,0.0011994986050978657
2,sett_exclude_features,,,,,,,,,0.00486133661463283,0.00486133661463283,0.000664906162137461,0.000664906162137461
178,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,,,,,,0.004774886300600084,0.12636582020722517,0.0011539484144049857,0.006547379385048683
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.004010154000103101,0.8047344287146327,0.0016033883052840347,0.006752243129228239
3,sett_exclude_subgroups,,,,,,,,,0.003940762834221375,0.003940762834221375,0.0005802458641382887,0.0005802458641382887
70,sett_cutoff,sett_preprocess_income,sett_scale,,,,,,,0.003728350953725713,0.09835419329440868,0.0009884675305832102,0.0037961324849130557
12,sett_cutoff,sett_model,,,,,,,,0.003643368815654833,0.08416749581458287,0.0003927249628697173,0.0027481668435746878
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.003569701791861858,0.021361406189460315,0.0009272772537002369,0.00259668371248863
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.003518233143105816,0.012320332591960019,0.0007540234321949697,0.0012510206693104157
102,sett_exclude_features,sett_model,sett_stratify_split,,,,,,,0.0034725285151831816,0.386201900886729,0.0009744935298216765,0.006448144446532579
38,sett_model,sett_stratify_split,,,,,,,,0.0034570207839254743,0.3706383914512237,0.0009236872182309231,0.005549054397587365
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.003225988531841646,0.77348623650243,0.0010617511675100613,0.006641070019443983
42,sett_preprocess_income,sett_scale,,,,,,,,0.002979255884311017,0.008646732387843045,0.0006686578320618209,0.0015237522794853014
7,sett_scale,,,,,,,,,0.0029622779378335774,0.0029622779378335774,0.0006571340065292503,0.0006571340065292503
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.002832903661580054,0.8327526893178816,0.0008012050954300011,0.011652019314707026
37,sett_model,sett_scale,,,,,,,,0.0027591480260514925,0.006489818282213645,0.0005622315716847302,0.0009644321253792107
6,sett_preprocess_income,,,,,,,,,0.0027051985656984506,0.0027051985656984506,0.0006766714146567537,0.0006766714146567537
98,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0026668454395279992,0.38560803333007987,0.0007272544062493017,0.00635181712486666
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0023948394292405313,0.7903036458132459,0.0007863245406354687,0.008277186139696269
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.002343471097390585,0.7701996112043408,0.00043405166146003987,0.007885268834992649
304,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0022253784283580774,0.8382103196910958,0.0009160783815657548,0.00807863222527374
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.0021336461179064124,0.37340796108150887,0.000658853070845036,0.006208666208582741
34,sett_exclude_subgroups,sett_stratify_split,,,,,,,,0.0020742308317157933,0.37242797201490685,0.0004792862091002976,0.005552851589584398
323,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,0.0018252385060073388,0.834314674976484,0.00047822318717356235,0.007292798697013556
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0018130044718722652,0.7693739331925482,0.00036328166077178085,0.00741390331329036
223,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0017853897605741094,0.40492628716440526,0.0004997701355099658,0.007316707015655881
112,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,,0.0017273893624485455,0.37982116956835393,0.00046257668430448983,0.005706801009368766
420,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,0.0016940387995185713,0.8820194714865253,0.0005849058095409575,0.009086292825593261
43,sett_preprocess_income,sett_stratify_split,,,,,,,,0.0016851611674717902,0.3708033380821399,0.00045455984816517085,0.005436317823305784
123,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,,0.0016651464578836092,0.38231132930765294,0.0004278280491880184,0.005220714704577695
