,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.3707123824397768,0.3707123824397768,0.007349175577016893,0.007349175577016893
16,sett_cutoff,sett_stratify_split,,,,,,,,0.30619092209500026,0.7568256721542437,0.006058097501271034,0.008422570066096115
0,sett_cutoff,,,,,,,,,0.0799223676194667,0.0799223676194667,0.0033783376568427195,0.0033783376568427195
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.0064800911918323325,0.7703112210035297,0.0008585237943719227,0.008619668662564191
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.005691849145485506,0.10335779005171312,0.0008727382289505138,0.0035110711917153902
25,sett_exclude_features,sett_model,,,,,,,,0.005555100695161389,0.011996686683941106,0.0006413457230291473,0.0013460036040620431
2,sett_exclude_features,,,,,,,,,0.005356216023939264,0.005356216023939264,0.0009674022947709589,0.0009674022947709589
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.005125197142574268,0.7969948081291998,0.0012368922727795612,0.009527878536657038
36,sett_model,sett_preprocess_income,,,,,,,,0.005030889295857838,0.009065787432958636,0.0013614714174853377,0.0015997055739018949
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.004994133497756351,0.0878660292894834,0.0009212840802603653,0.003220342599078574
178,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,,,,,,0.004712661461433972,0.1254209454445202,0.0008820019235762648,0.004384787293071552
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.0037388026648573405,0.021712773066162164,0.0009094919576155629,0.003056049549145453
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.003701122197952527,0.7989747771098104,0.0010819853149907353,0.008490720612223227
12,sett_cutoff,sett_model,,,,,,,,0.003683652356045927,0.08469138994035308,0.0006480529312467054,0.003560073110655204
7,sett_scale,,,,,,,,,0.0034758369112839987,0.0034758369112839987,0.0005888085721743043,0.0005888085721743043
102,sett_exclude_features,sett_model,sett_stratify_split,,,,,,,0.003434529575816754,0.39009487200393356,0.0005634389676280201,0.007747891262429733
3,sett_exclude_subgroups,,,,,,,,,0.0033100838793129706,0.0033100838793129706,0.0005844736409130829,0.0005844736409130829
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.0031880725228172883,0.011854372426069524,0.0006660511675517806,0.0013723358583615831
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0031688370897534172,0.7864287861032947,0.0005379707417050121,0.00871433171689931
6,sett_preprocess_income,,,,,,,,,0.0029495281722603456,0.0029495281722603456,0.0005742929217288858,0.0005742929217288858
70,sett_cutoff,sett_preprocess_income,sett_scale,,,,,,,0.0029076720892884404,0.09735353347016051,0.0008320358263999072,0.0032288884433245477
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.0028666244944174305,0.7694753110910242,0.0008144777282567656,0.008111583458793755
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.0028418889133212683,0.8294264813436761,0.000693473790595405,0.009905731488084945
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.0027570165160043817,0.7677653911447045,0.0006813419736251735,0.008678823241063057
37,sett_model,sett_scale,,,,,,,,0.002732975721350447,0.007294182597474898,0.00040454495154905354,0.0009195921720004555
42,sett_preprocess_income,sett_scale,,,,,,,,0.0026993703357117427,0.009124735419256087,0.0007843306949193653,0.0014773683181676523
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0022664119684107104,0.7654404673375679,0.0006295325944078989,0.008506309474494801
38,sett_model,sett_stratify_split,,,,,,,,0.0022364353365671675,0.37403418774118435,0.0005852114512615098,0.007253364566503792
304,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0020955436790195845,0.8330966587905814,0.000665869063448725,0.009555293842300009
