,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.3692652082293255,0.3692652082293255,0.004021777214019505,0.004021777214019505
16,sett_cutoff,sett_stratify_split,,,,,,,,0.3093263888389079,0.7574094453935502,0.0063092804118929325,0.0067918285556086925
0,sett_cutoff,,,,,,,,,0.07881784832531673,0.07881784832531673,0.003120937034066039,0.003120937034066039
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.007229786164486501,0.7724673566523723,0.001222988776022291,0.007418197129184113
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.00575243120157248,0.08836592733586411,0.0009460750619442229,0.0036163685371778443
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.005615010425054227,0.10399739336512188,0.0011072167867442887,0.004984050262562998
36,sett_model,sett_preprocess_income,,,,,,,,0.00559771652072835,0.010035910858077127,0.0015964056458961716,0.002058803856989291
2,sett_exclude_features,,,,,,,,,0.0053277161875187,0.0053277161875187,0.0007882558999634416,0.0007882558999634416
178,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,,,,,,0.0052008839711733534,0.1294831603892574,0.001147402138024386,0.007249987030269125
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.005067054356641328,0.798502285565926,0.0017590803644541564,0.010102408094460974
25,sett_exclude_features,sett_model,,,,,,,,0.004556325296921927,0.010526588012814505,0.0007948742873625222,0.0007301353550002581
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.004344747099553911,0.02409070406224184,0.0007936204816251443,0.002997882065139139
70,sett_cutoff,sett_preprocess_income,sett_scale,,,,,,,0.003971912271298929,0.09993880319438339,0.00098076924908113,0.00414713463121792
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.003804807579792661,0.8039770877131112,0.0008219059255813124,0.007215621999065323
6,sett_preprocess_income,,,,,,,,,0.0037956478089748993,0.0037956478089748993,0.0008643072727289534,0.0008643072727289534
12,sett_cutoff,sett_model,,,,,,,,0.0037761925551013245,0.08323658740879192,0.0006441692045398325,0.0034055806610812124
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.0036673928956800204,0.7720963089154189,0.0008850198468551661,0.006547104115290144
42,sett_preprocess_income,sett_scale,,,,,,,,0.0035869439243104697,0.010613471959615556,0.0007487014576518037,0.001224295011537804
38,sett_model,sett_stratify_split,,,,,,,,0.003409386010860478,0.3733171407685599,0.0008843008762499415,0.0037400749975053504
7,sett_scale,,,,,,,,,0.0032308802263301866,0.0032308802263301866,0.0003943440983432448,0.0003943440983432448
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.00317342657060346,0.7693130986674566,0.000762452502192964,0.0070775042944301965
102,sett_exclude_features,sett_model,sett_stratify_split,,,,,,,0.003117355756431749,0.3884808869830711,0.0009052762692646446,0.0043049795925348645
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.003072703475542151,0.011310981765728442,0.0005514283435666263,0.0014916740717510768
3,sett_exclude_subgroups,,,,,,,,,0.0029105621026675912,0.0029105621026675912,0.0006025067761746408,0.0006025067761746408
37,sett_model,sett_scale,,,,,,,,0.0028922219539701498,0.006765648708674214,0.00035184658546270697,0.0006854389704339593
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.0025031392445925664,0.8279273709823421,0.0006483632817801727,0.011543179917745729
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0022802946037571133,0.786702333976022,0.0006084384250453776,0.008130429304465114
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.0021623489736388615,0.3767552733904831,0.0005458131254616361,0.00390007414997763
98,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.002049563938619355,0.3863145358825525,0.00045463504762387126,0.004421878572811474
304,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.001953315419541458,0.8376953688173916,0.0006197431049727084,0.009390077775854436
323,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,0.0019526005214834112,0.8363499336250819,0.000677738787673744,0.007304024181321203
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0019148462898473306,0.7652302642061618,0.00040761188058589104,0.006932058365688994
184,sett_cutoff,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,,0.0018965690097091348,0.7866557563352444,0.0006029494456141483,0.0061411166471614966
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.0018699524610339996,0.7854957273064463,0.00042658724740533176,0.007700792509312796
123,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,,0.0018053330132947244,0.3859872297271993,0.00040008963480038376,0.004122911900205913
223,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0017527471865111976,0.4043936870472034,0.00033582722486873433,0.005404577219294842
112,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,,0.0016402603794439287,0.3809208991724648,0.0004900352782544341,0.004506286045735232
30,sett_exclude_subgroups,sett_model,,,,,,,,0.0015265029465531062,0.005079611577594576,0.00048095224578313813,0.0008020911793468244
34,sett_exclude_subgroups,sett_stratify_split,,,,,,,,0.001526432975240282,0.37370220330723336,0.00045204569592236844,0.004369207760658865
420,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,0.0015217981109215094,0.8785663505447427,0.00045148342039763925,0.009180608726100933
65,sett_cutoff,sett_model,sett_scale,,,,,,,0.0014750381409188,0.09161786716659077,0.0005361410206518584,0.0034984196212111142
43,sett_preprocess_income,sett_stratify_split,,,,,,,,0.0014713916156414296,0.37453224765394183,0.0006624136791766232,0.003827353483064617
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.0014689774448563855,0.08319738787284071,0.0002942838943589261,0.0031827420240171343
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.0014340270595546464,0.019470383597132,0.0003081587305384868,0.001444690003831996
314,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0014176048870710022,0.823587174085967,0.00033191296951252556,0.0069942144593478995
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.0013905402296521601,0.09575133066503015,0.00044850861172321497,0.0037941173347915665
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.001369589951182592,0.09420755902922959,0.0003805717981134403,0.003415911695513944
321,sett_cutoff,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,0.0012534022443508232,0.812096937093614,0.0004922557932203462,0.007122800790234946
10,sett_cutoff,sett_exclude_features,,,,,,,,0.001240161542145435,0.08538572605498086,0.0002654707558787771,0.003313401949522294
163,sett_cutoff,sett_exclude_features,sett_preprocess_income,sett_stratify_split,,,,,,0.0012362568178942695,0.7871481479537517,0.00037700302448469774,0.006688978891236895
156,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,,,,,,0.0011833405255629336,0.11943197845018408,0.0005813053157797184,0.004964884589864408
150,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,0.0011383847757301423,0.10963917900240057,0.00031727847415510797,0.0038932665567729704
427,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,0.0010678861117760876,0.8532620324740725,0.0002829635782153114,0.009485675554260449
298,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,0.0010200433013598327,0.8077984137344258,0.0002964618025461361,0.0066177946977635065
58,sett_cutoff,sett_exclude_subgroups,sett_model,,,,,,,0.0009671005812837978,0.0901097304841528,0.0002591312226327746,0.0035315462645704346
302,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_age,sett_stratify_split,,,,,0.0009532485061349724,0.8052040562873057,0.0003251835653521207,0.010622229299827113
234,sett_exclude_features,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.0009402130320259489,0.4039750716899724,0.0002841892672056128,0.004992953105041803
173,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,,0.0009176348863708774,0.7819371437260185,0.00026059615368833873,0.0064248544722213105
177,sett_cutoff,sett_model,sett_preprocess_age,sett_stratify_split,,,,,,0.000914846388297602,0.7760297628584081,0.00034711894075077973,0.007509439912620699
291,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,0.0008564335166879207,0.13724633248000098,0.00038940138763388077,0.005084828792849839
180,sett_cutoff,sett_model,sett_scale,sett_stratify_split,,,,,,0.0008490908980919375,0.7832326751735544,0.0002539273350124274,0.00730895016536881
421,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_scale,sett_stratify_split,,,,0.0008486326886641921,0.8520110094654785,0.0002692518690865963,0.013306857450415462
315,sett_cutoff,sett_exclude_subgroups,sett_model,sett_scale,sett_stratify_split,,,,,0.0008297204836311917,0.8019173082548736,0.00034921435759435114,0.008859806675788963
432,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,0.0008241173335295405,0.8380802390262728,0.00025741507399862547,0.0065106826676015325
418,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_stratify_split,,,,0.0008088988695952659,0.8407312367640462,0.0002192900836280674,0.011818105619274053
364,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0008017003689235872,0.4239831359757018,0.00028045022690166663,0.005639092767696524
27,sett_exclude_features,sett_preprocess_income,,,,,,,,0.0007918601746244168,0.009915224171118016,0.0004872402099168052,0.0012140256853573987
307,sett_cutoff,sett_exclude_features,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,0.000789648209480508,0.7931623431430554,0.00026329888811285574,0.006555780795174147
487,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,0.0007840809768869401,0.907348064408509,0.00021242167024365343,0.008698872115843945
15,sett_cutoff,sett_scale,,,,,,,,0.0007831394365797007,0.08283186798822662,0.0003381208818650699,0.0030084284162215365
244,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.0007797526628011259,0.3955227308915438,0.00022184974462580392,0.004549747601935956
299,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_scale,sett_stratify_split,,,,,0.0007481849159655964,0.7962425728142903,0.00029211059242950285,0.008028781981619685
166,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,0.0007304093180355183,0.11263653262099796,0.00027767337183076635,0.005133907968024165
423,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,0.0007291007347732735,0.8196654358039117,0.00022868047615198474,0.00629497076964844
222,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_scale,,,,,,0.0007259811417743024,0.02941385583519255,0.0002772173874194851,0.0029013126368325
312,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_stratify_split,,,,,0.0007255953027650855,0.7931449758255208,0.0002512011932597027,0.008153131823780897
101,sett_exclude_features,sett_model,sett_scale,,,,,,,0.0006909080941111083,0.017917639605185567,0.0003741532929412117,0.0013760636280925119
182,sett_cutoff,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,,0.000684705535425713,0.7751961109878869,0.0002595711371785831,0.006443743282905245
365,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_scale,sett_stratify_split,,,,,0.0006806635992665717,0.4185660322141448,0.00023530826278872618,0.007315943048771204
305,sett_cutoff,sett_exclude_features,sett_model,sett_scale,sett_stratify_split,,,,,0.0006775163864115141,0.8131169026057747,0.0002882766729232477,0.010221336123395845
251,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,,0.0006770704281288229,0.38890211179625306,0.0002299711198732167,0.003986670348124895
429,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,sett_scale,sett_stratify_split,,,,0.0006737150290247755,0.8766238995038225,0.00026111124313804893,0.008508708668344939
174,sett_cutoff,sett_exclude_subgroups,sett_scale,sett_stratify_split,,,,,,0.0006661542910399759,0.7721012330712522,0.0002985441963114058,0.006987660571395628
175,sett_cutoff,sett_model,sett_preprocess_age,sett_preprocess_income,,,,,,0.0006606794581083879,0.1068756407775697,0.00031119598611516495,0.005024993075377199
111,sett_exclude_subgroups,sett_model,sett_scale,,,,,,,0.0006533264998974905,0.012382531659342505,0.0003181483586896452,0.001424962196722477
97,sett_exclude_features,sett_exclude_subgroups,sett_scale,,,,,,,0.0006466216024675887,0.016292016314035943,0.00027135704190497175,0.001877055304380179
4,sett_model,,,,,,,,,0.0006425465283738777,0.0006425465283738777,0.00028157989890430544,0.00028157989890430544
317,sett_cutoff,sett_exclude_subgroups,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,0.0006379319244573748,0.787790437199217,0.00019074821497209646,0.00610696838033538
107,sett_exclude_features,sett_preprocess_income,sett_stratify_split,,,,,,,0.0006337250924412117,0.383447898082165,0.00038401010885564667,0.004252228118506589
