,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.3763558369053323,0.3763558369053323,0.006347800241593048,0.006347800241593048
16,sett_cutoff,sett_stratify_split,,,,,,,,0.3098055281535427,0.7681605973591361,0.00818940297859607,0.013205134650260623
0,sett_cutoff,,,,,,,,,0.08199923230026104,0.08199923230026104,0.0036535766379781546,0.0036535766379781546
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.006459460560844852,0.7819792779950134,0.0008736526855072024,0.013605047028899503
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.006069599668454958,0.10497233808075683,0.0012750577330432349,0.004457538227536054
2,sett_exclude_features,,,,,,,,,0.005734920069054173,0.005734920069054173,0.000988888063600527,0.000988888063600527
178,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,,,,,,0.005347283402754705,0.12849363064937663,0.0010285953859394928,0.005701100436506109
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.005297486780396857,0.807716747340796,0.0010309267866239274,0.012730130417598767
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.004863674545220299,0.0901248453949462,0.0005469430875477439,0.0038579271118752835
36,sett_model,sett_preprocess_income,,,,,,,,0.004297021947892254,0.008659945744673207,0.0009323683240307692,0.0012414003848437167
25,sett_exclude_features,sett_model,,,,,,,,0.004243211139058289,0.011079116455428566,0.0009384989106119678,0.0014356365477801835
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.003480939188363578,0.02126337308267694,0.000748787928037979,0.0025566848879178317
70,sett_cutoff,sett_preprocess_income,sett_scale,,,,,,,0.003459664835956656,0.10076113592715222,0.000652422656409993,0.003889120501507536
42,sett_preprocess_income,sett_scale,,,,,,,,0.003417431425740599,0.009842185856873999,0.0006782431770994683,0.0014204046607475466
12,sett_cutoff,sett_model,,,,,,,,0.0033798858221473177,0.08648010336972446,0.0005431143769950462,0.0037668343260162302
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.003289753805808117,0.8096644089659362,0.0007529526278564178,0.013997237490153202
6,sett_preprocess_income,,,,,,,,,0.0032619385494648506,0.0032619385494648506,0.0006843549321765153,0.0006843549321765153
7,sett_scale,,,,,,,,,0.00316281588166855,0.00316281588166855,0.0006804957367837254,0.0006804957367837254
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.002942349961524119,0.011376668856753435,0.0007597116847271316,0.0016935840773706762
38,sett_model,sett_stratify_split,,,,,,,,0.002878349005569183,0.3803351711582176,0.0005833813940409571,0.006352001405042942
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.0028415859204988557,0.7806411654017706,0.001155641644695504,0.013006229510725295
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.0027538608842231724,0.7800717397667096,0.000518539276846734,0.012489792075209222
3,sett_exclude_subgroups,,,,,,,,,0.0026993988261751443,0.0026993988261751443,0.0006894952489089017,0.0006894952489089017
102,sett_exclude_features,sett_model,sett_stratify_split,,,,,,,0.0025834192862818303,0.39534886897563304,0.0007509305072413296,0.004937844713797735
37,sett_model,sett_scale,,,,,,,,0.002542240842231007,0.00680604197121566,0.000513418101624668,0.0011644188263563158
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.002452147323021155,0.3845429042974077,0.0007218290314339026,0.005226224959455706
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.002202509690932895,0.8350825340297582,0.0005324960479646826,0.012483538286718346
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0021027912821648394,0.7951601164869913,0.0008524676971831604,0.012860442983928076
98,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0020341921210084843,0.3935227568641765,0.0007907915062462885,0.004681004000591873
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0020314851906427563,0.7755893491137357,0.0004544638365726757,0.012584747594883584
184,sett_cutoff,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,,0.0017632053649374708,0.7944297396644362,0.001132780370377942,0.012836962392972518
223,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.001728503612392138,0.4104255613560669,0.000619675507689404,0.0053303258912346775
304,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0017131283517365947,0.8412290742905371,0.0004553607794314166,0.012481979573371065
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.001702209732472021,0.09913065844158402,0.0007675816355101565,0.004331005497094904
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.001654304570499226,0.7952334425436423,0.0004339513558239793,0.011569699644317963
323,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,0.0015854907701798927,0.8398527079651084,0.00060065597442012,0.014513546922036463
123,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,,0.001548187506132771,0.39095568818915805,0.00048688592206510054,0.006865138287665265
65,sett_cutoff,sett_model,sett_scale,,,,,,,0.0015145386030644826,0.09429607708552872,0.00040527433801871334,0.0036632288071631533
43,sett_preprocess_income,sett_stratify_split,,,,,,,,0.0015133690274506076,0.3811311444822477,0.0004466015906136664,0.00661576615856592
30,sett_exclude_subgroups,sett_model,,,,,,,,0.001486752569119398,0.005287136642610645,0.0005709441670933297,0.001081964629699569
420,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,0.0014846125859156781,0.8798081472695838,0.0004965619256113529,0.011771580269564147
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.0014684373735269892,0.019676055185774217,0.0005187981808233015,0.0029671791444108695
112,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,,0.001413146258626565,0.38723838047019976,0.00042812075890732147,0.005766115260026107
314,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0014112138055415576,0.8280900313387018,0.0005243052566893335,0.012688497963493861
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.0013939560797206325,0.08609258720615684,0.0003328392591111871,0.0033053835393511088
34,sett_exclude_subgroups,sett_stratify_split,,,,,,,,0.0013039116580610614,0.38035914738956844,0.0003915847027065524,0.0059203630546684465
421,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_scale,sett_stratify_split,,,,0.001193784057641509,0.8622842356234719,0.0004374147802519399,0.010406258600125026
298,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,0.0011194812841968632,0.8142917358008086,0.0003342517857639113,0.010437701572693001
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.0011021043693011084,0.0968421757373113,0.0003452067475333317,0.0037971691503405442
4,sett_model,,,,,,,,,0.0011009852473161028,0.0011009852473161028,0.00033056626743344086,0.00033056626743344086
315,sett_cutoff,sett_exclude_subgroups,sett_model,sett_scale,sett_stratify_split,,,,,0.001063106458011957,0.8113063315823723,0.0003184032579328381,0.011930102467001682
150,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,0.001052546497799382,0.11202560074621826,0.00036112552098194916,0.00514465896840398
143,sett_cutoff,sett_encode_categorical,sett_model,sett_stratify_split,,,,,,0.0010143882452962132,0.784420928052241,0.00036245329559231836,0.013494877925283116
321,sett_cutoff,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,0.0010111305205154225,0.8175492624441006,0.0002387556147440921,0.014273979520242131
299,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_scale,sett_stratify_split,,,,,0.0010079068060362402,0.8078728955625135,0.0005016712730673754,0.010499852173123995
174,sett_cutoff,sett_exclude_subgroups,sett_scale,sett_stratify_split,,,,,,0.0010007444687978987,0.7834311580315342,0.0003910367892226213,0.011854020352542632
163,sett_cutoff,sett_exclude_features,sett_preprocess_income,sett_stratify_split,,,,,,0.0009937327874203342,0.7946611984380613,0.00022874185003854004,0.012044122868010586
10,sett_cutoff,sett_exclude_features,,,,,,,,0.0009702141312750624,0.08870436650059028,0.0001990583107317673,0.0037969880913159425
427,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,0.00093768791344104,0.8554049793683813,0.000435286013808126,0.013287110940598154
177,sett_cutoff,sett_model,sett_preprocess_age,sett_stratify_split,,,,,,0.0009282854046078334,0.7859544289285332,0.0003100473065909621,0.0135784600619664
173,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,,0.0009267709349372893,0.7901021138512052,0.0001924225598443822,0.012118339736725998
222,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_scale,,,,,,0.000890026526539938,0.029883158452099354,0.0005497561992725997,0.004100057453513292
305,sett_cutoff,sett_exclude_features,sett_model,sett_scale,sett_stratify_split,,,,,0.0008736652063997023,0.8226508499821028,0.000346676515614902,0.011727580656648381
302,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_age,sett_stratify_split,,,,,0.0008662168997838457,0.8146074047351268,0.00023721299211000216,0.012639732040017794
69,sett_cutoff,sett_preprocess_age,sett_stratify_split,,,,,,,0.0008636366852577317,0.7698939701538816,0.0004240477054776165,0.013035537091094188
234,sett_exclude_features,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.0008625759685863566,0.4080471577368187,0.00015349164832895686,0.0054441793233251925
365,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_scale,sett_stratify_split,,,,,0.0008582982689149027,0.42548936450189545,0.0003605761032737913,0.004639487018482286
291,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,0.0008366911292181786,0.13612784486887822,0.000548302564510617,0.006104883541186524
180,sett_cutoff,sett_model,sett_scale,sett_stratify_split,,,,,,0.0007989589895906052,0.7923149911147185,0.0002584193952196269,0.01324124939201775
97,sett_exclude_features,sett_exclude_subgroups,sett_scale,,,,,,,0.0007816531943341897,0.016785453153589827,0.00037119658076780913,0.0027004533422920686
33,sett_exclude_subgroups,sett_scale,,,,,,,,0.0007700268963838255,0.006632241604227519,0.0002936247834743746,0.0012866314152023303
364,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0007661709409447382,0.42690347198227196,0.0002502134304376442,0.00598598028247633
418,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_stratify_split,,,,0.0007583472583876291,0.8476290515374076,0.0002995804518936862,0.012518438052165008
101,sett_exclude_features,sett_model,sett_scale,,,,,,,0.0007558837613550892,0.01823434526513304,0.0003069800516339387,0.002178436691986503
58,sett_cutoff,sett_exclude_subgroups,sett_model,,,,,,,0.0007493966274674732,0.09280960747220712,0.00027206748752564856,0.003306230827182075
156,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,,,,,,0.0007416693976715122,0.1194122434506355,0.00048208928448153793,0.004645086133624639
166,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,0.0007358381140989559,0.11305156974913069,0.0002678843436119213,0.0036416238662435835
244,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.0007091350489563471,0.39958492697632364,0.00022049100514598118,0.006213627924603952
72,sett_cutoff,sett_scale,sett_stratify_split,,,,,,,0.0007005640897340104,0.7730769122123431,0.0001749867578851162,0.012880601710214521
245,sett_exclude_subgroups,sett_model,sett_scale,sett_stratify_split,,,,,,0.0006992984967479524,0.3966152088838407,0.00021980067820990043,0.0051192746477345405
432,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,0.0006965629053912916,0.8414135960213488,0.0002245013005701225,0.0124169899879785
28,sett_exclude_features,sett_scale,,,,,,,,0.0006942883244498274,0.00959202427517255,0.00029024439818660234,0.0015732769026563507
182,sett_cutoff,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,,0.0006929819480966065,0.7840403111934325,0.00027835457305513934,0.012927427873144664
307,sett_cutoff,sett_exclude_features,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,0.0006846590488782866,0.8004685789952994,0.0002723584794427946,0.012043158470580151
148,sett_cutoff,sett_encode_categorical,sett_preprocess_income,sett_stratify_split,,,,,,0.0006746735492835605,0.782755765942116,0.000370966252981335,0.013285108360750817
312,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_stratify_split,,,,,0.0006738676513566117,0.8017626882240336,0.00023197165949960958,0.012615476455147044
235,sett_exclude_features,sett_model,sett_scale,sett_stratify_split,,,,,,0.0006689696586281689,0.40465777755967836,0.00028072337397766245,0.004616970190233177
487,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,0.0006169981219186642,0.905213525879562,0.0001948263519055408,0.01292807458475699
111,sett_exclude_subgroups,sett_model,sett_scale,,,,,,,0.0006101678393627091,0.012372388102256736,0.00015836342476924947,0.0018303527528455061
429,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,sett_scale,sett_stratify_split,,,,0.0006039819973488516,0.8782760795130018,0.0003088533988943354,0.011511989661168951
292,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_scale,,,,,0.0005972525032914288,0.12726526594222487,0.00021163124845515152,0.005171785961859555
15,sett_cutoff,sett_scale,,,,,,,,0.0005963783888402127,0.0857584265707698,0.0002491723991456207,0.003551523873352788
284,sett_cutoff,sett_encode_categorical,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0005901341250033642,0.8153458319499781,0.00020004513574120377,0.014141140119986718
61,sett_cutoff,sett_exclude_subgroups,sett_scale,,,,,,,0.0005826605667388855,0.0912044689397883,0.0001990261132226702,0.0031449594677382944
489,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_scale,sett_stratify_split,,,0.0005776442691989949,0.9340196350246399,0.00018951374875637275,0.006936972064036885
229,sett_exclude_features,sett_exclude_subgroups,sett_scale,sett_stratify_split,,,,,,0.0005733612068288011,0.4009980147846134,0.00022974097130559992,0.004380569206247197
118,sett_exclude_subgroups,sett_scale,sett_stratify_split,,,,,,,0.0005720621326708354,0.385320608793256,0.00022497524233537345,0.005458065571203174
253,sett_model,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,,0.0005666131087106543,0.40537790274327234,0.00018102883879466666,0.006521140331498153
124,sett_model,sett_scale,sett_stratify_split,,,,,,,0.0005636598316117946,0.38706044420669317,0.00023312335353355186,0.006039540540231289
