,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.3713374793231489,0.3713374793231489,0.0037371346649391936,0.0037371346649391936
16,sett_cutoff,sett_stratify_split,,,,,,,,0.30453413773258026,0.756498306527501,0.004031709513705929,0.006170139205928266
0,sett_cutoff,,,,,,,,,0.0806266894717719,0.0806266894717719,0.0038750269465291387,0.0038750269465291387
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.0077326763164274675,0.7723909031398751,0.0019030586292605924,0.006455658976317872
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.006382270538697372,0.800013006909265,0.0019937926662106416,0.008294116562956779
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.0061079230535815016,0.10500346137274674,0.0010860870808505993,0.004789240778977973
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.005713195623545631,0.0891073235363587,0.0008219362504711587,0.0037736967822020887
2,sett_exclude_features,,,,,,,,,0.0054603795438244035,0.0054603795438244035,0.00072675612961649,0.00072675612961649
36,sett_model,sett_preprocess_income,,,,,,,,0.005132766557529757,0.0085829956872901,0.0011596496911796567,0.001622540097259705
25,sett_exclude_features,sett_model,,,,,,,,0.004971848501415386,0.01111501873395897,0.0010835978692234462,0.0012590733913845531
178,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,,,,,,0.004797359601544182,0.12911582670571223,0.0010141886545255471,0.006832184783674264
70,sett_cutoff,sett_preprocess_income,sett_scale,,,,,,,0.004182027345286197,0.10064923903000617,0.0011427899019529782,0.0037850167409602775
12,sett_cutoff,sett_model,,,,,,,,0.003972657536557607,0.08528213769704869,0.0006642921947510014,0.004079000373094443
3,sett_exclude_subgroups,,,,,,,,,0.0037615117753912533,0.0037615117753912533,0.0006256196043599151,0.0006256196043599151
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.0035434407349296156,0.8020542019526875,0.0008929074644953488,0.0072925638453737104
38,sett_model,sett_stratify_split,,,,,,,,0.003504472070669797,0.3755247420825379,0.0007092375622321398,0.0036981880298824774
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.0034048769860681397,0.021582244285695724,0.0009622045062320663,0.0031252053599275273
7,sett_scale,,,,,,,,,0.0034031992613231185,0.0034031992613231185,0.0004173979167755309,0.0004173979167755309
102,sett_exclude_features,sett_model,sett_stratify_split,,,,,,,0.003283031220101877,0.39084757905719725,0.0007244529706428238,0.003906371940477191
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.0032814879142641796,0.7698442365527642,0.0009826807461221015,0.006448755269430702
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.003194986991652402,0.7677310020799626,0.0004975019551357849,0.006452252893518386
42,sett_preprocess_income,sett_scale,,,,,,,,0.0031726952942755147,0.009343332996639794,0.0007324347658152674,0.0015692735660869756
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.0030391643774036236,0.01226105569661928,0.000534905501975577,0.0012697187509774315
