,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.3747832566219399,0.3747832566219399,0.005740028994296581,0.005740028994296581
16,sett_cutoff,sett_stratify_split,,,,,,,,0.3094788461336121,0.7691123412413159,0.0060130608377728535,0.007217255898074295
0,sett_cutoff,,,,,,,,,0.084850238485764,0.084850238485764,0.003103446208413767,0.003103446208413767
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.007112017360050458,0.7836176257789571,0.0011033265002723016,0.007148017355417133
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.006932478302232402,0.8113830277799032,0.0013208361577827549,0.0076126833873303
25,sett_exclude_features,sett_model,,,,,,,,0.005458914509028673,0.011223806430157007,0.0010870641229852786,0.001433005798301297
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.005318513946046006,0.10709698988178593,0.0012601782555118383,0.0028955842768037953
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.005195437095545692,0.09302122980129968,0.0009521936134748443,0.002409747946810516
2,sett_exclude_features,,,,,,,,,0.004764453493609482,0.004764453493609482,0.0007419792536208966,0.0007419792536208966
178,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,,,,,,0.004702930138190839,0.13016668011964366,0.0009904217386860613,0.004090084014114499
36,sett_model,sett_preprocess_income,,,,,,,,0.004241835617781001,0.008217828265289833,0.0008729250611964081,0.0009447260995924881
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.003905980433388174,0.8110690569478627,0.0008424819951921582,0.0068784681240624534
42,sett_preprocess_income,sett_scale,,,,,,,,0.003643514332181222,0.009758900096795135,0.0007045495363591331,0.0013892048294657248
12,sett_cutoff,sett_model,,,,,,,,0.003514972089140379,0.08936564900242322,0.0006137382570283399,0.003109426481222954
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.003494813759562796,0.02139912029984157,0.001010313181707088,0.002717998152987937
70,sett_cutoff,sett_preprocess_income,sett_scale,,,,,,,0.00327353142957572,0.1036966494163792,0.000584563235089802,0.0019520286339189407
102,sett_exclude_features,sett_model,sett_stratify_split,,,,,,,0.003146906375291414,0.3940504683440148,0.0008392668650475096,0.005481290646532344
7,sett_scale,,,,,,,,,0.00313983154462393,0.00313983154462393,0.0006151904392085693,0.0006151904392085693
6,sett_preprocess_income,,,,,,,,,0.0029755542199899824,0.0029755542199899824,0.0004908235728658047,0.0004908235728658047
37,sett_model,sett_scale,,,,,,,,0.0029031323981837847,0.007043402370326565,0.0006278333264484629,0.001143311055807868
38,sett_model,sett_stratify_split,,,,,,,,0.0028778566609314075,0.3786615517103901,0.00046935810673874714,0.005405113827810144
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.002873954029469465,0.010508848056231375,0.0007082977784056208,0.0014706540883872268
3,sett_exclude_subgroups,,,,,,,,,0.0028704405331524277,0.0028704405331524277,0.0004897760589861633,0.0004897760589861633
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.0026486992754071155,0.7813659933378982,0.0006164229619197811,0.006846191555671822
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.002530219478593494,0.8385880092964124,0.0006024834768017319,0.007892024620200569
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.0024952900304405813,0.7795896678750105,0.000396964755618772,0.0070215024812483465
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.002285625275428897,0.7771758038719869,0.000361239563255734,0.00735519709967252
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.0020186422556950786,0.3815663523712444,0.0005692586352713274,0.005366020263478853
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0019613313622848785,0.796999562306302,0.0003480218796742244,0.007227440122871821
184,sett_cutoff,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,,0.0019343969755259887,0.7954133868483196,0.0009447006407073714,0.006571549356652659
323,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,0.0018966582734075107,0.842291461382326,0.0006309747039420732,0.0062928039240241805
98,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.001848484892005927,0.3906792228644952,0.0005325388900128727,0.0058382716452531225
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.001749776180699063,0.10253773403970988,0.00064784621736852,0.00349451786360938
123,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,,0.0017314490751081533,0.38904435212890887,0.0003512762554522381,0.005398809889834529
304,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0017102280665963435,0.8444750179195089,0.0004905057004700841,0.007655633754916599
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.001572565593775928,0.019840296674438485,0.0005037388289126431,0.0026343031709184232
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.0015425127757934625,0.7948745149516998,0.00029259707122062187,0.006695675712004158
223,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0015292421643314205,0.408837659725951,0.00042869104919642155,0.006728038834273848
34,sett_exclude_subgroups,sett_stratify_split,,,,,,,,0.001519991038622976,0.3791736881937153,0.0003711346671596763,0.005863981512564048
43,sett_preprocess_income,sett_stratify_split,,,,,,,,0.0014339615056396307,0.3791927723475695,0.00031790139995275596,0.005736943170901978
420,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,0.0013953039750532294,0.88189095259103,0.0002618186116542098,0.007486763102766738
314,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.001391224489751845,0.8295307706365442,0.00027492216431872186,0.006934341251032184
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.0013874057834666184,0.08910808480238305,0.0004613814824650075,0.0030900218934844705
30,sett_exclude_subgroups,sett_model,,,,,,,,0.0012995300878836582,0.005170409048554936,0.0003318147724914942,0.000714827133985004
65,sett_cutoff,sett_model,sett_scale,,,,,,,0.0012933943268408187,0.09732054958077041,0.00045952909520783437,0.0021034706869049948
421,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_scale,sett_stratify_split,,,,0.001284860304768107,0.8669825050074329,0.0003284942462294542,0.007343386055841386
112,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,,0.0012729830426943874,0.38562449641274354,0.00031402038828429966,0.005540831784694355
315,sett_cutoff,sett_exclude_subgroups,sett_model,sett_scale,sett_stratify_split,,,,,0.0012631687615472518,0.8142167608677353,0.0003342623185824385,0.005671533069157356
10,sett_cutoff,sett_exclude_features,,,,,,,,0.0011989408539494378,0.09081363283332292,0.0003985866613317809,0.0030762135773399995
124,sett_model,sett_scale,sett_stratify_split,,,,,,,0.0010866334452825249,0.38633779818822744,0.0005046398941841198,0.006124919004895254
180,sett_cutoff,sett_model,sett_scale,sett_stratify_split,,,,,,0.0010266359290947464,0.7948834446524372,0.00034383432360599996,0.005998079137011725
427,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,0.0010174010032875337,0.8573911362636775,0.00028477000993153227,0.0078060921505770575
305,sett_cutoff,sett_exclude_features,sett_model,sett_scale,sett_stratify_split,,,,,0.0010039734393560685,0.827409806961461,0.00029720749847381156,0.006174192244097364
4,sett_model,,,,,,,,,0.0010004384275188506,0.0010004384275188506,0.000318422094952525,0.000318422094952525
150,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,0.0009696333064449923,0.11525232552646357,0.0002487024102674293,0.004088439556130935
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.0009564327487495225,0.09890186592816096,0.0002567541757723695,0.0029585366630257835
298,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,0.0009554867568605178,0.813327103382049,0.00029062168275700525,0.006390549208321173
173,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,,0.0009423375272418692,0.79166557896251,0.00027004607948762825,0.0070291776875529765
321,sett_cutoff,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,0.0009389409717709904,0.8177460192723177,0.0003281812129308585,0.006928182710536012
143,sett_cutoff,sett_encode_categorical,sett_model,sett_stratify_split,,,,,,0.0009003531660774353,0.785705458430851,0.00046448141872703654,0.007433049625003166
365,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_scale,sett_stratify_split,,,,,0.0008986737985222137,0.4253017260623237,0.00027276039395670226,0.009767989114743006
234,sett_exclude_features,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.0008723245099236836,0.40656130703567006,0.00024817958212435784,0.005268962605267035
222,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_scale,,,,,,0.0008450875668208425,0.030339241712217902,0.0003804990445681343,0.004762593504061976
97,sett_exclude_features,sett_exclude_subgroups,sett_scale,,,,,,,0.000844617903961386,0.01575880846471197,0.00040983883312300986,0.002508901579010737
429,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,sett_scale,sett_stratify_split,,,,0.0008341198902321079,0.8832732070776318,0.00027540595089099734,0.007115425968928974
177,sett_cutoff,sett_model,sett_preprocess_age,sett_stratify_split,,,,,,0.0008332918389944037,0.7868368839127825,0.00023825856919013235,0.007176209745783986
245,sett_exclude_subgroups,sett_model,sett_scale,sett_stratify_split,,,,,,0.0008047558281724613,0.3962620193015955,0.00019126505158688714,0.00663438649226585
302,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_age,sett_stratify_split,,,,,0.0007994682947600646,0.8172995498670097,0.00014991556729657607,0.007612189612720624
299,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_scale,sett_stratify_split,,,,,0.00078778914753595,0.8067669174801322,0.00023537732978619973,0.005412038568086828
58,sett_cutoff,sett_exclude_subgroups,sett_model,,,,,,,0.0007846294038110703,0.09570765481073701,0.00014250332189556623,0.003237983504552711
111,sett_exclude_subgroups,sett_model,sett_scale,,,,,,,0.0007839102698001985,0.01275769277590984,0.00029459664759314127,0.001824646214823071
235,sett_exclude_features,sett_model,sett_scale,sett_stratify_split,,,,,,0.0007777480354782942,0.4042330570888417,0.0003372230169734902,0.006890089154624393
174,sett_cutoff,sett_exclude_subgroups,sett_scale,sett_stratify_split,,,,,,0.0007753517185614736,0.784572829808759,0.00029080079221146913,0.006521770984126012
253,sett_model,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,,0.0007708126534788665,0.40486966735102925,0.0004117216231783908,0.007079578218970614
434,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_scale,sett_stratify_split,,,,0.0007699622624189753,0.8697573577806317,0.00023684766438599952,0.005385445170483126
156,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,,,,,,0.000764388975512789,0.122092014256548,0.00024394266403286085,0.0033885876988801727
33,sett_exclude_subgroups,sett_scale,,,,,,,,0.0007604095147469899,0.006770681592523348,0.0002752827471106712,0.0009214454015833071
418,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_stratify_split,,,,0.0007340924515792642,0.8500079249769237,0.00016992486859318274,0.007672300957203755
229,sett_exclude_features,sett_exclude_subgroups,sett_scale,sett_stratify_split,,,,,,0.0007318219112267097,0.39832649346411364,0.00028571506078448153,0.0071062346665826765
432,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,0.0007179542425055005,0.8415575181531375,0.00025732148260238354,0.007080319181658617
101,sett_exclude_features,sett_model,sett_scale,,,,,,,0.0007168543944939967,0.018488726212607005,0.0003595797967326942,0.002439495987327426
364,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0007108001488591266,0.42488795626256093,0.00016272076895525146,0.006443544803669268
489,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_scale,sett_stratify_split,,,0.0006798105069735574,0.9388415907308455,0.00019432946520783618,0.00642411175049709
312,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_stratify_split,,,,,0.0006797719690251028,0.8028219820355313,0.00016976446780219922,0.007233498509239494
163,sett_cutoff,sett_exclude_features,sett_preprocess_income,sett_stratify_split,,,,,,0.0006741989720102043,0.7937388466822008,0.00019090570749043028,0.006762115067345086
487,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,0.0006627923095285067,0.9057707982938293,0.00020066079081742196,0.007579138958330603
167,sett_cutoff,sett_exclude_subgroups,sett_model,sett_scale,,,,,,0.0006585416657395571,0.10615845797046143,0.0001824434198384779,0.0025115648636279755
72,sett_cutoff,sett_scale,sett_stratify_split,,,,,,,0.0006509998310085608,0.7740683640153943,0.00034042379633106214,0.006803161407962581
319,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,0.0006306486806493943,0.8095058053162727,0.0002082484855880598,0.006396444091013417
291,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,0.0006292136231130364,0.13795865488732334,0.0002663691352146046,0.0036861045861104154
244,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.0006263317785099759,0.39779151149897,0.00015305939447327779,0.005639241676895929
292,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_scale,,,,,0.0006261841583091515,0.1303693533589526,0.00016601517705153038,0.005014450243642043
15,sett_cutoff,sett_scale,,,,,,,,0.0006185423086986421,0.08860861233908657,0.00026676556925180663,0.002572036575520449
118,sett_exclude_subgroups,sett_scale,sett_stratify_split,,,,,,,0.0006122007982949046,0.38423277914112824,0.00027500756321060155,0.006258674177899518
307,sett_cutoff,sett_exclude_features,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,0.0006063824812771551,0.7987868589690325,0.00018130824289789557,0.006775537695737239
182,sett_cutoff,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,,0.0005818368381637364,0.7841038236185407,0.0002714827407616999,0.0068385372235130176
69,sett_cutoff,sett_preprocess_age,sett_stratify_split,,,,,,,0.0005791902058707989,0.7704702838057229,0.00022418043586589124,0.007295928670302698
425,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,sett_scale,sett_stratify_split,,,,0.000573044035593097,0.8379139432662905,0.0001655786608122818,0.005172747928425185
296,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_age,sett_stratify_split,,,,,0.0005613405664378476,0.7994678107678261,0.00022618036854342238,0.006666091338986264
107,sett_exclude_features,sett_preprocess_income,sett_stratify_split,,,,,,,0.0005608680846943256,0.3868334911520275,0.0002448182669490088,0.005225814806309388
117,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,,,0.0005490666143533367,0.38444468401711007,0.0001702864033662391,0.005953925080725366
44,sett_scale,sett_stratify_split,,,,,,,,0.0005466490897471125,0.3784697372563109,0.0002891034117294447,0.006087119264329836
317,sett_cutoff,sett_exclude_subgroups,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,0.0005356643189503978,0.7965696906550814,0.00020974034689814235,0.006983373075323225
423,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,0.0005318840073318511,0.822950568001309,0.00011968053522383459,0.0063812478833274525
166,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,0.0005296951077015333,0.11500981244157918,0.0001504648565849946,0.002714006781365683
157,sett_cutoff,sett_exclude_features,sett_model,sett_scale,,,,,,0.0005285388601783151,0.11244566761136528,0.0002520423853984558,0.0028339241286450237
