,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.37158173622268115,0.37158173622268115,0.00472372614905852,0.00472372614905852
16,sett_cutoff,sett_stratify_split,,,,,,,,0.30844086653314884,0.758528758917122,0.003849212463939732,0.006165138536954794
0,sett_cutoff,,,,,,,,,0.07850615616129199,0.07850615616129199,0.0023722026125102902,0.0023722026125102902
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.007461512678317158,0.7739751111115409,0.0007469580824738801,0.005575494411296875
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.005830831290139737,0.800281105584908,0.0013313708753452309,0.005757170593778051
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.005104529954118846,0.10051356011648407,0.001193327150623908,0.0034967199633106445
25,sett_exclude_features,sett_model,,,,,,,,0.005029567422420322,0.010577349911293664,0.0010362346514952755,0.0012316223654818864
36,sett_model,sett_preprocess_income,,,,,,,,0.004905526638896631,0.008331787488067524,0.0012462244689304105,0.001417416352428339
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.004897310764640343,0.0861452124894003,0.0012466611400855877,0.0025321042854024455
2,sett_exclude_features,,,,,,,,,0.004863267203170426,0.004863267203170426,0.0007686739323727982,0.0007686739323727982
178,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,,,,,,0.004317896135838725,0.12241134123192246,0.0011749583586505685,0.006209721418180741
70,sett_cutoff,sett_preprocess_income,sett_scale,,,,,,,0.003744735907529641,0.09630720016904112,0.0009534168755803234,0.0036350641354586915
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.003686232227594662,0.8020913422857101,0.000973716877050357,0.006065725968263499
12,sett_cutoff,sett_model,,,,,,,,0.003673775748365368,0.08286444719536026,0.000756344138919361,0.0024936363757028625
38,sett_model,sett_stratify_split,,,,,,,,0.00362654848203358,0.37589279999041764,0.0008404750269979749,0.004656327634823507
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.0034631374498262446,0.7711130760150429,0.0009540508142225643,0.005942551893045104
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.003380942522824895,0.020295579422579677,0.0009182744482601962,0.0030304946405663303
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.00328563006465425,0.8319058904977725,0.0008465363811488997,0.007312853731545314
3,sett_exclude_subgroups,,,,,,,,,0.00318224377133991,0.00318224377133991,0.00045099625214393074,0.00045099625214393074
102,sett_exclude_features,sett_model,sett_stratify_split,,,,,,,0.003177819757866865,0.39093311926029717,0.0008813974129100326,0.005960207003446885
7,sett_scale,,,,,,,,,0.0029965298299426076,0.0029965298299426076,0.0005425644968025661,0.0005425644968025661
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.0029287148185062955,0.01097422579301663,0.00029213285471797106,0.0010237817323032177
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.002813425120714461,0.7891991732298087,0.0006392291095727969,0.005967470437290761
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.0028015006429548683,0.7691586311895786,0.0007660856011532061,0.006722648265740009
37,sett_model,sett_scale,,,,,,,,0.002801058548587239,0.006482103664232763,0.000602169151057497,0.0010309601318331276
42,sett_preprocess_income,sett_scale,,,,,,,,0.0027852610331574133,0.008523536426567998,0.0007426724622527901,0.0013406805749521453
6,sett_preprocess_income,,,,,,,,,0.0027417455634679766,0.0027417455634679766,0.0005745410383913399,0.0005745410383913399
323,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,0.0021299560675231755,0.8312277178769332,0.0004989501892584378,0.007750196695169356
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.0021294356217874937,0.7858648061017441,0.0007530721526658283,0.007326555015059081
98,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.002079769321999356,0.38856860760660505,0.000565201267683658,0.005567306348618141
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.001969664886421917,0.37841466831227344,0.0006889911457952288,0.005205112944787255
34,sett_exclude_subgroups,sett_stratify_split,,,,,,,,0.0019632113824860006,0.376727191376507,0.0006026584469410847,0.0046722619015471464
