,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.3703438163254724,0.3703438163254724,0.00629967557752545,0.00629967557752545
16,sett_cutoff,sett_stratify_split,,,,,,,,0.31040542931034193,0.76259523830394,0.006892157947918336,0.007542190008289114
0,sett_cutoff,,,,,,,,,0.08184599266812574,0.08184599266812574,0.0016991167761692427,0.0016991167761692427
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.008017008226018167,0.7787683471448041,0.0012725577317542777,0.008296193891237386
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.005902787060345181,0.1052401613065862,0.0013000567128992268,0.003280902595460046
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.00543014569296528,0.8038316923482853,0.0014474004083076572,0.008547074551795274
36,sett_model,sett_preprocess_income,,,,,,,,0.0052435177890986125,0.00917692722239606,0.001254995993208515,0.0012834639707570636
2,sett_exclude_features,,,,,,,,,0.004935183494353606,0.004935183494353606,0.0006213768859715496,0.0006213768859715496
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.004751369189878537,0.0895877251778374,0.0009278716627851529,0.0017299630293193995
25,sett_exclude_features,sett_model,,,,,,,,0.004742613816029504,0.010620843423847438,0.0008500991512083395,0.001073036421995281
178,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,,,,,,0.004340806096884897,0.12625182871540647,0.0010489825649750916,0.0064461262693516755
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.003955314712318754,0.8076836589655723,0.0008174898401566679,0.00737682301647436
38,sett_model,sett_stratify_split,,,,,,,,0.0036499693355408922,0.3749368317744776,0.000904286354538915,0.006477298750297906
12,sett_cutoff,sett_model,,,,,,,,0.0035630851658406686,0.08635212394743075,0.0005343307344129901,0.0016712145786308653
3,sett_exclude_subgroups,,,,,,,,,0.003373582691348875,0.003373582691348875,0.00044103514251116595,0.00044103514251116595
102,sett_exclude_features,sett_model,sett_stratify_split,,,,,,,0.0032768677636336972,0.38949431208307406,0.0008453998396534215,0.00624283067561772
70,sett_cutoff,sett_preprocess_income,sett_scale,,,,,,,0.003263762762545291,0.09935298217924023,0.0007189655001573001,0.0025217281652714233
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.003251091581393626,0.011559857767096107,0.0008871093936610908,0.001562767079533528
7,sett_scale,,,,,,,,,0.0032376539576434798,0.0032376539576434798,0.0006395342487586983,0.0006395342487586983
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.003212767311509162,0.021145684526324628,0.0009340154918518057,0.003095976043962647
6,sett_preprocess_income,,,,,,,,,0.002990363319833119,0.002990363319833119,0.0005963761557814151,0.0005963761557814151
37,sett_model,sett_scale,,,,,,,,0.002759872827492955,0.006940572898600762,0.0005744283635629141,0.000991015402918199
42,sett_preprocess_income,sett_scale,,,,,,,,0.0027584632072829712,0.00898648048475957,0.0008092788997876502,0.0012301746725077898
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.002739890320497605,0.774732037864268,0.0013070251261254454,0.006765960116152566
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.00260992851904305,0.8360625754611277,0.0008266687120017651,0.008230387743249438
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0026047845852545702,0.7952796003877526,0.0008898663201236904,0.007931168521003146
