,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.36973175178746104,0.36973175178746104,0.005966758365616715,0.005966758365616715
16,sett_cutoff,sett_stratify_split,,,,,,,,0.3059264407990164,0.7563660203176075,0.007272619021701643,0.008480003658277264
0,sett_cutoff,,,,,,,,,0.08070782773113014,0.08070782773113014,0.0029014245044298535,0.0029014245044298535
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.007456946600635632,0.10696566027501045,0.0009396664898800733,0.003749397158400772
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.006469255922423063,0.7708571323788584,0.0009195526542347805,0.008560760669686803
178,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,,,,,,0.005370190576517825,0.13282436003921902,0.0007948546345479838,0.004638987876196827
2,sett_exclude_features,,,,,,,,,0.005154490649024563,0.005154490649024563,0.0006485339566176802,0.0006485339566176802
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.005009105002644627,0.08945540296255841,0.0015596771348022655,0.003660691382996868
36,sett_model,sett_preprocess_income,,,,,,,,0.004808054675643167,0.009553392727163525,0.0007723793440734696,0.0011975342227539996
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.004699607568519855,0.7932314837967209,0.0016395363029668038,0.008254750697600175
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.004252242804989425,0.023987223849254648,0.0010381117644194685,0.0033591755630612294
12,sett_cutoff,sett_model,,,,,,,,0.004238388213436519,0.08595308376730337,0.0006203217853028807,0.0031465346048870162
25,sett_exclude_features,sett_model,,,,,,,,0.004155323403263323,0.010316681875024592,0.0011169037954956368,0.0013447561957391674
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.004105344359180875,0.7710394291944496,0.0016129908875265571,0.007942390641412006
70,sett_cutoff,sett_preprocess_income,sett_scale,,,,,,,0.003964681953430228,0.10129181932690141,0.0008961623920047399,0.004203810323475527
6,sett_preprocess_income,,,,,,,,,0.0037384702287836516,0.0037384702287836516,0.0006963911784806047,0.0006963911784806047
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.0037161412903758007,0.8030688503924905,0.001199153952733022,0.008181482348782687
42,sett_preprocess_income,sett_scale,,,,,,,,0.0036797045205849083,0.011040225419105487,0.0011157244592031644,0.0020578016664197585
7,sett_scale,,,,,,,,,0.003622050669736928,0.003622050669736928,0.0008665960698714303,0.0008665960698714303
37,sett_model,sett_scale,,,,,,,,0.002879833126779862,0.0075087516192534984,0.0006002661107864538,0.0013002407707921745
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.002864211813081818,0.010748922856513675,0.0007054037846047431,0.001394557005059264
38,sett_model,sett_stratify_split,,,,,,,,0.0027766001026547343,0.3735152197128525,0.0006904931359607124,0.005649035537796614
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.0027656156530035075,0.8211208174743438,0.000901082828734961,0.009317123789452111
3,sett_exclude_subgroups,,,,,,,,,0.002730220394407295,0.002730220394407295,0.00047761273965315674,0.00047761273965315674
102,sett_exclude_features,sett_model,sett_stratify_split,,,,,,,0.0024479658435712756,0.38688766593503365,0.0005184554096782877,0.004869379393197724
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.002268206965902855,0.766224592190322,0.00044091751380979374,0.008447589223477154
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0021008913382350386,0.7843325540105095,0.0004353082719404143,0.008388429771649004
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.002038536049349442,0.7635080986467653,0.00042767899974296915,0.008530248198200696
304,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0020161726490058305,0.8322322456648984,0.0007171575864464659,0.007205869852604009
43,sett_preprocess_income,sett_stratify_split,,,,,,,,0.0018204892862328233,0.3752907113024775,0.0004959684279444159,0.005767622681157435
323,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,0.0017809237936426308,0.8361583746357966,0.0005545052938499404,0.007068114242031136
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.001758044608843342,0.7808256289314254,0.0003623729478082443,0.008575197806215466
98,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0017250788770873165,0.38515128700038037,0.00045296217200521514,0.005083232166569772
112,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,,0.0017033553304963878,0.3808654228909228,0.0003996498520296132,0.005327723368416093
314,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.001694757445270431,0.8230367708939246,0.000598623204322205,0.008016580732990618
184,sett_cutoff,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,,0.001683596171271005,0.7862113135865643,0.0008829874694572207,0.007636089374893991
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.0016146663263220539,0.3765009087628076,0.0005274111978708028,0.00576001513182396
30,sett_exclude_subgroups,sett_model,,,,,,,,0.0015857603001703665,0.005322848517314369,0.0004914056592324401,0.0009046647966458681
223,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0015686731051361862,0.40189604970913084,0.0004084802653072235,0.003954472844435899
123,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,,0.0015571665701355243,0.38543940047364766,0.000599291870708096,0.005473814470517583
65,sett_cutoff,sett_model,sett_scale,,,,,,,0.0015200168915784702,0.09454496367598955,0.000346401644681826,0.003395503187255348
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.0015002168007214969,0.01899709118340557,0.0003942186042292566,0.0027589032369836307
420,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,0.0014077374943854324,0.8724434994115815,0.0003932792895391054,0.009348352946224093
34,sett_exclude_subgroups,sett_stratify_split,,,,,,,,0.0013308671529962774,0.3737928393348646,0.0003106616498420953,0.005894462339966404
173,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,,0.001283554597955875,0.7809882463731239,0.0005247387248537576,0.007587325863757833
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.001212882729793461,0.09729698848084975,0.0005250442314203998,0.004101448336185227
321,sett_cutoff,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,0.0011905147550674991,0.8124659571763686,0.000547116258629454,0.008136318159260624
150,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,0.0011204480751651285,0.11019526004332514,0.00019546300383436468,0.0054545921732420686
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.0011116231129330886,0.09443203636444672,0.00030166498431698896,0.0038946895105171587
163,sett_cutoff,sett_exclude_features,sett_preprocess_income,sett_stratify_split,,,,,,0.0010780385326272196,0.7833833907973888,0.00030919131534280883,0.007530192619098306
298,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,0.0010770745202297555,0.803266959081827,0.0003125934350489152,0.006735240377421834
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.001042454732404769,0.0844805028579422,0.00031022763385587425,0.0031644787996341164
143,sett_cutoff,sett_encode_categorical,sett_model,sett_stratify_split,,,,,,0.0010410012559468463,0.773369784343334,0.0004068273125346998,0.008610496895964312
4,sett_model,,,,,,,,,0.0010068678227367078,0.0010068678227367078,0.0003369393115714788,0.0003369393115714788
180,sett_cutoff,sett_model,sett_scale,sett_stratify_split,,,,,,0.0010026436989307784,0.7823170870392501,0.00036129231241549824,0.008636981474794652
69,sett_cutoff,sett_preprocess_age,sett_stratify_split,,,,,,,0.0009674549249583462,0.7587330675411106,0.0004972656293735404,0.008625873501305023
427,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,0.0009601029838293179,0.848702066722749,0.00033192108961504227,0.008152738356794023
421,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_scale,sett_stratify_split,,,,0.000952372683883254,0.8468629662355129,0.0002818213442761773,0.011445513995439987
58,sett_cutoff,sett_exclude_subgroups,sett_model,,,,,,,0.0009433363335914192,0.09225485552787721,0.00024137821598473673,0.0035605336985331027
234,sett_exclude_features,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.0009409682926345979,0.40124568139956573,0.0003391972441940079,0.004711572288671579
432,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,0.0009364569789074694,0.8394373160900077,0.0003741828955460799,0.009238439882770103
182,sett_cutoff,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,,0.000921500084319963,0.7755079352870314,0.00030292555779842545,0.007847841366310313
177,sett_cutoff,sett_model,sett_preprocess_age,sett_stratify_split,,,,,,0.0008715942927036538,0.7753629365216983,0.00025739367518297596,0.008679913687059757
315,sett_cutoff,sett_exclude_subgroups,sett_model,sett_scale,sett_stratify_split,,,,,0.0008689769365725919,0.800907162734463,0.0002565967295523485,0.0088112426256995
10,sett_cutoff,sett_exclude_features,,,,,,,,0.0008212079314650368,0.08668352631161974,0.000281142771505534,0.003248658457766772
312,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_stratify_split,,,,,0.0008204130944122385,0.792021355405003,0.00029695346776400047,0.008928403284722917
156,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,,,,,,0.0008188572267393556,0.1205352027297405,0.0003000881724173093,0.004709339081302512
174,sett_cutoff,sett_exclude_subgroups,sett_scale,sett_stratify_split,,,,,,0.000801920973920429,0.7715074535088203,0.0002493434662476604,0.008756036287555736
302,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_age,sett_stratify_split,,,,,0.0007847404586751108,0.8008260904340869,0.00026437872608629033,0.008633845599665286
307,sett_cutoff,sett_exclude_features,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,0.0007843670657424907,0.7907911222920043,0.00023452608902741859,0.007395315498152192
244,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.0007832703765308028,0.3950062856605235,0.00028295449439392313,0.005191047446456893
418,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_stratify_split,,,,0.0007612172367822558,0.8350657971999375,0.00028667279856941824,0.010647297743810848
364,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0007570630897359356,0.4206186280808615,0.00023857027773892457,0.003989932764395455
317,sett_cutoff,sett_exclude_subgroups,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,0.0007416279961972993,0.7884218868398862,0.00019554073499418768,0.007623416534894688
72,sett_cutoff,sett_scale,sett_stratify_split,,,,,,,0.0007398732296842615,0.7618699233107453,0.00042807548745304536,0.008488533877466876
291,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,0.0007341688252347304,0.1375842117974955,0.0002975768715518581,0.0067015527047863295
487,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,0.0007334834782593242,0.9022842565294877,0.0002319851301890061,0.012186606638538999
148,sett_cutoff,sett_encode_categorical,sett_preprocess_income,sett_stratify_split,,,,,,0.0007287616036673843,0.7733246867916796,0.0003392815812764216,0.008151121184170329
166,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,0.0007106422373562573,0.1153794661830877,0.0003231574307201206,0.004409595092139344
365,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_scale,sett_stratify_split,,,,,0.0006916968561570181,0.4171271001943908,0.00029508228026285286,0.006462751350801789
33,sett_exclude_subgroups,sett_scale,,,,,,,,0.0006907724020849631,0.007043043466229186,0.00026180601243061037,0.00105800938860332
222,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_scale,,,,,,0.0006901424206171081,0.02939958542510884,0.0003598726147632301,0.0046012950755671776
97,sett_exclude_features,sett_exclude_subgroups,sett_scale,,,,,,,0.0006795234101310474,0.016362875918371288,0.0002190728878661145,0.002139037025977178
434,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_scale,sett_stratify_split,,,,0.000672453502736491,0.864230543049779,0.00023363889282196937,0.005617992858702523
305,sett_cutoff,sett_exclude_features,sett_model,sett_scale,sett_stratify_split,,,,,0.0006521994817088265,0.8086658297914681,0.00026191914260755743,0.00903520980652754
