,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.3708909361285569,0.3708909361285569,0.007493117300082406,0.007493117300082406
16,sett_cutoff,sett_stratify_split,,,,,,,,0.30563819087540023,0.7561317122421359,0.00727904948128372,0.010903434395558945
0,sett_cutoff,,,,,,,,,0.07960258523817877,0.07960258523817877,0.003008059290034355,0.003008059290034355
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.006705011794948852,0.7710494894923973,0.001027930812803197,0.011178476676493493
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.00580860944893132,0.7973168161043689,0.0016829461555411815,0.010204698448491865
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.005688304796707841,0.10472017144232912,0.001231695400747921,0.0032203663015636045
2,sett_exclude_features,,,,,,,,,0.005535791370888218,0.005535791370888218,0.0009700027676169979,0.0009700027676169979
36,sett_model,sett_preprocess_income,,,,,,,,0.005488889546158954,0.009897842312533829,0.0010727138984924212,0.00147335183869962
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.005372837355569005,0.08823390642915213,0.0015024910032888756,0.0028331247753342727
25,sett_exclude_features,sett_model,,,,,,,,0.0047817708636412925,0.01146803116550002,0.0013400231373753607,0.0013881312914145016
178,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,,,,,,0.004479998207292172,0.1280949015208982,0.0014634363336501913,0.0037979950166327943
12,sett_cutoff,sett_model,,,,,,,,0.004158601739339681,0.08491165590848895,0.0006872786803884906,0.003308778245967289
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.004005977080750596,0.8007884823949984,0.001375614414636325,0.011593446772147001
7,sett_scale,,,,,,,,,0.003817696919063115,0.003817696919063115,0.0005974259397767516,0.0005974259397767516
70,sett_cutoff,sett_preprocess_income,sett_scale,,,,,,,0.0036549359649603866,0.09982394644970034,0.0009502747694500837,0.003222196295656512
42,sett_preprocess_income,sett_scale,,,,,,,,0.003577115670806617,0.010653296425274097,0.0008671915339569118,0.0013368064061220883
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.0032855485103007306,0.023552998198391434,0.0009290853645440398,0.0024561124156739305
6,sett_preprocess_income,,,,,,,,,0.003258483835404366,0.003258483835404366,0.0005295372041124542,0.0005295372041124542
3,sett_exclude_subgroups,,,,,,,,,0.003254569734508111,0.003254569734508111,0.000481690578691942,0.000481690578691942
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.0030155626679799112,0.011805923773376241,0.0005955094507158902,0.0014496160254437046
37,sett_model,sett_scale,,,,,,,,0.002974794785687143,0.007942960635720768,0.0007236529774502214,0.000991232579138614
38,sett_model,sett_stratify_split,,,,,,,,0.002903694785002326,0.37494509984452973,0.0006707617024168004,0.007534967757698523
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.0027423394941554977,0.8265709876853264,0.0005996773259367936,0.011038458407947984
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.002702393430918394,0.7673800313225982,0.0004709530746005003,0.01110895917844098
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.0026665781025480397,0.7688620204905163,0.0008054412485473345,0.010317215224861542
102,sett_exclude_features,sett_model,sett_stratify_split,,,,,,,0.0026484122060517895,0.3899180745363014,0.0007246100655607605,0.006265304541755745
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0024186497734760555,0.7854512223728483,0.0005218410212504343,0.011654957075694784
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.002337654482598466,0.7646387074258452,0.0005982936585263006,0.01096374774784329
304,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.002236229900858243,0.8345010059800879,0.0013359164323324983,0.011738188611319483
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.002048934342422829,0.7838769290641106,0.0005919461431879389,0.011127765959342336
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.002007000251190354,0.37843372775063544,0.0005459846946091672,0.007113330327486005
323,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,0.0018698968602192086,0.8313959558291435,0.00047209042623690654,0.01274467207148707
123,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,,0.0018255132306033862,0.3869503954115554,0.0005452139218736508,0.007450162156191474
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.0017802150128848908,0.09801256718336866,0.0006644445520104727,0.0038390893680275745
98,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0017367703641465427,0.38799003765137996,0.0005075989147633596,0.006717921492949461
184,sett_cutoff,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,,0.0017001882788007798,0.7836927068394474,0.000940238552032553,0.010967146527950436
223,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0015624137133425896,0.40502505461637794,0.00041027330438586055,0.005830418131793218
34,sett_exclude_subgroups,sett_stratify_split,,,,,,,,0.001549407134109914,0.37569491299717495,0.00027572725811363927,0.007403987347507811
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.0014617678243971123,0.020389543713092803,0.00042430513265653624,0.0023468500507111876
43,sett_preprocess_income,sett_stratify_split,,,,,,,,0.0014324089548589602,0.37558182891882025,0.0005384279116606008,0.007100947057462121
