,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.37374636126881433,0.37374636126881433,0.003970728710654263,0.003970728710654263
16,sett_cutoff,sett_stratify_split,,,,,,,,0.31065738629968337,0.7632775557148632,0.0029823387888165366,0.004202942948625621
0,sett_cutoff,,,,,,,,,0.07887380814636549,0.07887380814636549,0.0022779214257305654,0.0022779214257305654
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.006994779025320837,0.778035950347882,0.0008514521938482852,0.00397824033846929
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.005830595696330415,0.8037940249770581,0.0013864926567355342,0.005097671060543798
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.005412136877722672,0.10254560842763405,0.0010465125179266372,0.003568452659590426
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.005118714995470975,0.08730408242575499,0.0009808440743187528,0.00237641897023495
36,sett_model,sett_preprocess_income,,,,,,,,0.005057431254010218,0.009580474585431976,0.0008608519871718995,0.001185182214566872
2,sett_exclude_features,,,,,,,,,0.005051905514629312,0.005051905514629312,0.000595858403922208,0.000595858403922208
178,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,,,,,,0.0050465798641572525,0.127102007094081,0.0010631872271742626,0.0062879543010582375
25,sett_exclude_features,sett_model,,,,,,,,0.004386933746164139,0.010650323308296666,0.0007660596794788348,0.0011020972250834142
70,sett_cutoff,sett_preprocess_income,sett_scale,,,,,,,0.0040565896363369295,0.09866821993935945,0.0008982087179170345,0.0032388686023582425
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.0039591872083766955,0.022739816260282635,0.0008261277379528588,0.0028613496523682436
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.0038525842040157405,0.8081810712296726,0.0006680411413370156,0.0055718014535523054
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.0038199944070780147,0.77716531177594,0.0008683424191190471,0.004718011497438161
12,sett_cutoff,sett_model,,,,,,,,0.003560473822642944,0.08364576601651165,0.0006429905806304238,0.002423107208070188
42,sett_preprocess_income,sett_scale,,,,,,,,0.00355470601938623,0.00973423589905003,0.0008524260549724502,0.0015879760936809864
6,sett_preprocess_income,,,,,,,,,0.003311559283918542,0.003311559283918542,0.0008000621184579081,0.0008000621184579081
38,sett_model,sett_stratify_split,,,,,,,,0.002991657737551658,0.37794950305386926,0.0007983736114588385,0.004009328813338568
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.0029506613579919666,0.7745514766156685,0.0005172797799742022,0.00420385592934726
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.002885253347433372,0.010773675780749316,0.0006151428326665539,0.0012944849005369734
7,sett_scale,,,,,,,,,0.0028679705957452596,0.0028679705957452596,0.0004941169490741567,0.0004941169490741567
3,sett_exclude_subgroups,,,,,,,,,0.0028365169186866327,0.0028365169186866327,0.0003848349851104277,0.0003848349851104277
37,sett_model,sett_scale,,,,,,,,0.0027774778513424752,0.00685693249459095,0.00048155624404706837,0.0007289783841874662
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.002737371562122969,0.7723775124107571,0.0007356734906616532,0.0046053132245812475
102,sett_exclude_features,sett_model,sett_stratify_split,,,,,,,0.002722842626274565,0.3921846140938939,0.0007842932830880448,0.004112243430126508
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.0026684661938306147,0.8339778927951069,0.000632210459729777,0.006496992805731316
