,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.3648533635178188,0.3648533635178188,0.006175737799058146,0.006175737799058146
16,sett_cutoff,sett_stratify_split,,,,,,,,0.3060212731530547,0.7522121655605434,0.004707267874298495,0.004361315594324397
0,sett_cutoff,,,,,,,,,0.08133752888966984,0.08133752888966984,0.0024789189019078428,0.0024789189019078428
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.009385422363604675,0.7705675128098135,0.0012970898112012119,0.005490017547239106
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.006311020221931047,0.1071540406132782,0.0008601417502995774,0.002707335744615562
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.005597497295367959,0.09022513167939916,0.0008527314271371706,0.0024309032616164823
36,sett_model,sett_preprocess_income,,,,,,,,0.005391279792261958,0.00971616679921663,0.001350213622274645,0.0015252249179491548
2,sett_exclude_features,,,,,,,,,0.005211760837315628,0.005211760837315628,0.0008435993133133925,0.0008435993133133925
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.004727423107966085,0.7938662426694426,0.0009832433211959327,0.006163784878151539
178,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,,,,,,0.004627185991511323,0.1306230761694291,0.0010390450944221122,0.005082987541818299
25,sett_exclude_features,sett_model,,,,,,,,0.004383461084265093,0.010630003434174019,0.0010820360714224775,0.0006191358364169827
12,sett_cutoff,sett_model,,,,,,,,0.004191827407092719,0.08656413780935586,0.00038953540157937825,0.0025706583008786752
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.004048076769051775,0.02343669724573148,0.0013149732546887537,0.003120964242731944
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.0038541117032217004,0.7663599527914913,0.0007990186080905147,0.00410922833709933
38,sett_model,sett_stratify_split,,,,,,,,0.0037433159659794905,0.36963146099639155,0.0010490505230826128,0.006019723081669447
70,sett_cutoff,sett_preprocess_income,sett_scale,,,,,,,0.0035915557797977496,0.10070855119679925,0.0009703766302254053,0.0035194847934321705
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.0035380124883655044,0.8016822539214539,0.0010936588587056651,0.006010062572503393
7,sett_scale,,,,,,,,,0.0034542073010793177,0.0034542073010793177,0.0009244588189095438,0.0009244588189095438
6,sett_preprocess_income,,,,,,,,,0.0032901054943613737,0.0032901054943613737,0.0006656186878365626,0.0006656186878365626
3,sett_exclude_subgroups,,,,,,,,,0.0032004468919018393,0.0032004468919018393,0.000510620318342855,0.000510620318342855
37,sett_model,sett_scale,,,,,,,,0.0031850010226764022,0.007673989836349018,0.0005927750445288398,0.001181412455395039
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.0031279688682233054,0.011540176597440773,0.000590701373117166,0.0011884759400113702
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.00307225637535678,0.8247596986686789,0.0007131601985466888,0.0076511990425229374
42,sett_preprocess_income,sett_scale,,,,,,,,0.0030332453537073563,0.009777558149148049,0.0007398942896286372,0.0019120068182696159
102,sett_exclude_features,sett_model,sett_stratify_split,,,,,,,0.002857826377787911,0.3838259007975209,0.0007212402504729715,0.006314583257123481
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.002550854647554438,0.7853123924215161,0.000618623077072934,0.005974537974457518
98,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0023006048835700972,0.3819464358499547,0.000540586863909431,0.005957044197204547
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0022877368713093513,0.7604984460205613,0.0007298655617343663,0.004479110008478155
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.0022714412163090266,0.7624269440850429,0.0005840489876311482,0.004742126545932246
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.0021416527218476016,0.7795185588578414,0.0006669093152404903,0.005223163408249194
323,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,0.0020253427276916954,0.8329138248022991,0.0006540642179923426,0.008436629935614535
184,sett_cutoff,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,,0.001962523749103601,0.7804104899362448,0.0008956883093124462,0.004880620923680006
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.001741391501760712,0.37180651585689517,0.00044694619136634886,0.006335192231425008
123,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,,0.0017266413781339442,0.3814455603991457,0.0004801974021682563,0.00625080023076073
314,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0016905750187289222,0.822862695826472,0.0005217704271354336,0.006753176772335847
223,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0016426317185502994,0.4000042197732972,0.000415668428118332,0.006414579251956375
304,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0016356952026489382,0.8314018752192447,0.0005049579287588859,0.007206533218913491
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.001583838401437511,0.019803710167472472,0.00048473370344666214,0.0012440263994023643
112,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,,0.0015504762909931227,0.37715473610038663,0.00044402038401959726,0.005934734815617502
420,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,0.001520809220185687,0.8747167835295058,0.0005014142711785859,0.008671312806894775
34,sett_exclude_subgroups,sett_stratify_split,,,,,,,,0.0015108993493642927,0.36956470975908495,0.00046634077824662793,0.005886775311590773
43,sett_preprocess_income,sett_stratify_split,,,,,,,,0.0014060727379967947,0.36954954175017696,0.00041331899462475975,0.00627951317467423
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.0012871973474423996,0.08582517312901408,0.0004121965519340035,0.0026488060414399392
30,sett_exclude_subgroups,sett_model,,,,,,,,0.0012614525717357973,0.005496680976230935,0.0002528301338089519,0.0007490670321812183
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.0012351078391396133,0.09639019564280674,0.00032175568553729226,0.003253956674805455
298,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,0.0012045501161483145,0.8015917498739686,0.0003936960845926214,0.004851672826522212
173,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,,0.0012006483387551445,0.777264211823419,0.00032078393614477714,0.004225763411073555
