,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.3717173543954763,0.3717173543954763,0.007008791372809861,0.007008791372809861
16,sett_cutoff,sett_stratify_split,,,,,,,,0.30600676436371377,0.7571873933334474,0.005808936973483316,0.009844567634078222
0,sett_cutoff,,,,,,,,,0.07946327457425732,0.07946327457425732,0.0038752762302629515,0.0038752762302629515
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.008068152117522355,0.7734413198945216,0.0014537311683964708,0.008675520103764163
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.005580169492251576,0.7987810890827081,0.0015107874984978838,0.00975078226925527
36,sett_model,sett_preprocess_income,,,,,,,,0.004889346164339457,0.008446478465719769,0.001035618787921989,0.0014066874129782371
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.004883688413143693,0.10146705464165283,0.0010338693899615854,0.004745010961455502
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.00479844271028575,0.0870643498892925,0.0007524774687252955,0.00398329310075099
25,sett_exclude_features,sett_model,,,,,,,,0.004707553754252084,0.010079678850927982,0.0010636932762024887,0.0013834236671435203
2,sett_exclude_features,,,,,,,,,0.0046176254000450095,0.0046176254000450095,0.0007627386052893083,0.0007627386052893083
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.00439339106854178,0.8015323807212942,0.000657097292827136,0.007510014743219621
12,sett_cutoff,sett_model,,,,,,,,0.0038751704782462953,0.08409294474913451,0.0006099451074856655,0.003974586780020724
178,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,,,,,,0.0037648736685086835,0.11925329235708523,0.0011127267299917323,0.007474846369286612
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.00357950871860588,0.011445478910389845,0.0006474195827083909,0.0014210668033325918
38,sett_model,sett_stratify_split,,,,,,,,0.0035561042686745852,0.3760279583607818,0.0008055322614558626,0.006589441036690332
102,sett_exclude_features,sett_model,sett_stratify_split,,,,,,,0.0033081430297819845,0.39057829359490925,0.0010328813576450384,0.006991432833641363
3,sett_exclude_subgroups,,,,,,,,,0.0032483447917389546,0.0032483447917389546,0.0003849018922482212,0.0003849018922482212
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.00320129486727644,0.8338675995334983,0.000739798466285799,0.012156910982004115
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.003163745269858212,0.7904712625169736,0.0008336578271333626,0.009034759776473727
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.003042711206287944,0.7691233116304163,0.0008637835838200896,0.009679267990601148
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.0028682462015354308,0.018374640066012485,0.0009347220443339841,0.003084421481809747
6,sett_preprocess_income,,,,,,,,,0.002802632604749422,0.002802632604749422,0.0007128385937380185,0.0007128385937380185
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.002656204709744023,0.766489052564294,0.0007667755494179958,0.010334417948981121
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.00261446662851345,0.7673157207120811,0.0003751746858156771,0.010318531538301074
70,sett_cutoff,sett_preprocess_income,sett_scale,,,,,,,0.002526851141800019,0.09469525490174233,0.0008190207536433573,0.004884504152558654
98,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0025117860934247603,0.38951093229123107,0.0006930473239146093,0.007667877410682461
