,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.37396162684740664,0.37396162684740664,0.006823770543847262,0.006823770543847262
16,sett_cutoff,sett_stratify_split,,,,,,,,0.3032074976166131,0.7587208059493512,0.0058548999362201225,0.008532836403176987
0,sett_cutoff,,,,,,,,,0.08155168148533151,0.08155168148533151,0.004135391922827613,0.004135391922827613
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.007301610651415396,0.7741349527554708,0.0014265588022094203,0.007977974587063154
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.006553326964035763,0.1058718409057687,0.0012175309745134752,0.003722599072945316
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.006092148801826518,0.8009950827965433,0.0015703676210766604,0.008321349214701883
25,sett_exclude_features,sett_model,,,,,,,,0.005268263147209168,0.011241064235305914,0.0013071750218586343,0.0018890049253013034
36,sett_model,sett_preprocess_income,,,,,,,,0.005167939166076729,0.009595417356349728,0.001056365698055946,0.001724544591229989
178,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,,,,,,0.00465434935904982,0.12814799365618548,0.001037273035745417,0.005207642909643431
2,sett_exclude_features,,,,,,,,,0.0046056988968456395,0.0046056988968456395,0.0006118917252824158,0.0006118917252824158
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.004506337811861803,0.08911839529621521,0.0012738792341292534,0.004021950603612186
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.003911431182557446,0.8047103373427361,0.0011310193399734793,0.0062932776818203475
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.0037074940576209596,0.02202597424096103,0.0008175614599303665,0.002782968800181445
12,sett_cutoff,sett_model,,,,,,,,0.0036650772881898983,0.08658386096477252,0.0005724872018325304,0.003973716853648225
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.003500677988001256,0.7717910992144023,0.0008435931369417381,0.007569163258416321
102,sett_exclude_features,sett_model,sett_stratify_split,,,,,,,0.003374287223300506,0.3937994638686077,0.0011924368454365691,0.0069193407052028765
70,sett_cutoff,sett_preprocess_income,sett_scale,,,,,,,0.003335271836873475,0.09895322224577584,0.0010912874880306795,0.0043443927882832
3,sett_exclude_subgroups,,,,,,,,,0.003260180226258437,0.003260180226258437,0.0006018801946135458,0.0006018801946135458
38,sett_model,sett_stratify_split,,,,,,,,0.003080356675263237,0.37840908571392096,0.0006934433771855362,0.0066799649434569055
6,sett_preprocess_income,,,,,,,,,0.0030603759990218945,0.0030603759990218945,0.0009501107394017667,0.0009501107394017667
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0030482489078586454,0.7893888395624697,0.0006070418604906347,0.00748692245631014
7,sett_scale,,,,,,,,,0.0030393613456978115,0.0030393613456978115,0.000632987408945103,0.000632987408945103
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.003034855982590393,0.8311267456838021,0.0006655910837810776,0.008539465946946195
37,sett_model,sett_scale,,,,,,,,0.002846536121164235,0.007252999658113152,0.0005791182085178438,0.001060484533215829
42,sett_preprocess_income,sett_scale,,,,,,,,0.002837165360128296,0.008936902704848003,0.0006542445747680387,0.0017518778424818896
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.002820080102803154,0.7692725957413895,0.000772229425425795,0.008053896338369403
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.002519179255855407,0.010385058378959484,0.0006511388393837059,0.0008217874960634296
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.002274059659297437,0.7672205065727629,0.0005916020955512013,0.007979136675471581
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.00214212888733143,0.3807094546315837,0.0007205945450464859,0.007100232273771629
304,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.002108852267271851,0.8392262591360238,0.0008841540674192586,0.009135629611772457
43,sett_preprocess_income,sett_stratify_split,,,,,,,,0.0020029014661660637,0.3790249043125946,0.000642140940153511,0.00675213671476843
323,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,0.0019328487302495458,0.8335641985900715,0.0006137423896268739,0.006620613601235882
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.0019278277558232187,0.7852231912937716,0.000409763716411255,0.007383239481529644
314,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0019082346065551678,0.8267918365777739,0.0007813356976728644,0.00564821427894861
223,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0018883598477080824,0.40910305483743514,0.0007180887664370146,0.007178711777939253
123,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,,0.0018723940095443205,0.39051269635472996,0.0006387364931788946,0.00692360966914257
98,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.001820163531648713,0.38996261843673297,0.0005705530738250098,0.006758777297514621
34,sett_exclude_subgroups,sett_stratify_split,,,,,,,,0.0016536407913867596,0.37887544786505184,0.0005774476810490653,0.006289740301411311
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.001573641076698053,0.09901534599058345,0.0006736689967397114,0.003714671474487706
420,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,0.001529096021807582,0.8823004440213211,0.0004233376229588593,0.007090614143145085
112,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,,0.0015012663502694417,0.38611030416720393,0.0003842933486517683,0.00622069195762138
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.0013746698803322685,0.019681224683120346,0.00034459419438344997,0.0022860530472752997
184,sett_cutoff,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,,0.0013731034556237498,0.7841986943905415,0.0006302747752015368,0.006526133411879985
4,sett_model,,,,,,,,,0.0013671021912511046,0.0013671021912511046,0.0005496397634634246,0.0005496397634634246
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.0013118199464690668,0.08612368165805903,0.0005192177412800988,0.0039006217290509597
30,sett_exclude_subgroups,sett_model,,,,,,,,0.001286131085368322,0.005913413502877864,0.0004406590125435826,0.001014753649049519
65,sett_cutoff,sett_model,sett_scale,,,,,,,0.0012329462630211482,0.09432573310151676,0.00040654615385551566,0.0036386485284154078
234,sett_exclude_features,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.0012143565951694378,0.40889662502341145,0.0005322949500622545,0.007643297840934838
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.001183724385643077,0.0954161661014612,0.00045334393837789854,0.0035031520260366
143,sett_cutoff,sett_encode_categorical,sett_model,sett_stratify_split,,,,,,0.0011750689346741855,0.7772659769685781,0.0003489310875138451,0.007953391271967706
298,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,0.0011449635379152236,0.8061101642800657,0.0003060006539856048,0.0066428587169853025
