,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.3714570197621874,0.3714570197621874,0.003944950668154647,0.003944950668154647
16,sett_cutoff,sett_stratify_split,,,,,,,,0.31188142958723863,0.7646039392385127,0.005257181861334303,0.007737667029768232
0,sett_cutoff,,,,,,,,,0.0812654898890866,0.0812654898890866,0.002037720368926446,0.002037720368926446
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.007397041010353081,0.7799282179021562,0.0009223032972508862,0.0080081265484388
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.007039040482856955,0.8083830175600546,0.001851355967072253,0.010530465123904107
25,sett_exclude_features,sett_model,,,,,,,,0.005717988944439722,0.010959122362918012,0.0010338431301889343,0.0011439554363837426
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.005379527288078981,0.10352101753538137,0.0011207212955187025,0.0023105531391396854
36,sett_model,sett_preprocess_income,,,,,,,,0.005164382525223217,0.008531226089459845,0.0008868508473410752,0.0013262810069338785
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.004739062179627335,0.08858010990739273,0.0006720547652838896,0.0018091067182898872
178,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,,,,,,0.004705387213628577,0.12542106966887212,0.0012032550336039313,0.005422920962879093
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.0045274327908742616,0.8091378133825744,0.0009973165883903627,0.005917233200781549
2,sett_exclude_features,,,,,,,,,0.004449847692920459,0.004449847692920459,0.0007052450184411093,0.0007052450184411093
102,sett_exclude_features,sett_model,sett_stratify_split,,,,,,,0.004058304038813878,0.39183216957756783,0.0007304597423827982,0.0039750834742950745
12,sett_cutoff,sett_model,,,,,,,,0.003605712089128613,0.08566248770377304,0.0005630671708929343,0.0018304128505398452
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.0035489272018656435,0.7770452346570403,0.0007835407080230726,0.00703950241180634
38,sett_model,sett_stratify_split,,,,,,,,0.003530239838604029,0.3757785453263493,0.0008125191283213455,0.0036512101317791265
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.003446617991814249,0.020848016276564303,0.0009195045196419812,0.0027270211765116946
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.003295396322356473,0.010323548238350456,0.000711545180538799,0.0011070863694164661
7,sett_scale,,,,,,,,,0.0031619211836307346,0.0031619211836307346,0.0005907876942257369,0.0005907876942257369
42,sett_preprocess_income,sett_scale,,,,,,,,0.0030466101345300255,0.008784089156839557,0.0007688103581999704,0.001480324930942527
70,sett_cutoff,sett_preprocess_income,sett_scale,,,,,,,0.003043108909873484,0.09830189498475037,0.0010420752945991111,0.0031859471539479895
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.0029866243469821013,0.8382518259526591,0.0008539506603986539,0.011160508108322127
37,sett_model,sett_scale,,,,,,,,0.002661640877129448,0.006614847786318014,0.0005061861060922608,0.000774155267184565
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.0026049986924648483,0.7746134870512877,0.0004767536952568537,0.008410707433352944
3,sett_exclude_subgroups,,,,,,,,,0.0025783042230735236,0.0025783042230735236,0.0005019265622204857,0.0005019265622204857
6,sett_preprocess_income,,,,,,,,,0.002575557838678798,0.002575557838678798,0.0005971022607605355,0.0005971022607605355
