,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.3726171226285542,0.3726171226285542,0.006648931197732253,0.006648931197732253
16,sett_cutoff,sett_stratify_split,,,,,,,,0.3086464306425123,0.7621189361739822,0.007795680262864039,0.008923199001688805
0,sett_cutoff,,,,,,,,,0.08085538290291569,0.08085538290291569,0.00250883654110215,0.00250883654110215
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.007094886164664113,0.10735698999662047,0.0008199198106352305,0.003680001434607349
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.006650265571572546,0.7765951695064984,0.001168189075853227,0.00884215381197782
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.005897929431696978,0.08990180847949271,0.0008599958965837664,0.0028975163088458154
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.005661979638012176,0.8010724772346092,0.0017629373713117385,0.009480358160554429
36,sett_model,sett_preprocess_income,,,,,,,,0.00527054177254512,0.009573520565608052,0.0009855877935527372,0.0014106791884212551
2,sett_exclude_features,,,,,,,,,0.0050208740565354446,0.0050208740565354446,0.0006147081445173796,0.0006147081445173796
178,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,,,,,,0.004885622203974169,0.13046640083670813,0.0011661642236438687,0.005454833911866579
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.00445463772859151,0.8090075095555829,0.0009574507484772527,0.007320453635925712
25,sett_exclude_features,sett_model,,,,,,,,0.004047845799479423,0.010223202504197771,0.0009049373645771148,0.0010865150015192252
12,sett_cutoff,sett_model,,,,,,,,0.003935270931735619,0.08594513648283422,0.0005742716118228563,0.0026377960565558078
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.0037891709571891575,0.02212616149797876,0.0012213747606473534,0.0029360063826477587
70,sett_cutoff,sett_preprocess_income,sett_scale,,,,,,,0.003460464430608682,0.10018467203900466,0.0006866013844997733,0.0034307704056349285
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0032956204900966317,0.7927931894162917,0.0009453315669684262,0.00890737299794064
42,sett_preprocess_income,sett_scale,,,,,,,,0.0031735322446816237,0.009283870610938341,0.0008721741228599325,0.0014155800820048483
6,sett_preprocess_income,,,,,,,,,0.0031484961448800287,0.0031484961448800287,0.0006974770051495128,0.0006974770051495128
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.003001655464282141,0.775721773717531,0.0014920401677506361,0.007619540006651366
102,sett_exclude_features,sett_model,sett_stratify_split,,,,,,,0.0029807505096614683,0.39045306894726906,0.0008786068013208884,0.006258643287758265
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.0029725770308442626,0.8333766333719241,0.0005390198673432573,0.011212853395055036
7,sett_scale,,,,,,,,,0.00296184222137669,0.00296184222137669,0.0007796134859451788,0.0007796134859451788
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.0027912186814377173,0.01034687117940537,0.0008725918387455015,0.0011466896687030946
38,sett_model,sett_stratify_split,,,,,,,,0.0027362141810252107,0.37650781945776224,0.0007613593122157857,0.006601432633297457
37,sett_model,sett_scale,,,,,,,,0.0026280955091232392,0.006744420378682832,0.0005691091045751769,0.0011374666740571425
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.002590233605775221,0.7727259353428173,0.000561255971153541,0.00899148899709978
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0025808879122483437,0.7706258729698707,0.0009263374495260524,0.008848753792941803
3,sett_exclude_subgroups,,,,,,,,,0.0025347784414322086,0.0025347784414322086,0.0005028097793696484,0.0005028097793696484
223,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.002177961516115071,0.40683926097067175,0.0007749770951976905,0.006750951763871702
98,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.002145848051289033,0.3887987564363811,0.0007164694493994946,0.006245341247908736
123,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,,0.001989436839734713,0.388471050717612,0.0005375062572740519,0.006347451422144567
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.001965039107271903,0.7893553645308568,0.0004401580690566664,0.008507244898493362
314,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.001903675850295389,0.8316414538651872,0.0006700211081497072,0.008347904646979154
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.0018957791238304851,0.3795337758089201,0.0004534025268571648,0.006651687853056411
112,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,,0.0018118147277163422,0.3841510629093652,0.00043639260286990343,0.006373710231021353
34,sett_exclude_subgroups,sett_stratify_split,,,,,,,,0.0017931354533020868,0.3769450365232885,0.0005359969880856364,0.00658943578461877
304,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0017108062498114134,0.8401389694282568,0.0005759490145755395,0.007621280491327079
