,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.3714777345267335,0.3714777345267335,0.0039899782226927895,0.0039899782226927895
16,sett_cutoff,sett_stratify_split,,,,,,,,0.3070115927976984,0.7607747961512898,0.00556781031579493,0.008436883749314244
0,sett_cutoff,,,,,,,,,0.08228546882685797,0.08228546882685797,0.0027415326220415507,0.0027415326220415507
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.008386830614866184,0.7782146056608928,0.0013429487763588121,0.008581869384141504
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.005564612052841474,0.10587982968163229,0.0009292950454509767,0.0032834493495299266
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.0055014610581485615,0.8033547571000108,0.0010348855399079026,0.00936815158412177
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.005383994146834598,0.09034211178341986,0.0011450901509441477,0.0028446461586544083
2,sett_exclude_features,,,,,,,,,0.005366246513055629,0.005366246513055629,0.0005451114726098812,0.0005451114726098812
36,sett_model,sett_preprocess_income,,,,,,,,0.0047892690710821025,0.008257889036050643,0.0008813077746337213,0.0010130371213427183
25,sett_exclude_features,sett_model,,,,,,,,0.004742555173117842,0.01090477284141473,0.001076687338361479,0.0012946350914799817
12,sett_cutoff,sett_model,,,,,,,,0.004387865619047608,0.08746930560114684,0.0004777126291067003,0.002932491980354186
178,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,,,,,,0.004385583145214511,0.1293649392910981,0.00118992402434701,0.006405247849701518
38,sett_model,sett_stratify_split,,,,,,,,0.0038691421204479592,0.3761428478024227,0.0008143235808160217,0.0038253120215122585
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.003781222642710369,0.02191327699976882,0.0011521126313352318,0.003030839236532864
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.0037345554586598103,0.807401804642784,0.0009399260662258415,0.0086407505700335
70,sett_cutoff,sett_preprocess_income,sett_scale,,,,,,,0.0036076408752433765,0.10143467454196217,0.0007679224059700063,0.003904769367878737
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.0034307099806849496,0.7740347501804536,0.0009249373273733703,0.0077371537254371835
7,sett_scale,,,,,,,,,0.0034251883014230905,0.0034251883014230905,0.0005546249247681601,0.0005546249247681601
42,sett_preprocess_income,sett_scale,,,,,,,,0.003293143126383394,0.009390980237533767,0.0006915865369728415,0.0014548189022423321
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.003174655576972512,0.011567171872194464,0.0007291180493252125,0.0010537622584713463
37,sett_model,sett_scale,,,,,,,,0.003155833893201324,0.007376993349865672,0.0006498915511678539,0.0010111783759558246
3,sett_exclude_subgroups,,,,,,,,,0.0030262697821663237,0.0030262697821663237,0.00040815494166583795,0.00040815494166583795
102,sett_exclude_features,sett_model,sett_stratify_split,,,,,,,0.002816030186706125,0.39094754106267376,0.0008787186185032232,0.004745734161703578
6,sett_preprocess_income,,,,,,,,,0.0026726488097272814,0.0026726488097272814,0.0005044618046721617,0.0005044618046721617
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.0022545227656375925,0.83256582038716,0.000582504968478533,0.008810593515243615
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0022329523355433005,0.7923377753516411,0.0005798335166530901,0.007635655767038198
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0022011876954760065,0.7689297939834832,0.0004260692963849154,0.007980720022005687
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.002169070060426967,0.7713473847049288,0.0004826113673884256,0.008711595054939576
98,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0021287299564446173,0.38857323649018294,0.0006508543477726114,0.0046884799703915256
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.001879861387371474,0.3787238424271606,0.0006021851182893133,0.0042811537857144685
323,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,0.0018771612277233554,0.838900056274472,0.0004999018934304527,0.011122047736475512
184,sett_cutoff,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,,0.001868263440800811,0.7885832742890269,0.0008588131850670921,0.008177586034586092
123,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,,0.0018388083701439853,0.387216175145293,0.0005855505847539443,0.0032876041665100045
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.0017775864680012582,0.02031731856844072,0.0004412906340648984,0.0022330400021320506
43,sett_preprocess_income,sett_stratify_split,,,,,,,,0.0017726010919169167,0.3759229844283777,0.0005811894016901906,0.003674936105894278
223,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0017330811626648747,0.40724539189933856,0.0005672436672903289,0.0062694299604829935
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.0017282450418001777,0.7877587212706195,0.000339811419102184,0.008128650151262254
34,sett_exclude_subgroups,sett_stratify_split,,,,,,,,0.0015197387474388461,0.3760237430563387,0.0003584578298900386,0.003932349310410769
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.0015075164675064916,0.1002430343476117,0.0005749909150959947,0.002795250600052639
112,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,,0.0015037552430904196,0.38362664547500425,0.0005528516347733188,0.003942788558817067
30,sett_exclude_subgroups,sett_model,,,,,,,,0.0014340338998858949,0.005256274837293476,0.000406739405348635,0.0006132506972345065
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.001407801607112048,0.08671954021613634,0.0003429854556096727,0.002331369775511389
304,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.001381862922446604,0.8378533857515359,0.0005210754842937114,0.009025992881235678
421,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_scale,sett_stratify_split,,,,0.001314163524065158,0.8624177008111589,0.0003530646912715927,0.008932763345063394
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.001224708158280168,0.09764256105722954,0.0003803149968824063,0.0017354360453637396
180,sett_cutoff,sett_model,sett_scale,sett_stratify_split,,,,,,0.001222085032554007,0.7898706654372987,0.00034356433226331585,0.009074032301118407
420,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,0.0012181967066454283,0.8764712755083668,0.0003849891304894432,0.008790673660841323
315,sett_cutoff,sett_exclude_subgroups,sett_model,sett_scale,sett_stratify_split,,,,,0.0011902346197159427,0.8102739776827568,0.0003381634029664368,0.00827501194850753
10,sett_cutoff,sett_exclude_features,,,,,,,,0.0011574105927848934,0.08880912593269849,0.00037670661762187073,0.002712434388853893
314,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.001153243927782945,0.825927869215383,0.0003316577043906113,0.007190229715375866
97,sett_exclude_features,sett_exclude_subgroups,sett_scale,,,,,,,0.001098064166482791,0.017752888516878895,0.00036147316620122895,0.001286958632523899
65,sett_cutoff,sett_model,sett_scale,,,,,,,0.0010699071697973005,0.095886825421061,0.00030722599710588955,0.003543833269386774
150,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,0.0010663644665996654,0.11415188468666494,0.0002914069029712928,0.0023808253302695943
299,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_scale,sett_stratify_split,,,,,0.0010149368832088521,0.801671781585197,0.00028389339822449197,0.008454364020162761
305,sett_cutoff,sett_exclude_features,sett_model,sett_scale,sett_stratify_split,,,,,0.0010073359127577355,0.8197577225502737,0.0004657594443521193,0.009775702723878805
33,sett_exclude_subgroups,sett_scale,,,,,,,,0.0009953792701325114,0.007446837353721925,0.000273292758008174,0.0007753387505222641
298,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,0.0009951576550846647,0.8071138812137035,0.00040719826228330353,0.00703142308508396
177,sett_cutoff,sett_model,sett_preprocess_age,sett_stratify_split,,,,,,0.0009930473981443974,0.7819252639848807,0.00036905558894291855,0.008118279802377846
174,sett_cutoff,sett_exclude_subgroups,sett_scale,sett_stratify_split,,,,,,0.0009915060541206967,0.7773660459149949,0.0003710578197937475,0.008196748368900907
222,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_scale,,,,,,0.0009824588812904285,0.03204070169225071,0.00035624524066285704,0.0025476185829160732
163,sett_cutoff,sett_exclude_features,sett_preprocess_income,sett_stratify_split,,,,,,0.00097656408212239,0.7866443131632139,0.0003711263551122821,0.007741610897688473
143,sett_cutoff,sett_encode_categorical,sett_model,sett_stratify_split,,,,,,0.0009468787655676383,0.7808704838028708,0.00047997220537419227,0.008951893747251551
229,sett_exclude_features,sett_exclude_subgroups,sett_scale,sett_stratify_split,,,,,,0.0008793251730272835,0.3975647330951569,0.0004160084758909806,0.005326959624723158
427,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,0.0008791077708063492,0.8512617283893396,0.0004236000864567,0.008806069422426812
365,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_scale,sett_stratify_split,,,,,0.0008509439929478327,0.4249397044656633,0.00032417014701672267,0.0070255582626802026
321,sett_cutoff,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,0.0008427532419990133,0.8146054435403318,0.0003528805477630751,0.008074182490291787
173,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,,0.000836984526573554,0.7840130714989109,0.000300620252960954,0.007271648522698011
124,sett_model,sett_scale,sett_stratify_split,,,,,,,0.000824057404743369,0.3841270687712154,0.0003480597729409844,0.004179587345550699
245,sett_exclude_subgroups,sett_model,sett_scale,sett_stratify_split,,,,,,0.0007991255354238586,0.39497439994960337,0.00029529279143849607,0.004447438262940255
111,sett_exclude_subgroups,sett_model,sett_scale,,,,,,,0.0007975469140409487,0.01363022321609135,0.00020486377422447157,0.0011263507697620886
58,sett_cutoff,sett_exclude_subgroups,sett_model,,,,,,,0.0007974303800353806,0.09413484127034648,0.00023553128245182815,0.0023412390378021826
4,sett_model,,,,,,,,,0.0007959711552412581,0.0007959711552412581,0.00027201141919415525,0.00027201141919415525
69,sett_cutoff,sett_preprocess_age,sett_stratify_split,,,,,,,0.000780241616250823,0.7623454778993453,0.000369373205280666,0.008335216756563091
156,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,,,,,,0.0007773138424522542,0.1204397105688349,0.0004380807365945103,0.00299846461793613
118,sett_exclude_subgroups,sett_scale,sett_stratify_split,,,,,,,0.0007714817862091081,0.38179493378352825,0.00023414290310578808,0.004389442260389949
15,sett_cutoff,sett_scale,,,,,,,,0.0007665904554924522,0.08647724758377351,0.0002659076127932941,0.002931080737206669
302,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_age,sett_stratify_split,,,,,0.0007578198629817668,0.8097444815001178,0.00036772883177622835,0.008744439061760496
418,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_stratify_split,,,,0.000741518932586873,0.8445202134226364,0.00028297651196473205,0.008307333474802543
234,sett_exclude_features,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.0007385135176246528,0.4038012458909806,0.0003195941977427322,0.0042233428334459925
429,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,sett_scale,sett_stratify_split,,,,0.0007376965583392879,0.8767441100224882,0.0003533095381338281,0.010237765452186258
148,sett_cutoff,sett_encode_categorical,sett_preprocess_income,sett_stratify_split,,,,,,0.0007151104471919887,0.7765295881708685,0.00040364401987155464,0.008140028408824525
235,sett_exclude_features,sett_model,sett_scale,sett_stratify_split,,,,,,0.000691022549110154,0.40146752790944384,0.00021941994294156567,0.005075229731930341
182,sett_cutoff,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,,0.000674023079644131,0.7771815616605455,0.0002513558693367529,0.007530536392020847
28,sett_exclude_features,sett_scale,,,,,,,,0.0006670849066460342,0.009458519721124754,0.00021214444852626465,0.000787141428244441
307,sett_cutoff,sett_exclude_features,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,0.0006554432142356634,0.7922239386146179,0.00024987195207505,0.0072596267151483415
291,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,0.0006480146801047638,0.13745812448831088,0.00030082405859005126,0.002940165903401809
432,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,0.0006479026968007147,0.8385813554692307,0.00023421709582936603,0.006856532406019778
253,sett_model,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,,0.0006338770071703549,0.40330393928038566,0.00017292439190610845,0.004305585948284745
487,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,0.0006199631219397341,0.9010886410870238,0.0002452068904998325,0.010520208985098214
284,sett_cutoff,sett_encode_categorical,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0006166092778283583,0.8132800161774523,0.0002504874778477571,0.009746989099220891
312,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_stratify_split,,,,,0.0006146105749979174,0.7986407621982035,0.0002441769633750889,0.007194318055970819
72,sett_cutoff,sett_scale,sett_stratify_split,,,,,,,0.0006132561497694305,0.7661589724273997,0.00021407951022294055,0.008521624769532572
101,sett_exclude_features,sett_model,sett_scale,,,,,,,0.0006018267905928665,0.018754706733278045,0.00022957577403004092,0.001493549570579984
434,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_scale,sett_stratify_split,,,,0.0005990356149787191,0.865992900355721,0.000252282039162765,0.009699407847665261
164,sett_cutoff,sett_exclude_features,sett_scale,sett_stratify_split,,,,,,0.000595223608769919,0.7787730167339297,0.00024758835673234747,0.008843670080473334
244,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.0005910487114444526,0.3961676555131928,0.0001300208891558314,0.0031662195860300986
364,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0005889302294150918,0.4232477613837843,0.0001865535207832748,0.005971747450927337
292,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_scale,,,,,0.0005858533905481075,0.1300840938831873,0.00019879274133715916,0.003338415890985834
317,sett_cutoff,sett_exclude_subgroups,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,0.0005850187403259081,0.7896410343588598,0.00016132585667221096,0.007215759818868375
423,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,0.0005818858669002331,0.8177610178065274,0.00021427883613553064,0.006909687459385585
44,sett_scale,sett_stratify_split,,,,,,,,0.0005791413694249045,0.37548206419758146,0.00023701496513129063,0.0042737546874776445
108,sett_exclude_features,sett_scale,sett_stratify_split,,,,,,,0.0005758316316282557,0.3839710886362829,0.00022187350932220681,0.004633035108594415
489,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_scale,sett_stratify_split,,,0.0005625791386503179,0.9334917918238883,0.00022992887671344797,0.00787427554747756
166,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,0.0005534730205561209,0.11396263621339364,0.00020376289877484924,0.0024705565452552113
171,sett_cutoff,sett_exclude_subgroups,sett_preprocess_age,sett_stratify_split,,,,,,0.0005359047801237176,0.7716653876529664,0.0001480496999553759,0.00794861842078608
296,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_age,sett_stratify_split,,,,,0.0005341440585674085,0.7927021105442731,0.00013717643738075003,0.007942225568680935
63,sett_cutoff,sett_model,sett_preprocess_age,,,,,,,0.0005237755373668769,0.0886967874176092,0.0001757290345284759,0.002935431949294771
228,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,,0.0005093542788249253,0.3950565834079951,0.00018213716958108807,0.004524342146986388
425,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,sett_scale,sett_stratify_split,,,,0.0004950366319093484,0.833190540649899,0.00021469467747578733,0.007144665239679868
300,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_age,sett_preprocess_income,,,,,0.0004735137989344555,0.12494378232485048,0.0003129149349299807,0.0032506814012736958
251,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,,0.0004673372972235515,0.3894607936889706,0.00020793471688718195,0.003095770611049608
152,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,,,,,,0.0004615805851756204,0.10764366552491551,0.0002381126983620126,0.0020639310511742824
371,sett_exclude_features,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,0.00045497565249824146,0.40812867763627836,0.00019946840813814446,0.003929641293386589
309,sett_cutoff,sett_exclude_features,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,0.0004515280673875857,0.8042347161005627,0.00022368792245227567,0.007791897453983381
92,sett_encode_categorical,sett_preprocess_income,sett_stratify_split,,,,,,,0.0004486149956042106,0.3768597640341732,0.00022829580220554637,0.0038622333673550297
153,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_scale,,,,,,0.00044302640745581953,0.1055349187156486,0.00016267331558341731,0.0021341098390897624
167,sett_cutoff,sett_exclude_subgroups,sett_model,sett_scale,,,,,,0.0004411598301271571,0.10508015564950082,0.00011321248099824389,0.003146772402607326
107,sett_exclude_features,sett_preprocess_income,sett_stratify_split,,,,,,,0.0004283370067024791,0.38383419133862773,0.00021787419927067546,0.0038708015826139086
395,sett_cutoff,sett_encode_categorical,sett_exclude_features,sett_model,sett_preprocess_income,sett_stratify_split,,,,0.00042112421889961235,0.846803961933468,0.00016824172138927624,0.010265159975828003
