,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.3666751520474357,0.3666751520474357,0.0038595563544329015,0.0038595563544329015
16,sett_cutoff,sett_stratify_split,,,,,,,,0.3088030217718757,0.7576873828324394,0.006044967748186741,0.007801935612158199
0,sett_cutoff,,,,,,,,,0.08220920901312802,0.08220920901312802,0.003394916288201334,0.003394916288201334
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.007455067051062457,0.7732903623024416,0.0013709204503526123,0.008507286597903306
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.006363632455337553,0.10736209987523503,0.001087615213405262,0.005419424552774405
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.005683437704793995,0.09094398241691329,0.0006637566144368294,0.00356080167012575
36,sett_model,sett_preprocess_income,,,,,,,,0.005128374220600281,0.009118051529180733,0.0015776985774011924,0.0018410009978539648
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.004969753364110629,0.7968146334964064,0.0016053584013554466,0.010072265985278349
178,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,,,,,,0.004657551834890555,0.129542365628117,0.0010327678817247492,0.006642181165981879
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.004591129406495383,0.8049796491780314,0.000903780787768793,0.00860829439776029
25,sett_exclude_features,sett_model,,,,,,,,0.004564190239510913,0.010000843942926729,0.0007429212393070594,0.000969625129669523
2,sett_exclude_features,,,,,,,,,0.004498312093826653,0.004498312093826653,0.0007929728306082014,0.0007929728306082014
12,sett_cutoff,sett_model,,,,,,,,0.003987769172794737,0.0871353197955119,0.000542280222056528,0.0038855030501536328
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.003820285314771044,0.021497936444865046,0.0009233258602946393,0.0031557737063975626
70,sett_cutoff,sett_preprocess_income,sett_scale,,,,,,,0.003392914484368422,0.10067028633825004,0.0008596461381558799,0.003819156462489758
7,sett_scale,,,,,,,,,0.0033391125829381994,0.0033391125829381994,0.0009699087175966765,0.0009699087175966765
38,sett_model,sett_stratify_split,,,,,,,,0.0032218016365558088,0.3708352952935807,0.0006007999323840928,0.003570788922743104
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.003115446561242593,0.7712674115336983,0.0011562329177619303,0.007439353452533528
102,sett_exclude_features,sett_model,sett_stratify_split,,,,,,,0.0030782885701270994,0.384550749551714,0.0006323023187189871,0.004238122618858097
6,sett_preprocess_income,,,,,,,,,0.0030513356989912894,0.0030513356989912894,0.0005774913258277113,0.0005774913258277113
37,sett_model,sett_scale,,,,,,,,0.0026849651941525804,0.0069624193866799425,0.0005718807561281501,0.0013584193452399647
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.002655913031443745,0.822438182839096,0.0008519052818251979,0.012329780947325312
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.002643729037133678,0.009766241909300352,0.0005828957912150326,0.0016231792645056014
3,sett_exclude_subgroups,,,,,,,,,0.002624200778340022,0.002624200778340022,0.0005581663506798107,0.0005581663506798107
42,sett_preprocess_income,sett_scale,,,,,,,,0.002535521823822489,0.008925970105751978,0.000706687777781439,0.0016683407829969253
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.002495895412272191,0.7672804999710867,0.0006922802951131735,0.007880854792993294
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0022812389372154915,0.7853448730308605,0.000687295048106569,0.008877641055576336
323,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,0.0021846870259029753,0.8344869189930559,0.0004929134161815655,0.008043487018960838
123,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,,0.0020261220918977355,0.382770936041301,0.0003723426336039475,0.0030436978843335657
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.002000644737776029,0.7645662840776577,0.00033368794975362546,0.00795665136823896
