,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.3695289549425974,0.3695289549425974,0.0075474482749642,0.0075474482749642
16,sett_cutoff,sett_stratify_split,,,,,,,,0.3080217505535817,0.7548520035625136,0.0031849756276064877,0.007680321134531885
0,sett_cutoff,,,,,,,,,0.07730129806633457,0.07730129806633457,0.0035775559118564997,0.0035775559118564997
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.006295558348700146,0.7949384849342966,0.0022316638074263563,0.009813935792886646
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.006096500253831225,0.7682145360585023,0.0009000763331815325,0.007889626211016791
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.005486553422235959,0.10004286148397637,0.0009382612174678193,0.0045373475492096055
25,sett_exclude_features,sett_model,,,,,,,,0.005059600182365592,0.010842099698183498,0.0013792888995858054,0.0017435593227778825
2,sett_exclude_features,,,,,,,,,0.004880189287648044,0.004880189287648044,0.0008216017094367778,0.0008216017094367778
36,sett_model,sett_preprocess_income,,,,,,,,0.004870362011886011,0.008699090412514397,0.0009167549323167017,0.001217629585422766
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.004855366001012321,0.08508308223980543,0.0007920472660261509,0.003327476398782497
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.004562512235065531,0.7977540776095332,0.001015214382085249,0.006839398883380412
178,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,,,,,,0.004497553006006599,0.12078485467134954,0.00135739121384384,0.007489565759729162
12,sett_cutoff,sett_model,,,,,,,,0.003700553581879115,0.08190416187638355,0.0005429384422194982,0.0040013537766993975
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.003495340250912094,0.011740387094235347,0.0008238293159784275,0.0018971826965676665
3,sett_exclude_subgroups,,,,,,,,,0.0033648575556752096,0.0033648575556752096,0.0007285716938759826,0.0007285716938759826
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.0032246305011093645,0.019891215187823347,0.0009093752542521599,0.0028749282420359925
70,sett_cutoff,sett_preprocess_income,sett_scale,,,,,,,0.003196341988104367,0.09423985781996451,0.0007205633420134108,0.004398150679912986
102,sett_exclude_features,sett_model,sett_stratify_split,,,,,,,0.0031594659544906447,0.3879065248561735,0.0008889115281220355,0.007514729126484522
