,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.3703462834868465,0.3703462834868465,0.004109824521745962,0.004109824521745962
16,sett_cutoff,sett_stratify_split,,,,,,,,0.3145287997638853,0.7692547313457208,0.006906388163914749,0.008867651172853578
0,sett_cutoff,,,,,,,,,0.08437964809498888,0.08437964809498888,0.003750746611861884,0.003750746611861884
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.00688076152796135,0.78335912825881,0.0013700007900231158,0.010304116513896816
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.0061297828717309585,0.10695647949745365,0.0009879846703524787,0.00354160144184809
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.006121457194883222,0.8092792011334735,0.0014636321374444975,0.011997128602029035
25,sett_exclude_features,sett_model,,,,,,,,0.004915991773224007,0.010035122586035384,0.001255442129446927,0.0014325684013668778
178,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,,,,,,0.004897009164643642,0.12819686367336947,0.0013566897949320409,0.005709816675351914
36,sett_model,sett_preprocess_income,,,,,,,,0.0045682278935260286,0.008261795428235226,0.000796096416445544,0.0013783281601325156
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.004431759055815334,0.09172938842961274,0.000994044440934429,0.0031643798036203336
2,sett_exclude_features,,,,,,,,,0.004343544556910701,0.004343544556910701,0.0007134298669476272,0.0007134298669476272
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.0038028837320068683,0.8117993984375698,0.0007478375369018798,0.008942506626927764
12,sett_cutoff,sett_model,,,,,,,,0.0037534940466832593,0.08890872839757281,0.0006891592157308391,0.003974573728077916
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.0035705354328481867,0.7816462184613074,0.001288796491651806,0.008032845592265785
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.0034496637406955144,0.019518087139469283,0.001049880448251507,0.0032360901230154646
102,sett_exclude_features,sett_model,sett_stratify_split,,,,,,,0.0031569925595864743,0.38843106577572517,0.0008102815606026433,0.004470623570544556
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.003136593453989648,0.8385390795558185,0.0007362991327592773,0.013320539251403508
70,sett_cutoff,sett_preprocess_income,sett_scale,,,,,,,0.0030459998053834402,0.10053108262147703,0.0008517840784509544,0.003305871134181311
6,sett_preprocess_income,,,,,,,,,0.0029179812788085228,0.0029179812788085228,0.0008596364491182595,0.0008596364491182595
3,sett_exclude_subgroups,,,,,,,,,0.0028364317632640396,0.0028364317632640396,0.0007867619393690937,0.0007867619393690937
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.0028119193814773315,0.00999189570165207,0.0006349330265227463,0.0015481460301475121
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.00277396257594113,0.7977172816212059,0.0008107025306930904,0.01050827397714797
7,sett_scale,,,,,,,,,0.0027167989103489363,0.0027167989103489363,0.0005720068586906346,0.0005720068586906346
38,sett_model,sett_stratify_split,,,,,,,,0.0026945550825440575,0.37381642482529126,0.0008435467279080957,0.003979470657943464
42,sett_preprocess_income,sett_scale,,,,,,,,0.002600185991225335,0.008234966180382795,0.0007109986497101283,0.0015005165336492827
