,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.3754030512139866,0.3754030512139866,0.006067810336319408,0.006067810336319408
16,sett_cutoff,sett_stratify_split,,,,,,,,0.30788247957109904,0.7644034118279814,0.006312435416275106,0.008480200229324915
0,sett_cutoff,,,,,,,,,0.08111788104289569,0.08111788104289569,0.0032565780267581096,0.0032565780267581096
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.006768530494542163,0.7787923303451307,0.0008068070358743699,0.008373102728114683
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.006237232667239285,0.8061750220118553,0.0018517357035256808,0.006362417892485175
25,sett_exclude_features,sett_model,,,,,,,,0.005198376887931003,0.01126298921795946,0.0013676976243798538,0.001532634601919012
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.005165360126131311,0.10373761287357683,0.0010434030950480472,0.0036871660640052776
2,sett_exclude_features,,,,,,,,,0.005133087626924668,0.005133087626924668,0.0010102610943999231,0.0010102610943999231
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.004785750506179908,0.08956358704329459,0.0010279173438849834,0.003135844095398143
36,sett_model,sett_preprocess_income,,,,,,,,0.004171536496760674,0.008763016694083456,0.0007161097344019939,0.001179709474351608
12,sett_cutoff,sett_model,,,,,,,,0.003905604504286465,0.08595501025028594,0.0008584495545788912,0.0030346406214484785
178,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,,,,,,0.003849217052392546,0.1256219945392711,0.0009895608965600749,0.006783365421186151
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.0038161159514328476,0.8064524120517969,0.0011114605040075426,0.007809678064812427
6,sett_preprocess_income,,,,,,,,,0.00365995549421899,0.00365995549421899,0.0007460445876104717,0.0007460445876104717
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.003504841146261069,0.7774129679362307,0.0010475098497209224,0.0075170238733366194
70,sett_cutoff,sett_preprocess_income,sett_scale,,,,,,,0.003495605995309118,0.10024262970636881,0.0010299775094140282,0.004079339858659581
42,sett_preprocess_income,sett_scale,,,,,,,,0.0034524480680671924,0.010212937067501418,0.000874874424443233,0.001885727501099843
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.003320208306461849,0.02170814027067134,0.0009999821320836738,0.003437331769166382
7,sett_scale,,,,,,,,,0.003100533505215235,0.003100533505215235,0.0007919983068148179,0.0007919983068148179
37,sett_model,sett_scale,,,,,,,,0.003071933696843611,0.007103991905162637,0.0006961857721993973,0.0012620633751664917
102,sett_exclude_features,sett_model,sett_stratify_split,,,,,,,0.0029896400538447906,0.3944268945667323,0.0009422466346165308,0.00657994435563902
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.0029099909747880496,0.8352533420682169,0.0009182051786346197,0.006823216143463461
38,sett_model,sett_stratify_split,,,,,,,,0.002783258815217001,0.3791178347323074,0.0006354104619825255,0.005818888260901837
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.0027517115599867206,0.010451874634335211,0.0005115732500233638,0.001459362826941505
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.0027340948241398435,0.7755820376435578,0.0004996673243257137,0.00805175571667133
3,sett_exclude_subgroups,,,,,,,,,0.002567075447423824,0.002567075447423824,0.00044006610857303427,0.00044006610857303427
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.00239658193338458,0.7922907015822107,0.0006879651195509886,0.008327836039854554
223,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0020540713361094348,0.4100585598102345,0.0007263293964769791,0.007289596522828888
304,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.002029870754208156,0.8406468974342014,0.0007070111045324461,0.007255307361106482
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.001987955265724456,0.3825240941066357,0.000651709169203839,0.0064929150284492015
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.0019605045393298213,0.01997725846981614,0.0007069308499806049,0.0027778726160084576
98,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.001875961617126201,0.3912662661303956,0.00046847389583348596,0.0067403471150221635
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.0017788162421328957,0.09938877910606203,0.000822434085489505,0.0025015621926858986
323,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,0.001769254874164795,0.8349101301221593,0.0005019827007597021,0.00895905562401035
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0017493604601372512,0.7716747596435763,0.0004828294387269917,0.008503944009966156
420,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,0.0017416528126329264,0.8819053193621171,0.0006237716136970466,0.00876359620471672
314,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0016556059006013278,0.8255598216809963,0.0004933608044102389,0.008121944541648813
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.0015931093295983483,0.790226251746186,0.0005038568211145267,0.007733408795824112
34,sett_exclude_subgroups,sett_stratify_split,,,,,,,,0.0015474233992231073,0.37951755006063354,0.00046424356664238805,0.005920083439526211
