,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.36904122277196044,0.36904122277196044,0.007263338644377789,0.007263338644377789
16,sett_cutoff,sett_stratify_split,,,,,,,,0.3117279864418121,0.7625471364444619,0.006226108976872491,0.007263989950284561
0,sett_cutoff,,,,,,,,,0.08177792723068932,0.08177792723068932,0.0031928394326967806,0.0031928394326967806
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.0077272992192348264,0.7784328629604309,0.001099584985037491,0.0072575088319086645
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.005716792597953362,0.8045700307965465,0.0010829369405878004,0.007276541875842901
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.005545416155653567,0.10581824112872384,0.0009333202637459994,0.003752414964629377
25,sett_exclude_features,sett_model,,,,,,,,0.005363012601325438,0.011186068474595407,0.0008320209812552309,0.0012090739129239588
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.005143841621048304,0.09050792269644259,0.0006377674770550232,0.0030537374490592533
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.004798406266264288,0.8084301414126553,0.001156036137016387,0.00723160079224948
2,sett_exclude_features,,,,,,,,,0.004714456447494781,0.004714456447494781,0.0007799773487852409,0.0007799773487852409
36,sett_model,sett_preprocess_income,,,,,,,,0.004630300697052879,0.009325053967533052,0.0007389824394045331,0.0011192726415043082
178,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,,,,,,0.0045567157590228925,0.1276142947532416,0.000903525984565228,0.0056051501750951395
12,sett_cutoff,sett_model,,,,,,,,0.004026002153799618,0.08691252881026412,0.0005927775968499827,0.0033884693199329402
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.003777356705649597,0.021492164269343632,0.0009778402878190399,0.003397825653782789
102,sett_exclude_features,sett_model,sett_stratify_split,,,,,,,0.00367702538282328,0.38866399357069953,0.0006565916294710696,0.006592053532516074
6,sett_preprocess_income,,,,,,,,,0.0035861538447049864,0.0035861538447049864,0.0006922311905446974,0.0006922311905446974
70,sett_cutoff,sett_preprocess_income,sett_scale,,,,,,,0.003342615408867355,0.10000025007254786,0.0006326588288222506,0.003399010483569136
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.0033424811064297656,0.010795363199181236,0.00034373887108329963,0.0012277691754033271
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.003062465321332296,0.7938056069932969,0.0007128922794962512,0.007069471958772503
38,sett_model,sett_stratify_split,,,,,,,,0.0030238257171593943,0.37317364791489505,0.0005578141444783984,0.007119285288308828
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.002934737708883241,0.7754349321016867,0.0008201910853746725,0.007323551555002595
42,sett_preprocess_income,sett_scale,,,,,,,,0.002860216154544612,0.009204762566733584,0.0007051549339092161,0.001661820249236194
37,sett_model,sett_scale,,,,,,,,0.0027711448741323855,0.006638136867391557,0.0007337340942591159,0.0013416510900519526
7,sett_scale,,,,,,,,,0.002758392567483986,0.002758392567483986,0.0006573165202867024,0.0006573165202867024
3,sett_exclude_subgroups,,,,,,,,,0.00273842564525669,0.00273842564525669,0.0005994146532400474,0.0005994146532400474
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.00246683059566768,0.7725064245683245,0.0006893392832257549,0.007120270451328725
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.002451726452050788,0.8361171163310208,0.00041273333150805206,0.007286294702887741
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.0024087075532756384,0.7899725534521603,0.0006565526861560295,0.007016395606626287
323,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,0.002328636544469338,0.8381644684968069,0.0004928132726873068,0.007113843498694222
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.002219834668874071,0.7707624137494968,0.0007927780053529019,0.00713689644485581
123,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,,0.0021353596760289996,0.3847485246152701,0.00029827963751735004,0.0069934233395419435
98,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0021169052840265346,0.3855498641530597,0.0004190634056403773,0.0066767998019536265
223,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.002061163842689717,0.4054674461665158,0.0006141498727074561,0.00745994523563305
