,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.3698180259930596,0.3698180259930596,0.005276029974796348,0.005276029974796348
16,sett_cutoff,sett_stratify_split,,,,,,,,0.30593332013331986,0.7565454370675756,0.009392144994962734,0.011806881888705273
0,sett_cutoff,,,,,,,,,0.0807940909411961,0.0807940909411961,0.004002936788449755,0.004002936788449755
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.007508582856656938,0.7722352722388752,0.0010208561657506488,0.012608526142607277
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.005910583456196438,0.798233365576284,0.0018354918641417866,0.013439953822669687
36,sett_model,sett_preprocess_income,,,,,,,,0.005344882416600118,0.009379905961909771,0.0011301293141812133,0.0017438660654783761
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.005098352801285455,0.10373753683900824,0.0013289698711406227,0.005663710674298728
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.004958099308908832,0.08881551645042221,0.0012190688047990152,0.004479551232896753
25,sett_exclude_features,sett_model,,,,,,,,0.004559352248136983,0.010052639934633064,0.0011813523611357202,0.0013432031494255013
2,sett_exclude_features,,,,,,,,,0.00452159034150371,0.00452159034150371,0.0008906503558560052,0.0008906503558560052
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.004487661351645935,0.80218752665594,0.0011421513837798082,0.013850404119380927
178,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,,,,,,0.0039811997823273396,0.12380300270377978,0.0012005574282416712,0.008387816022258195
38,sett_model,sett_stratify_split,,,,,,,,0.0037024671439422965,0.3744921904819942,0.0008823149607376351,0.0051939975585639534
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.0035711452546135026,0.8302322149391089,0.0010384390380830508,0.013222883107573875
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.003556737872893916,0.769489786804648,0.0008468825646117353,0.011627802899892598
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.0035433148915512934,0.02061453694110324,0.0009964270339240119,0.002977410182600947
12,sett_cutoff,sett_model,,,,,,,,0.0035070878257080756,0.08527287611189655,0.0006151815871255178,0.003859543202525608
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.003444675134329657,0.7676600774556928,0.001983734363450995,0.0107818035136549
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.0031519464855182633,0.010407941318745496,0.0007775736124984774,0.001589051540884891
6,sett_preprocess_income,,,,,,,,,0.003063326200317283,0.003063326200317283,0.0005539737432204972,0.0005539737432204972
70,sett_cutoff,sett_preprocess_income,sett_scale,,,,,,,0.003057696013643782,0.09777142802413874,0.0009707415898318522,0.005529129143358548
102,sett_exclude_features,sett_model,sett_stratify_split,,,,,,,0.0029769952223948877,0.3884533734968185,0.001023408424314239,0.004683774858087435
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.00284681628187853,0.7655327351135848,0.0009307201221097815,0.01158333615593482
7,sett_scale,,,,,,,,,0.0027660445643083653,0.0027660445643083653,0.0005470653589389524,0.0005470653589389524
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.002764335625228688,0.7879196024987757,0.0008045469412865323,0.012355429614087613
3,sett_exclude_subgroups,,,,,,,,,0.0027344044917235228,0.0027344044917235228,0.0003788674461023988,0.0003788674461023988
42,sett_preprocess_income,sett_scale,,,,,,,,0.002537666109031325,0.008367036873656973,0.000608841251327895,0.0011734345312806186
37,sett_model,sett_scale,,,,,,,,0.0023876054143024865,0.006125347323603223,0.0005989117124059281,0.00100981152817212
123,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,,0.0020770081104608015,0.38634359356432485,0.000783529403924282,0.00538026331386951
314,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.00205642178197659,0.8251562124903913,0.0008491450441195205,0.01293796493357988
223,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0020454905520272326,0.4050409757018357,0.0004607287898446361,0.004950059162225961
98,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.002035638784542388,0.3861987829646092,0.0007417208708575324,0.005462282687989812
34,sett_exclude_subgroups,sett_stratify_split,,,,,,,,0.002033931665473084,0.37458636215025615,0.0005500797396610394,0.005450796045148208
304,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0019056326855462213,0.835178715895867,0.000554571087391453,0.013552474592733553
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.0019032452027886852,0.376242861537352,0.00048764660198252703,0.00524057412873037
420,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,0.0018394987988772918,0.8812081432814517,0.000547100728341915,0.01136289344745596
323,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,0.0017632521569305153,0.8285720333983706,0.0005398883975233765,0.01662877078627139
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.001670499578815493,0.784568696383912,0.0003987070739811438,0.010030885011553572
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.0016654877813671604,0.01913754539053819,0.0005276554359025296,0.0024207083285366824
30,sett_exclude_subgroups,sett_model,,,,,,,,0.0015330666972961787,0.005239168534012073,0.00045653914678444533,0.0005859671057926607
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.001436522022563311,0.09703547043359567,0.0005894220210439622,0.004119238128419264
112,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,,0.0013876357470694362,0.3821812290835564,0.00036851403920652823,0.005304016962539632
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.0013721456069340893,0.08490064103985372,0.00031081498478943557,0.003804657828589078
43,sett_preprocess_income,sett_stratify_split,,,,,,,,0.001366186354952423,0.3742475385483292,0.00036240432384500825,0.004979900619751263
173,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,,0.001302799479375867,0.7811982943341416,0.0004749752906195371,0.011083196938679605
184,sett_cutoff,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,,0.0012679064864172301,0.7810183980380341,0.000531391606343813,0.012532171887756816
10,sett_cutoff,sett_exclude_features,,,,,,,,0.0012451297094951035,0.08656081099219493,0.0003675177565830644,0.003760898181254489
163,sett_cutoff,sett_exclude_features,sett_preprocess_income,sett_stratify_split,,,,,,0.0012406962219323808,0.7833684038042467,0.0005215014616520597,0.00992063113202905
65,sett_cutoff,sett_model,sett_scale,,,,,,,0.0011974342028738824,0.09221846518011433,0.0004718008971689019,0.004306835474018994
