,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.3732403309946334,0.3732403309946334,0.005510349760844059,0.005510349760844059
16,sett_cutoff,sett_stratify_split,,,,,,,,0.31016796662567697,0.7634020944629651,0.004412186733718187,0.007889041006600936
0,sett_cutoff,,,,,,,,,0.07999379684265479,0.07999379684265479,0.002560368426534165,0.002560368426534165
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.007262869902953907,0.7778372062024002,0.0008586498020864074,0.008560666109553383
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.005628464696974327,0.10363887000250266,0.0014974591473798044,0.0030652847366692635
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.005306318550914077,0.08869633334456475,0.001206995071766668,0.0021466773724886385
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.005041811382590382,0.8017482174068306,0.0018740051430596223,0.00974317963865016
36,sett_model,sett_preprocess_income,,,,,,,,0.005002453980062261,0.00933990273311243,0.0007039945146090093,0.0009945666642349328
178,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,,,,,,0.0046320745328816346,0.12749012738378995,0.0010578575223612646,0.004075337291492049
25,sett_exclude_features,sett_model,,,,,,,,0.0044522492312515215,0.00974630236162729,0.001094994736535862,0.0012329189140886914
2,sett_exclude_features,,,,,,,,,0.0043528223283214795,0.0043528223283214795,0.0004727456414970497,0.0004727456414970497
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.004048192050322134,0.777591832942097,0.001479966340691398,0.00654190998676152
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.003898645675447595,0.023450551206864782,0.0008531892130894715,0.002076462820962237
42,sett_preprocess_income,sett_scale,,,,,,,,0.0037826401706995256,0.010764197763726549,0.0008050771548583603,0.0016196472760550706
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.0036356809156935397,0.8082167654732357,0.0007185873263268395,0.007209602760649423
7,sett_scale,,,,,,,,,0.0035853396420311425,0.0035853396420311425,0.0008425738520254377,0.0008425738520254377
6,sett_preprocess_income,,,,,,,,,0.00339621795099588,0.00339621795099588,0.0006438295147956506,0.0006438295147956506
12,sett_cutoff,sett_model,,,,,,,,0.003370387178847036,0.08430541482355611,0.0008153780330866754,0.0027577813317258356
70,sett_cutoff,sett_preprocess_income,sett_scale,,,,,,,0.003359094420846084,0.09990168598905524,0.0006986293703722202,0.0029686515425741337
102,sett_exclude_features,sett_model,sett_stratify_split,,,,,,,0.00287730631996156,0.39049830692356946,0.0005681634872192294,0.005916315771391829
38,sett_model,sett_stratify_split,,,,,,,,0.002860623855579755,0.37704218565226744,0.0006505959611516861,0.005522855005386083
37,sett_model,sett_scale,,,,,,,,0.0028440229855740892,0.00737059342965952,0.0005384188401457838,0.0011086819404584833
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.0026412600447084035,0.009560199927839224,0.0007149799927683931,0.001237057028112503
3,sett_exclude_subgroups,,,,,,,,,0.0025661175548093414,0.0025661175548093414,0.0006289367048107917,0.0006289367048107917
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.0025597590381095975,0.8289921559847713,0.0006885258987662631,0.011692173363378413
323,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,0.0025442205058788334,0.840747306100905,0.0008041066679573955,0.006104785013469349
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0025345712793196124,0.7717046539522241,0.0006373426682106567,0.00790111342906156
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.0025034716686842162,0.7733786747653677,0.0005671173277333708,0.008169282707240296
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0022414154420344265,0.7916806762165898,0.0006168792065171354,0.00875271727821496
184,sett_cutoff,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,,0.0020206374026724037,0.7924943546234864,0.0008501924985437147,0.005226948589474726
123,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,,0.001923221198973593,0.388803088709199,0.0005557271762938967,0.005495690246194516
304,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0019098327968611207,0.8385768966798437,0.0005228216293519251,0.008396467041012766
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.0018188587992051047,0.7886709427078549,0.00042599065451133256,0.008760052800603503
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.0017737433917674912,0.37936689671472235,0.00041897156233896193,0.005589891860991468
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.0016260070447333044,0.08418592144219744,0.0003516725344123556,0.002473031289588289
223,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.001605276188974637,0.4041523119689528,0.0006122608723513307,0.006967280669395566
420,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,0.0015871902387239946,0.8782113231334361,0.0003907745668581238,0.009119568011981037
98,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0015774104876067735,0.38772754841224355,0.0004125823245266096,0.005797168540628619
34,sett_exclude_subgroups,sett_stratify_split,,,,,,,,0.0015758636103967473,0.3773823121598394,0.0004485117581170621,0.005135897827061431
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.0015630639682242807,0.09602009326498281,0.0007116728111434088,0.003185725851278116
314,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0015488592720213849,0.8280585986866793,0.00043936671294069244,0.007133261881187178
