,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.3749694321405912,0.3749694321405912,0.0038060602899646786,0.0038060602899646786
16,sett_cutoff,sett_stratify_split,,,,,,,,0.3119891584036052,0.7660751197532492,0.002800152992522202,0.005910748126448039
0,sett_cutoff,,,,,,,,,0.07911652920905274,0.07911652920905274,0.002613742969755402,0.002613742969755402
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.0066969121141927076,0.7804391191913628,0.0008102561802021188,0.005342749608493327
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.0060468551589444785,0.10322263354441112,0.0007724659936239974,0.0037620838067313343
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.005960842058803675,0.806217946389032,0.0015704769477293517,0.00590639999650236
36,sett_model,sett_preprocess_income,,,,,,,,0.005723286409189489,0.009080532525459357,0.0011563706438335686,0.001531012442449123
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.005570195169331312,0.08700127880250419,0.000955755622448373,0.0027376584013776946
2,sett_exclude_features,,,,,,,,,0.005053126644769184,0.005053126644769184,0.0005687998865807552,0.0005687998865807552
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.004971329097558093,0.8114467393973654,0.0008493617068918674,0.004796048580134972
25,sett_exclude_features,sett_model,,,,,,,,0.004876604377121679,0.01097242271404059,0.0013825187883891533,0.0015483082647466074
178,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,,,,,,0.004665608963369219,0.12725988634209906,0.0008484958291826465,0.005622395328367539
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.003952218937557914,0.02259819818114902,0.0007303068537583129,0.0027819369698034347
70,sett_cutoff,sett_preprocess_income,sett_scale,,,,,,,0.003899676486187606,0.09797059566598997,0.0006768576604426791,0.002960211235884795
7,sett_scale,,,,,,,,,0.0035098271381997287,0.0035098271381997287,0.0005221388761922574,0.0005221388761922574
12,sett_cutoff,sett_model,,,,,,,,0.0034085214816232355,0.08356774238282572,0.0004558573799312133,0.002733418601851913
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0032650677559768262,0.7945591426961459,0.0008483922770556475,0.005470034942259686
38,sett_model,sett_stratify_split,,,,,,,,0.003215874150147939,0.37922799798288886,0.0005847815750498881,0.003270573784997423
42,sett_preprocess_income,sett_scale,,,,,,,,0.003051421858745523,0.008875803421065394,0.0005912841504814848,0.0012021687843389306
37,sett_model,sett_scale,,,,,,,,0.0030041977211864965,0.007556716551535951,0.0005512204172620106,0.0010473736649222575
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.0030032980833305874,0.010838687225851181,0.0007021149743023995,0.0013378821646858243
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.002910454539952836,0.8356606969596176,0.0006909146002422608,0.007012453590111215
102,sett_exclude_features,sett_model,sett_stratify_split,,,,,,,0.0028702648908889936,0.39395786197674154,0.0007095643224562078,0.0029814408480670187
3,sett_exclude_subgroups,,,,,,,,,0.0027822624977514093,0.0027822624977514093,0.0004973181909494026,0.0004973181909494026
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.002616334583183048,0.7769513924726994,0.0005945508088837395,0.005776481401331166
304,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.002508492899296116,0.8453545536429958,0.0008106655440634437,0.005198642996332806
323,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,0.0024350284792020865,0.8436940318542137,0.0006950890045412508,0.00571082497841919
6,sett_preprocess_income,,,,,,,,,0.002314554424120143,0.002314554424120143,0.0005645748833298645,0.0005645748833298645
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.0022206184390860073,0.7783583029309178,0.0005878715283010794,0.005313400869820674
43,sett_preprocess_income,sett_stratify_split,,,,,,,,0.0021778151451312686,0.3794618017098426,0.0005621211235821637,0.003812414684769612
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.001987771163295511,0.7922222409929914,0.0005294955218288512,0.005798986901554305
123,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,,0.0019829663626417795,0.3914266203239716,0.0004031115949317507,0.002659179488021982
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0019515172265612876,0.7733555500674076,0.0005067050305130806,0.005966764933777949
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.0019298680810728218,0.3819524268664332,0.0004731519141874794,0.0037752791790183968
