,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.372851624520286,0.372851624520286,0.006229749071210754,0.006229749071210754
16,sett_cutoff,sett_stratify_split,,,,,,,,0.3071782740405312,0.7604412346529092,0.006510642571679911,0.007877300915000806
0,sett_cutoff,,,,,,,,,0.08041133609209204,0.08041133609209204,0.0021890176501380303,0.0021890176501380303
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.006630403674047963,0.7748191004530809,0.0016465611925224714,0.007320000516551974
2,sett_exclude_features,,,,,,,,,0.005678757821198109,0.005678757821198109,0.0007809173632619583,0.0007809173632619583
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.005620706698364447,0.10471946405933984,0.0009871349981194191,0.0034650969248284508
36,sett_model,sett_preprocess_income,,,,,,,,0.005455292147597876,0.010294316946859831,0.0011305543386608244,0.0016050240835850022
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.005078231617267336,0.7986730106047969,0.001340707502705451,0.006610508476351289
178,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,,,,,,0.005028318949351353,0.12808332157224372,0.0010554727144108306,0.004342249073051689
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.004629151722913522,0.08881124239852403,0.0009280915809080364,0.0032434625769709627
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.004085235440920362,0.023303325253370328,0.0008343481087096666,0.0015725560132732745
25,sett_exclude_features,sett_model,,,,,,,,0.0038000198669475506,0.010547047903889151,0.0007705175832915909,0.0010057846254335095
6,sett_preprocess_income,,,,,,,,,0.0037707545835184613,0.0037707545835184613,0.0008872731681893138,0.0008872731681893138
12,sett_cutoff,sett_model,,,,,,,,0.003763952599109998,0.08524355890694554,0.0008285546846951768,0.0023942145777735807
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.0037046321364900313,0.8038726955071025,0.0009658649925921396,0.007299191767074709
70,sett_cutoff,sett_preprocess_income,sett_scale,,,,,,,0.003201710296139903,0.09881181625189796,0.0005262330757360405,0.0036713215624924545
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.003155524576839765,0.011848898637092806,0.0006420279837536822,0.0013749962839707296
7,sett_scale,,,,,,,,,0.0031430237132538986,0.0031430237132538986,0.0006282074731964059,0.0006282074731964059
42,sett_preprocess_income,sett_scale,,,,,,,,0.003040958915377245,0.009954737212149605,0.0006242818894560815,0.0011739907896046579
3,sett_exclude_subgroups,,,,,,,,,0.003014616239054933,0.003014616239054933,0.0006571089675943333,0.0006571089675943333
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.0029454328196480434,0.8286536954285053,0.0008553847858438693,0.0059646027529927925
38,sett_model,sett_stratify_split,,,,,,,,0.002915239311270209,0.3768351340472996,0.0006090004564891864,0.006190115014170123
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0027974302748924873,0.7894315137831587,0.0007047262295688579,0.006690355173619594
37,sett_model,sett_scale,,,,,,,,0.002739790236958992,0.006951084165956384,0.0007212828853748828,0.0009430974395305126
