,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.37789161743552024,0.37789161743552024,0.007200899791412287,0.007200899791412287
16,sett_cutoff,sett_stratify_split,,,,,,,,0.30514111098809493,0.7623785403275438,0.005599475959643733,0.00819925933676367
0,sett_cutoff,,,,,,,,,0.07934581190392867,0.07934581190392867,0.0038589600604931147,0.0038589600604931147
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.007664658025733164,0.777528435020922,0.0011296816942507413,0.008581215745575948
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.006236267908356919,0.8033422524274396,0.001562278261188485,0.009184235208718845
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.005019768471333976,0.08769975359328597,0.0009455441496036242,0.003233368459269057
2,sett_exclude_features,,,,,,,,,0.004895425708785111,0.004895425708785111,0.0008288667110459984,0.0008288667110459984
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.004614022262513847,0.10101280111093405,0.0013616872033834853,0.004061964099035726
25,sett_exclude_features,sett_model,,,,,,,,0.0045796574184181656,0.010217610641592406,0.0010076288220967884,0.001166551238742056
36,sett_model,sett_preprocess_income,,,,,,,,0.004279487076306877,0.008356187808719325,0.0009306829186697582,0.0014289841888507492
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.004126133988367323,0.8050150712470365,0.00116811836707538,0.006722695767228239
178,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,,,,,,0.004088081180653787,0.12284930035600793,0.00109511162653648,0.006423985204351882
12,sett_cutoff,sett_model,,,,,,,,0.0036770106644382398,0.08376535008275604,0.0008121997369309297,0.003931581086318905
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.0035716630875001635,0.02105797044059854,0.0011688184568531858,0.0029924760117894292
70,sett_cutoff,sett_preprocess_income,sett_scale,,,,,,,0.0034772753520157214,0.09797810692766812,0.0007516988212508155,0.00350347910383903
6,sett_preprocess_income,,,,,,,,,0.003334173218023319,0.003334173218023319,0.0007206255458972583,0.0007206255458972583
7,sett_scale,,,,,,,,,0.003312812517481787,0.003312812517481787,0.00037928856817835417,0.00037928856817835417
