,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.3708599945222141,0.3708599945222141,0.007518715525682886,0.007518715525682886
16,sett_cutoff,sett_stratify_split,,,,,,,,0.313669575147023,0.761776614102261,0.004751955379339777,0.009352594803702385
0,sett_cutoff,,,,,,,,,0.07724704443302396,0.07724704443302396,0.002962529292599364,0.002962529292599364
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.0069032033764545924,0.8033747889414963,0.0023044931112896207,0.009599175955732349
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.006589854834688403,0.7761288302871028,0.000984602973559849,0.00892465849905845
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.005771798859653363,0.10111202558262822,0.0008293538240215597,0.0032754268066342153
36,sett_model,sett_preprocess_income,,,,,,,,0.005546073594541176,0.009818539423483253,0.0012018009880540924,0.0017032948189832549
25,sett_exclude_features,sett_model,,,,,,,,0.005091605079282881,0.011261595343381614,0.0015256977659599354,0.0018479885671399594
2,sett_exclude_features,,,,,,,,,0.004944239137432312,0.004944239137432312,0.0006752206356023442,0.0006752206356023442
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.004864294044881365,0.08515805318018099,0.0009749925438910846,0.002936854990917958
178,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,,,,,,0.004794202270778549,0.12295785379823666,0.0012677291937775253,0.005353011938294497
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.0038632372426482178,0.8054367454583324,0.001157603517737342,0.0076414182560363055
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.0037280167805775056,0.022091777232774557,0.0005952248144175595,0.002581931969775304
3,sett_exclude_subgroups,,,,,,,,,0.003435433972952034,0.003435433972952034,0.0006614568608784053,0.0006614568608784053
12,sett_cutoff,sett_model,,,,,,,,0.0034103488215862527,0.08188314438127664,0.0004108146430059146,0.0030339929564356656
102,sett_exclude_features,sett_model,sett_stratify_split,,,,,,,0.0033318270778633467,0.39027294352396935,0.0011607522161094575,0.006654318863389361
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.0032268198820949055,0.8343798993991106,0.0010760966790696847,0.010623686753748843
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.0031975708164298654,0.7742613123192927,0.0006844363481049962,0.008865569128941092
38,sett_model,sett_stratify_split,,,,,,,,0.003126261401900597,0.37521200705078106,0.0005961377398166829,0.007263487832524748
7,sett_scale,,,,,,,,,0.0030643009695537093,0.0030643009695537093,0.0005535175777059738,0.0005535175777059738
6,sett_preprocess_income,,,,,,,,,0.0030467147022756576,0.0030467147022756576,0.0009565193812146303,0.0009565193812146303
70,sett_cutoff,sett_preprocess_income,sett_scale,,,,,,,0.0029902914279022396,0.09419989451117868,0.0007105999115910801,0.003465895952197306
37,sett_model,sett_scale,,,,,,,,0.002913569465829609,0.007203621562049739,0.00040574649298587734,0.0009020440020805496
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.002851482690288567,0.7914247440998772,0.0007963740420568252,0.00809707044082059
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.002725862530517308,0.011105535640901654,0.0005408344409973282,0.0012862144237590005
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.0026997041497793493,0.7722492821350541,0.000474882438521381,0.009107655259704356
42,sett_preprocess_income,sett_scale,,,,,,,,0.002567350593330478,0.008678366265159845,0.0005543589727694071,0.001492006175093344
34,sett_exclude_subgroups,sett_stratify_split,,,,,,,,0.002226980129436297,0.3765224086246024,0.0004645675488685404,0.007272050852430516
323,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,0.0020683573288595054,0.8350806962957154,0.0006251678261284873,0.008826963159486
