,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.3715011704606318,0.3715011704606318,0.00440048651336798,0.00440048651336798
16,sett_cutoff,sett_stratify_split,,,,,,,,0.31306836053351034,0.7659982098217011,0.004357331546925339,0.006290967559247048
0,sett_cutoff,,,,,,,,,0.08142867882755879,0.08142867882755879,0.0018707686927651548,0.0018707686927651548
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.007110180301674864,0.7817415180177489,0.00099199918231618,0.006338010468619458
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.006003060910856002,0.807428468182807,0.0015828246557007541,0.007530094802474141
36,sett_model,sett_preprocess_income,,,,,,,,0.005191640920479851,0.008946729121567291,0.001153457075837752,0.0013921442250774926
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.005101214007404499,0.10430283038432953,0.0011329388737015046,0.0032235448188358395
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.004683406635494282,0.08913813782045495,0.0009916454180716652,0.0022411251314454744
25,sett_exclude_features,sett_model,,,,,,,,0.00463866478315118,0.009734183889860986,0.0007495024350119689,0.001213773185601895
178,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,,,,,,0.0044601341383780045,0.1264885714966515,0.0011892430912680586,0.0065023595155041455
2,sett_exclude_features,,,,,,,,,0.004366483263024241,0.004366483263024241,0.0006506225823356643,0.0006506225823356643
12,sett_cutoff,sett_model,,,,,,,,0.004142801792304664,0.08630051646354903,0.0006115863194796356,0.0020481111320637788
38,sett_model,sett_stratify_split,,,,,,,,0.003761290258382814,0.3759914965627002,0.0008813022233273384,0.004143251817867238
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.0035733834573864025,0.021189709167454968,0.0010743496873379008,0.0031893431838809364
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.0035547312855019383,0.7782838471667746,0.00061593288813272,0.006110080758104337
70,sett_cutoff,sett_preprocess_income,sett_scale,,,,,,,0.0034190330772325512,0.09942454271171164,0.0011029307110601567,0.0034206775442141494
42,sett_preprocess_income,sett_scale,,,,,,,,0.0033447091270394818,0.009208741796211261,0.0007747641697824705,0.0015606932696599143
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.0033326549225891886,0.8091481731444121,0.0008866172235653343,0.0059086267651198565
