,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.3682830950223117,0.3682830950223117,0.004892335568490515,0.004892335568490515
16,sett_cutoff,sett_stratify_split,,,,,,,,0.3064122102174736,0.7547571334010161,0.005464293198589583,0.006493476973885183
0,sett_cutoff,,,,,,,,,0.08006182816123088,0.08006182816123088,0.00341823198439233,0.00341823198439233
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.006932418919447769,0.7697245500295242,0.001254640860620678,0.006866283508622076
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.006685439167586083,0.09025458084532129,0.0011357623175262098,0.003203465932695372
36,sett_model,sett_preprocess_income,,,,,,,,0.0060356063155436335,0.010731752160079338,0.001029795662171181,0.0014769775779828308
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.005898150769693798,0.10733569022278378,0.00117975486092928,0.003403488162929342
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.005262724798251161,0.7937485759625279,0.0012376999010897357,0.008284373711713911
178,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,,,,,,0.005107196686386142,0.13361631886965264,0.0009980001690209027,0.005393340682924669
2,sett_exclude_features,,,,,,,,,0.004969960056120715,0.004969960056120715,0.0008973348676760218,0.0008973348676760218
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.004663591529958733,0.8033577170939599,0.001278897333634791,0.005991877945148341
25,sett_exclude_features,sett_model,,,,,,,,0.0044783601626749055,0.010637152546827013,0.0010514482940546784,0.00132881405499394
70,sett_cutoff,sett_preprocess_income,sett_scale,,,,,,,0.004266495063176704,0.10279747995454963,0.0009655428068268024,0.004259624580255813
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.0041531865402361185,0.025709202344267577,0.0009242363879103451,0.003029666862486917
12,sett_cutoff,sett_model,,,,,,,,0.003958519964193684,0.08520918045345596,0.0006071337107727573,0.0035720416438024104
