,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.3763421675278398,0.3763421675278398,0.003999327726484678,0.003999327726484678
16,sett_cutoff,sett_stratify_split,,,,,,,,0.3127735251021073,0.7696848044979085,0.003541969279591475,0.004866347504039
0,sett_cutoff,,,,,,,,,0.08056911186796156,0.08056911186796156,0.0015300178021444638,0.0015300178021444638
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.006599622801243975,0.7842179252764871,0.0005615568744596289,0.004970395280946434
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.006527207923955774,0.10487307337050074,0.0006670407421453435,0.001919590897657314
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.006105873150234669,0.8113542613611165,0.0007912669972453996,0.004892971466324607
2,sett_exclude_features,,,,,,,,,0.005476598833057611,0.005476598833057611,0.0005513786915964204,0.0005513786915964204
178,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,,,,,,0.005253387208979899,0.13066641152692882,0.0008111012213690974,0.003177795351126297
25,sett_exclude_features,sett_model,,,,,,,,0.005163871646180068,0.011355682101064326,0.0005822831679449009,0.000953910448079493
36,sett_model,sett_preprocess_income,,,,,,,,0.005047833039598013,0.009255653211239348,0.0006508777623221295,0.0008108690810369059
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.004525633236403263,0.02454413328471426,0.0006848230502364939,0.0018407484506381903
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.004512571117453984,0.08857429153523025,0.0003403873927808836,0.001619196820311695
12,sett_cutoff,sett_model,,,,,,,,0.004008529249890062,0.08529285273967828,0.0004302333234104568,0.001653331643062701
42,sett_preprocess_income,sett_scale,,,,,,,,0.0037553341238368123,0.010781241767600917,0.0004347188426848382,0.0008485917884239856
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.003682469754709496,0.8134428312754429,0.0006076353908798862,0.004715222699646407
7,sett_scale,,,,,,,,,0.003533299093949418,0.003533299093949418,0.00035042984183699565,0.00035042984183699565
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.003512043086273473,0.011943064652016664,0.00045951640805361936,0.0010337193470786518
6,sett_preprocess_income,,,,,,,,,0.003492608549814687,0.003492608549814687,0.0003252578351781715,0.0003252578351781715
37,sett_model,sett_scale,,,,,,,,0.003474213619285418,0.007722724335061483,0.000355415827361716,0.0005365721734732859
70,sett_cutoff,sett_preprocess_income,sett_scale,,,,,,,0.0032896016308218926,0.09968240221494112,0.0002997599214332742,0.0019153159900046396
102,sett_exclude_features,sett_model,sett_stratify_split,,,,,,,0.0032803151296909765,0.3960775898795707,0.00045728631166234697,0.003794944729257776
38,sett_model,sett_stratify_split,,,,,,,,0.003209757105617899,0.3802671362552843,0.0004087313974432825,0.0038408934866226586
3,sett_exclude_subgroups,,,,,,,,,0.002954422732685582,0.002954422732685582,0.0004340136406288518,0.0004340136406288518
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.0028113509214041585,0.7820692129554545,0.0005767606705235582,0.004482225933085535
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.002606288094220236,0.780633953229476,0.000380969576757373,0.004565049418126516
98,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0023957750144245832,0.3940464630338518,0.0005154910630821249,0.003757297341451076
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.0023309191776635114,0.8406278774870012,0.0004177222170968099,0.005648579338549842
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.002197740844234467,0.7776058624897431,0.00026837508503432025,0.004813127527336529
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0021713621867978164,0.798426205045143,0.00029634976469186566,0.005039913119045279
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.0018896680153577395,0.3837084343762551,0.0003431740382075641,0.003915230057073563
323,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,0.0018687548176928416,0.845704105452018,0.0004585653207062811,0.004874382089601417
112,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,,0.0017965338198825535,0.38814337051662223,0.00031026614210013175,0.0035944377683672568
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.0017590618843928586,0.021230699688972912,0.0003453968163542528,0.0016913737081097975
184,sett_cutoff,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,,0.001757914838434856,0.7960124214126137,0.00047812006187016785,0.004058601320355949
223,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0017239153700153215,0.4133446194960148,0.00024403101189324496,0.004020113463030624
30,sett_exclude_subgroups,sett_model,,,,,,,,0.001649489884556675,0.005319124239068903,0.00024592961211431234,0.0004577134107205412
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.0016371274269562032,0.09854704443480401,0.0002015964128374521,0.0016075299884209325
123,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,,0.0015829868231465407,0.3919584425367166,0.00037638761443780185,0.0037161669866494955
43,sett_preprocess_income,sett_stratify_split,,,,,,,,0.00156787786887302,0.38140265394652745,0.0002977040793524083,0.0039337431527431185
304,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0015208657420600336,0.8457381737130263,0.000423278571641126,0.004379035257294289
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.0014777395034372672,0.7969948260460206,0.00032071268974690343,0.0044391652554224125
34,sett_exclude_subgroups,sett_stratify_split,,,,,,,,0.0014757878242130664,0.3807723780847384,0.0001983245573411938,0.003786826493201921
65,sett_cutoff,sett_model,sett_scale,,,,,,,0.0014319934120485816,0.09426223469606447,0.00027754353315977186,0.0017199104930310303
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.001293106590701222,0.08481664119134838,0.0001985255147051407,0.0016316721699645498
143,sett_cutoff,sett_encode_categorical,sett_model,sett_stratify_split,,,,,,0.0012930714096722638,0.7872856889471879,0.0003086265939969102,0.005084732822707728
420,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,0.001223427561433311,0.8831353450906065,0.0002916389254561444,0.004817570665235268
