,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.3772399560578569,0.3772399560578569,0.003535686127320175,0.003535686127320175
16,sett_cutoff,sett_stratify_split,,,,,,,,0.3114407470393662,0.7700143486995095,0.00306180470264823,0.004970904920201826
0,sett_cutoff,,,,,,,,,0.0813336456022864,0.0813336456022864,0.0019270264549273778,0.0019270264549273778
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.006975743185178041,0.7852686688702689,0.0007443149930248438,0.004972247158791233
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.006869778705734967,0.8133813231816387,0.0008727707658221897,0.0057798030414378905
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.006219539122658854,0.10647556058547389,0.0003928496174674374,0.0024653982814930595
36,sett_model,sett_preprocess_income,,,,,,,,0.005904901564734784,0.010064622691797951,0.000572978896941775,0.0007775487050502597
25,sett_exclude_features,sett_model,,,,,,,,0.005753507673192279,0.011566419966249618,0.0007475507052116063,0.0008031916642162905
178,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,,,,,,0.005093237724719979,0.13217026584561836,0.0004944786371286735,0.0032022921539806874
2,sett_exclude_features,,,,,,,,,0.00487943486847832,0.00487943486847832,0.0004897403261045931,0.0004897403261045931
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.004821052383932741,0.025222127400741732,0.0006039026072594165,0.0017587994837538234
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.0047568897966885106,0.08931677910145903,0.00036299233357631357,0.001870079449868984
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.004239423424474858,0.8156589654245688,0.0006633015415181358,0.005195524509346723
12,sett_cutoff,sett_model,,,,,,,,0.004100863372042195,0.0863679863989076,0.0003754178374177097,0.0021633356084058437
7,sett_scale,,,,,,,,,0.0035089186414032155,0.0035089186414032155,0.0003255593453124995,0.0003255593453124995
102,sett_exclude_features,sett_model,sett_stratify_split,,,,,,,0.003506959112470091,0.39745428845118563,0.0005157691852178431,0.004208696860943256
70,sett_cutoff,sett_preprocess_income,sett_scale,,,,,,,0.003476128173003224,0.10027902124106425,0.00043101204035092235,0.0019479047223598907
42,sett_preprocess_income,sett_scale,,,,,,,,0.0034443482057492933,0.010179510549636655,0.0005036246009487718,0.000852046770167043
3,sett_exclude_subgroups,,,,,,,,,0.003410982390672916,0.003410982390672916,0.00043914732430386325,0.00043914732430386325
37,sett_model,sett_scale,,,,,,,,0.003383185477858534,0.00782558154384077,0.00042007610243299136,0.0005814064487389335
38,sett_model,sett_stratify_split,,,,,,,,0.0032442361889600526,0.381417669671396,0.000506386405800028,0.0034687821616106404
6,sett_preprocess_income,,,,,,,,,0.003226243702484147,0.003226243702484147,0.0004421716803211907,0.0004421716803211907
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.0030748925412425964,0.01136530980039383,0.00032346489514048965,0.0007628443082086975
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.0030403593201972488,0.7822735949869468,0.0006104296647229555,0.0044533829253603965
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.0026023470734242017,0.8428100146474831,0.0003812386091879805,0.006106626555158653
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.002455512475383453,0.8001262107917828,0.00040099650104230447,0.004717511546619124
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.00237371470771891,0.7801182212485387,0.0003202364894190294,0.005041372042587528
98,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.002155169132743527,0.3945368544573994,0.00040947615334584127,0.0035626722878424662
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0019977638146473423,0.778524287337514,0.0004253376976068656,0.004690814540863073
304,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0019233617964053973,0.8501101954862667,0.00041863611401888527,0.006457496075448644
323,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,0.0019024643199142806,0.847424193990397,0.00039382011403781025,0.004779795346102849
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.0018967171256489737,0.38401610805198416,0.0004441004169073053,0.0037312856085214663
34,sett_exclude_subgroups,sett_stratify_split,,,,,,,,0.0018797023407561243,0.3825306407892859,0.00034176293520922133,0.0032786759038525553
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.0018785362709433876,0.09983347105870463,0.00045819093011124483,0.0023276788625381226
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.0017732146480087584,0.021420930072963737,0.0003369357986202045,0.0016115169162051511
123,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,,0.0017671861549941783,0.39355175456167646,0.00031150106375959065,0.00329539063638057
223,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0016456830866548927,0.4145358455228275,0.0002709678460022837,0.004403173729097275
30,sett_exclude_subgroups,sett_model,,,,,,,,0.0015954205267898498,0.0059398803420417845,0.00028712251607470717,0.0005429000707010116
112,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,,0.0015464924047732442,0.3898502673343881,0.00024059139931651818,0.003089552860981123
65,sett_cutoff,sett_model,sett_scale,,,,,,,0.0014349875340280188,0.09522792517164684,0.000183644297562749,0.002029459498107399
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.0014082109911456022,0.7963234246517288,0.00015480621771193448,0.004797713164037206
184,sett_cutoff,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,,0.0013797491196751843,0.7956731170177449,0.0004870993369379706,0.003815413546455239
43,sett_preprocess_income,sett_stratify_split,,,,,,,,0.0012357534680673943,0.3817019532284085,0.00028062134178125374,0.0034101657831522784
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.001221490091928134,0.08596611808488744,0.0002110109969340875,0.0016908718836179805
143,sett_cutoff,sett_encode_categorical,sett_model,sett_stratify_split,,,,,,0.0011931900666745762,0.7881127492463273,0.0003286478699410137,0.0051831238039308156
234,sett_exclude_features,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.0011805653608736788,0.4123257783866563,0.00031532758476226976,0.004371614216714574
420,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,0.0011670752720552044,0.8876991305736643,0.00023420037018694184,0.006727474865853208
314,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0010796685042665935,0.8344379746146108,0.00026188607060643066,0.0051726112267637125
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.0010569921000537115,0.0959314434418451,0.0001816482145019213,0.0016949843587531703
421,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_scale,sett_stratify_split,,,,0.0010526398278398706,0.8700081349587353,0.00020455315373832833,0.00527804605581956
28,sett_exclude_features,sett_scale,,,,,,,,0.001036361145797344,0.00942471465567888,0.00021651495625567573,0.0007083134570824465
222,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_scale,,,,,,0.0010085754942424363,0.03389429177303933,0.0003623890018375236,0.002899807833229374
302,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_age,sett_stratify_split,,,,,0.0009635691815975706,0.8190385597213531,0.000228676467849103,0.005463474984624189
