,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.3740704392205889,0.3740704392205889,0.0027203493975499564,0.0027203493975499564
16,sett_cutoff,sett_stratify_split,,,,,,,,0.3116519387627182,0.7666575442626165,0.0023133818432546495,0.004653143989074011
0,sett_cutoff,,,,,,,,,0.0809351662793093,0.0809351662793093,0.0016359493539075906,0.0016359493539075906
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.006646723263692355,0.7812152845027021,0.0006475371916253497,0.0045210043691679205
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.005945053235461744,0.10534976309070654,0.0006605191033194995,0.0018526783325396934
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.005782185898564933,0.8084099853983636,0.0010990412742840337,0.004026356928537099
36,sett_model,sett_preprocess_income,,,,,,,,0.005763799064827706,0.009703520088724363,0.0004165822745608913,0.0007131637628925016
25,sett_exclude_features,sett_model,,,,,,,,0.005659737128505036,0.011743078437643224,0.0005305531926510032,0.0007558335254907681
2,sett_exclude_features,,,,,,,,,0.005204298394362011,0.005204298394362011,0.0004361750464097914,0.0004361750464097914
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.005095330272508504,0.08909117466093829,0.0004949354245553409,0.0012430024991362148
178,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,,,,,,0.005000528881487769,0.1301032944730935,0.0006379498315327415,0.0027637567766660206
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.004316421006249483,0.024090102977962765,0.0004686682318189711,0.0012344571326296438
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.004100833876591615,0.8114341063545548,0.0006317482306603052,0.0038546843766926343
12,sett_cutoff,sett_model,,,,,,,,0.0036706932147026103,0.08548490240878809,0.00037840178215759677,0.0017240472728709598
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.0035616134700743613,0.011940900016997156,0.0003984568476826958,0.0007382706820916891
70,sett_cutoff,sett_preprocess_income,sett_scale,,,,,,,0.0034977376694639364,0.09986560132806402,0.0005941780068002138,0.0014576115334397053
7,sett_scale,,,,,,,,,0.0034310576262279457,0.0034310576262279457,0.0003248360794707668,0.0003248360794707668
