,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.3720313952491699,0.3720313952491699,0.0036230760858463433,0.0036230760858463433
16,sett_cutoff,sett_stratify_split,,,,,,,,0.31004500535848933,0.7616723832126675,0.0034622644494702415,0.007169231453109173
0,sett_cutoff,,,,,,,,,0.07959598260500816,0.07959598260500816,0.0020024541790314974,0.0020024541790314974
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.006742662725931346,0.7770939680721962,0.0008129130101589358,0.007467593938591485
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.00667615541784271,0.10618893225183981,0.0006626899722226261,0.0018850803433632236
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.006428937466826922,0.8051833676945499,0.00101104315118329,0.007429886316202421
25,sett_exclude_features,sett_model,,,,,,,,0.0061303559639294325,0.01236200472984445,0.0007726244902357487,0.0008947981256054902
36,sett_model,sett_preprocess_income,,,,,,,,0.006117996305775185,0.010294134257592296,0.0007410490298706019,0.0008972817700449779
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.005686912534781601,0.08839199600129652,0.000708968781188681,0.0019262485023486113
178,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,,,,,,0.0053578056257927685,0.13371427330057384,0.0006463375703803815,0.0030958504112039583
2,sett_exclude_features,,,,,,,,,0.0051646116756046655,0.0051646116756046655,0.0005691614891040331,0.0005691614891040331
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.0048529052594601515,0.026349124295294412,0.0005064239773507191,0.0018635209384334434
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.004156690554308465,0.8090182003394231,0.0007236508568599651,0.007087471840307085
70,sett_cutoff,sett_preprocess_income,sett_scale,,,,,,,0.004098308972111356,0.10068922383035475,0.0005875981417044905,0.0021434327845863297
12,sett_cutoff,sett_model,,,,,,,,0.0039357474366150365,0.08459876713193355,0.0003515915275670457,0.0020175041506711776
102,sett_exclude_features,sett_model,sett_stratify_split,,,,,,,0.003930967591797577,0.3938858909877613,0.0005454800022947828,0.003110761096573369
7,sett_scale,,,,,,,,,0.0038155167110960216,0.0038155167110960216,0.0004241801654553877,0.0004241801654553877
42,sett_preprocess_income,sett_scale,,,,,,,,0.0038110495535209005,0.010735667126123682,0.0003357263564039134,0.0008594398056148565
38,sett_model,sett_stratify_split,,,,,,,,0.0036761376066720593,0.3767745699461523,0.0005468618891681181,0.0035583136449263367
37,sett_model,sett_scale,,,,,,,,0.0035755185136250416,0.008458072315031415,0.0004514008625053277,0.0008998040470594526
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.0032256160845046357,0.011511125259125572,0.00037716420046666007,0.0010603998780233357
3,sett_exclude_subgroups,,,,,,,,,0.003120897499016272,0.003120897499016272,0.000391967861413513,0.000391967861413513
6,sett_preprocess_income,,,,,,,,,0.00310910086150676,0.00310910086150676,0.0005428117700194842,0.0005428117700194842
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.002970825987768426,0.7748884187976632,0.0004941836935823192,0.006759278158837488
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.0026416744451861437,0.8345109314920371,0.0005942483546581349,0.0071307698759212395
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.002532933129588762,0.7914966168791522,0.0005400398250506443,0.007264130688431499
98,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0020898668399381873,0.3893715804439739,0.00043105855145132976,0.003238113929012582
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.0020890801763092963,0.7715551042915303,0.000261307990276189,0.006679595313626116
323,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,0.001985816841835291,0.8431207492772839,0.0004819716372395668,0.007643563620612121
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.0018853858102773026,0.3790813927350518,0.000393790643268041,0.0032154980120639187
34,sett_exclude_subgroups,sett_stratify_split,,,,,,,,0.0018538072854629264,0.3770061000336491,0.00033720727738718853,0.003552147391134597
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0018433332914632758,0.7696887048736896,0.0003353344796558301,0.007036646629587214
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.0018349212814004982,0.022186661899233025,0.0003030467560986664,0.0017079258010163562
223,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0017888272260559368,0.4108982395854456,0.00026377639698252646,0.0031022020468895817
123,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,,0.0017573544043046683,0.3892082177186779,0.0003477529940683438,0.003859657582675588
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.0017164175209368627,0.09835379570907615,0.00036917992024476583,0.0023791811268475235
30,sett_exclude_subgroups,sett_model,,,,,,,,0.0016432223044671695,0.005831156893793793,0.0002778854961935132,0.0006408495959984653
184,sett_cutoff,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,,0.0016220876545544488,0.790105680564324,0.000439367710856025,0.006886824471145839
304,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0015674556055917956,0.8427759106540299,0.0005256424276179788,0.007240989345818083
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.0014741025502376542,0.7873003663728201,0.000308927305410062,0.006158853514979493
112,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,,0.0014551900768386698,0.3848476871119373,0.00026156092448822944,0.0034594092041344555
43,sett_preprocess_income,sett_stratify_split,,,,,,,,0.0014491962009390313,0.37658969231161565,0.0002839856718207546,0.003668524188311061
65,sett_cutoff,sett_model,sett_scale,,,,,,,0.0014418838207978344,0.09400403876978242,0.00023296762708105984,0.00187914921380319
143,sett_cutoff,sett_encode_categorical,sett_model,sett_stratify_split,,,,,,0.0013801693440199413,0.780294721886818,0.000395300906990238,0.007531949539707493
420,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,0.0013184357184897089,0.8805574060607009,0.00028533376720778013,0.006631362817092115
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.001198283585079714,0.08391516368910415,0.00022028476883412392,0.0018888656320033574
314,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0011521428238589978,0.8274141308365263,0.000186622355374232,0.006616280198340557
222,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_scale,,,,,,0.0010781752029394322,0.03505665506334909,0.00024757672528580055,0.002343354778271601
4,sett_model,,,,,,,,,0.0010670370903103513,0.0010670370903103513,0.00021543404508205942,0.00021543404508205942
141,sett_cutoff,sett_encode_categorical,sett_model,sett_preprocess_income,,,,,,0.0009949040821867006,0.10924284653137398,0.00021714413716803423,0.00214488760788767
421,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_scale,sett_stratify_split,,,,0.000983655504014632,0.8622110370138408,0.0002472632667613792,0.00714245935672939
111,sett_exclude_subgroups,sett_model,sett_scale,,,,,,,0.000983542833824936,0.015112658658757435,0.00016679744721289998,0.0013471792818925982
427,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,0.0009748398282524262,0.8547434249576409,0.0002309782001505738,0.007979327564607456
321,sett_cutoff,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,0.0009452599807057032,0.8154602611737443,0.00029425458159020805,0.007320750481659795
365,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_scale,sett_stratify_split,,,,,0.0009441309680391859,0.42895578305923243,0.00025209788819224876,0.004105379339515563
