,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.3746299907567834,0.3746299907567834,0.003900593512914642,0.003900593512914642
16,sett_cutoff,sett_stratify_split,,,,,,,,0.3113153749543718,0.7671980462497779,0.0026285113915842915,0.004036651704557552
0,sett_cutoff,,,,,,,,,0.08125268053862275,0.08125268053862275,0.0019589768709514384,0.0019589768709514384
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.006705138051667346,0.8090992793138452,0.001076665892128391,0.004800042014116594
36,sett_model,sett_preprocess_income,,,,,,,,0.006588363170873449,0.010582657698905474,0.0007086524580480364,0.0007662921232935732
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.006539132160920517,0.10787109746014206,0.000540035481087636,0.0021007274807464246
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.00632170389106691,0.7816481862038309,0.0005958283435317743,0.0038159716300871457
25,sett_exclude_features,sett_model,,,,,,,,0.0059056532453976695,0.011798543325697929,0.0008352848741538621,0.0007479552288189438
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.0053991939084804385,0.08961922613184448,0.0005132956414750954,0.0021027771416581133
178,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,,,,,,0.0051176448172563175,0.1347202604133456,0.0005091330305936823,0.002973890794374167
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.0048789739992101365,0.026869242467496997,0.00048457959636458435,0.0012364181992815275
2,sett_exclude_features,,,,,,,,,0.004865947237009503,0.004865947237009503,0.0004424601343552824,0.0004424601343552824
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.00473912893489915,0.8149310418170121,0.0007339919117391485,0.0033088529368396806
12,sett_cutoff,sett_model,,,,,,,,0.004097433153212873,0.0863770565351264,0.00034401845850605417,0.0019018188258792376
42,sett_preprocess_income,sett_scale,,,,,,,,0.004002999320323154,0.01089564616075989,0.00046169305852433186,0.0008644781101250369
7,sett_scale,,,,,,,,,0.0039252951556954675,0.0039252951556954675,0.00031856459637042263,0.00031856459637042263
102,sett_exclude_features,sett_model,sett_stratify_split,,,,,,,0.003758910637553998,0.3948421116173024,0.0007103004365949221,0.0043620638142458324
70,sett_cutoff,sett_preprocess_income,sett_scale,,,,,,,0.003608459995505621,0.1017148568257406,0.0005180771002500764,0.0027187652526654495
37,sett_model,sett_scale,,,,,,,,0.003479316293362766,0.00843155429234899,0.00025378899470369194,0.00029670634024866116
3,sett_exclude_subgroups,,,,,,,,,0.0033021053637985872,0.0033021053637985872,0.00034670991511012397,0.00034670991511012397
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.0032768238479460626,0.011444876448754152,0.0004026880110645915,0.0008309045043575445
38,sett_model,sett_stratify_split,,,,,,,,0.003004060066482424,0.3786609936665566,0.0003021731711304267,0.003888600590273181
6,sett_preprocess_income,,,,,,,,,0.0029673516847412685,0.0029673516847412685,0.00041771333696557063,0.00041771333696557063
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.002964431281552951,0.7802992316160597,0.0004409461014552329,0.003976753394587622
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.002426711788435603,0.8378052809615564,0.0004277786431252593,0.00531575842407707
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0023537555159457517,0.7960292106922904,0.000417418659316176,0.0037991788431014123
123,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,,0.002315045980206247,0.39230196299388476,0.00044311315416526906,0.0038520497411729717
304,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0022354681208361996,0.8493163750629489,0.000503660607113465,0.004466289517636717
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.002134211722437099,0.7766768040980239,0.0002325775509011604,0.003936555664270442
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.002059740269575646,0.7756658079140478,0.00048638759281686533,0.00396904770712
98,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0019812470996821855,0.3915772739351382,0.00040035684290307957,0.004244947232886312
323,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,0.001943357560055473,0.8487772161405984,0.00046963569905161687,0.003958494927938928
34,sett_exclude_subgroups,sett_stratify_split,,,,,,,,0.0018705527991338179,0.37980264891971577,0.00019962334442302453,0.00395102333260191
223,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0018650751013755576,0.4116417525166587,0.00032629361444697563,0.005109932654487342
184,sett_cutoff,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,,0.0017712101099108322,0.7956343070736659,0.00032502341377720935,0.004435679509723231
43,sett_preprocess_income,sett_stratify_split,,,,,,,,0.0017702084915072044,0.37936755093303187,0.000264008636833174,0.0037817436032218602
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.0016506068307846583,0.38114654482457755,0.0002702984019292325,0.003837536264378252
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.0016314050371409533,0.021436225990731576,0.000299511287461688,0.0012070838003648593
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.0016026333271493168,0.09957928240269745,0.0004381930758504831,0.0024171835287273816
112,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,,0.0014450832341310433,0.3867060834797681,0.00019751860334044457,0.003922423377967756
30,sett_exclude_subgroups,sett_model,,,,,,,,0.0014273484161480467,0.005756396623237389,0.00021406507541695528,0.0003447992396690722
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.0014128419418828171,0.7927986593723433,0.0002891831925370441,0.0038131731167659116
143,sett_cutoff,sett_encode_categorical,sett_model,sett_stratify_split,,,,,,0.0013737330597024997,0.784778402457779,0.00024819740881101534,0.0039475790090869045
65,sett_cutoff,sett_model,sett_scale,,,,,,,0.0012775971494781721,0.09561814135603469,0.0002571715065371173,0.0019116283846071734
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.0012353632317619022,0.08579014913418323,0.0002097874516637739,0.00183233822735434
420,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,0.0012204680501425192,0.8860668540013636,0.00027953295374895533,0.004413997825732227
314,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0011988307252859872,0.8332017589482605,0.00029676330520034863,0.0029989457295794327
33,sett_exclude_subgroups,sett_scale,,,,,,,,0.0010575708849219906,0.008284971404416044,0.00014730809953586205,0.0005885639371867011
234,sett_exclude_features,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.0010492963410387516,0.41106546768058516,0.00031096514716821426,0.004661740183707671
4,sett_model,,,,,,,,,0.0010269428432907565,0.0010269428432907565,0.00018712145950605853,0.00018712145950605853
427,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,0.0010153221146133862,0.8610341962362996,0.00018266193927329906,0.0048985352209916285
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.0009831807205383947,0.09574409299769178,0.00015777831045096517,0.0018711599281853318
421,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_scale,sett_stratify_split,,,,0.0009730296780533837,0.8660293442905311,0.00013505936705469364,0.004916612827343988
315,sett_cutoff,sett_exclude_subgroups,sett_model,sett_scale,sett_stratify_split,,,,,0.0009636751583298265,0.8137941800535374,0.00018261398569813863,0.0038158717700090346
222,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_scale,,,,,,0.0009601715420590551,0.034277717839832356,0.00012284785022398335,0.001521518775916746
97,sett_exclude_features,sett_exclude_subgroups,sett_scale,,,,,,,0.0009569285015941767,0.018176756867249153,0.00015796496590813851,0.001185720182148621
156,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,,,,,,0.0009324457688954881,0.12315825573046328,0.00025122045280679106,0.0025151338669406414
321,sett_cutoff,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,0.0009249069965157954,0.8210838627001564,0.00010950707773959446,0.0032217846813008587
365,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_scale,sett_stratify_split,,,,,0.0008886771172140836,0.4300573452444327,0.00017553381964154294,0.005143533177776206
163,sett_cutoff,sett_exclude_features,sett_preprocess_income,sett_stratify_split,,,,,,0.0008812324670891501,0.7921215370045674,0.00017635997618711726,0.003740638809110075
111,sett_exclude_subgroups,sett_model,sett_scale,,,,,,,0.0008758933308831061,0.015094472288100722,0.00012003768609149288,0.0004727516745064454
487,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,0.0008313257943177894,0.9067368755335452,0.00017550193145935404,0.00479202582930909
10,sett_cutoff,sett_exclude_features,,,,,,,,0.0008279920580145723,0.08694661983364683,0.00017147644715943865,0.0019958898175486735
148,sett_cutoff,sett_encode_categorical,sett_preprocess_income,sett_stratify_split,,,,,,0.0008257310016387392,0.7828757867578306,0.00030092517690267617,0.004056765060193755
101,sett_exclude_features,sett_model,sett_scale,,,,,,,0.0007942302643008479,0.020789470915340377,0.00018627425307222144,0.0009394040491255762
28,sett_exclude_features,sett_scale,,,,,,,,0.0007920858762833674,0.009583328268988337,0.00016346859297214076,0.0006779886476833235
180,sett_cutoff,sett_model,sett_scale,sett_stratify_split,,,,,,0.00078953625039682,0.7936745459054058,0.00019434864872806717,0.0038232057720991143
