,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.3735061497976744,0.3735061497976744,0.0034682374140577706,0.0034682374140577706
16,sett_cutoff,sett_stratify_split,,,,,,,,0.3105204398092206,0.7636745972044002,0.0026784276310323433,0.004087258950611733
0,sett_cutoff,,,,,,,,,0.07964800759750532,0.07964800759750532,0.0018238761719256177,0.0018238761719256177
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.006614173328557086,0.7784398312665342,0.0007332777001955672,0.003797778186727347
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.006320107579325218,0.8065364223644523,0.00095020812208711,0.0035666153286499237
36,sett_model,sett_preprocess_income,,,,,,,,0.006140329739833609,0.009929407442794887,0.0005035447337068029,0.000778391665193592
25,sett_exclude_features,sett_model,,,,,,,,0.006010080046089751,0.011854154086960366,0.0005912150159587192,0.0007299073624019785
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.0059800274544173845,0.10540588987657284,0.0004976151278372486,0.0019863226294174648
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.005862192148886168,0.08852627408602295,0.0004514807590493733,0.0016035656450323447
178,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,,,,,,0.00511335528663176,0.1322226580033423,0.00040761924625481365,0.0026494244839826444
2,sett_exclude_features,,,,,,,,,0.005071070677540814,0.005071070677540814,0.0004401505340031937,0.0004401505340031937
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.0045503792088089036,0.8100177691917596,0.0008307478460753354,0.004710524058765778
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.004496496752378205,0.025428941793879403,0.00043187915213217126,0.0015261531968322009
70,sett_cutoff,sett_preprocess_income,sett_scale,,,,,,,0.004178222131217132,0.10077724503280834,0.0004947462576469288,0.0018359980250591914
102,sett_exclude_features,sett_model,sett_stratify_split,,,,,,,0.004033983937235157,0.39473103866560666,0.0004825291213391794,0.00341336695819965
12,sett_cutoff,sett_model,,,,,,,,0.003986255232969092,0.0844072661938042,0.00045413039359605805,0.0021119817764582377
42,sett_preprocess_income,sett_scale,,,,,,,,0.0037577939602614773,0.010366697964391502,0.0005177057113632952,0.0009828102458115287
37,sett_model,sett_scale,,,,,,,,0.0036524139739462884,0.008018247001774639,0.000337344199228626,0.0005814116425305471
7,sett_scale,,,,,,,,,0.0035928296644985496,0.0035928296644985496,0.00041840477310488235,0.00041840477310488235
38,sett_model,sett_stratify_split,,,,,,,,0.0033918021372778074,0.377670955298282,0.0004243772350984321,0.003266138879304949
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.0033682965824233463,0.011735789097219049,0.000404810359528974,0.0007961909477079785
3,sett_exclude_subgroups,,,,,,,,,0.003296421837254888,0.003296421837254888,0.0004164644940915274,0.0004164644940915274
6,sett_preprocess_income,,,,,,,,,0.0030160743396314737,0.0030160743396314737,0.0003775998979877555,0.0003775998979877555
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.0024101165295636264,0.8362261963119406,0.0004255077631611739,0.002969736787381283
98,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0023917978675982218,0.391309605381852,0.0004441687122584347,0.0029352821005765623
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.002304927330143044,0.7928560144225155,0.0005023033928618551,0.003718044531944919
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.0021547810396387885,0.7736433479700592,0.0004339774416442812,0.0038153876535242806
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.0020781891778827817,0.7765646875032873,0.0003581738969446972,0.003848559852169221
123,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,,0.0020171112232786185,0.39077810523351225,0.00036232969895049464,0.0036798798791680665
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.0019449487064589733,0.38052216918167414,0.00043694732335811603,0.0032720528033080495
43,sett_preprocess_income,sett_stratify_split,,,,,,,,0.0019336346324865916,0.3784558587697924,0.00038368340979161205,0.0035592717722406297
223,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.001898120573268316,0.41250793620624604,0.000278068974711769,0.0028088140570930362
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0018857514281763687,0.7717812454915716,0.00030295726557949434,0.0038854095037812487
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.0018412773008015554,0.02193900835464918,0.0002551206847580938,0.0011050730003354997
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.0017636687696091988,0.09805003602906436,0.0004371299534200227,0.0019267658803350878
34,sett_exclude_subgroups,sett_stratify_split,,,,,,,,0.0017309199129014051,0.3785334915478306,0.0002708635557924794,0.0033959823137046548
112,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,,0.0016712049191826071,0.38594836051482984,0.00025212616579402877,0.0031924907647477236
304,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0016709538699389043,0.844095979774609,0.0004352655688827056,0.005011302157963439
323,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,0.0016497237487603325,0.8427704109138341,0.0005656373282381921,0.005921994961192451
30,sett_exclude_subgroups,sett_model,,,,,,,,0.0015788585472090249,0.0056482837477937154,0.00019723663537392615,0.0005031434014478382
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.00141965784923464,0.7899170566115181,0.0002723916973074526,0.0032359038167434516
184,sett_cutoff,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,,0.0014126999779640206,0.7914242961525604,0.0003986313209157488,0.004428120028598274
65,sett_cutoff,sett_model,sett_scale,,,,,,,0.0013035311670278119,0.0936781661900851,0.00022474926827794695,0.002268083166521334
420,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,0.0012406126200717252,0.8817668189430904,0.00029034996238767397,0.0037263114389730536
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.0011935551088386644,0.08413798454359886,0.00018773327657875443,0.0018763996455440698
427,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,0.0011159133111152582,0.8573923919996771,0.0002608553983622781,0.004783256650971459
222,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_scale,,,,,,0.0010928897589579547,0.034790803306586016,0.0002403559815729784,0.0015774779046002954
321,sett_cutoff,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,0.0010855995667797328,0.8167753801262172,0.00021385966392722703,0.004916922835531108
314,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.001073995686233871,0.8281170688722401,0.00028532371615148987,0.004489211845244735
143,sett_cutoff,sett_encode_categorical,sett_model,sett_stratify_split,,,,,,0.0010509997255289626,0.7811247466238693,0.00029829185601419167,0.0037128364697509007
365,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_scale,sett_stratify_split,,,,,0.0010010525075491465,0.4306576474255672,0.00015684264490795977,0.0026412446136740175
234,sett_exclude_features,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.0009898095825218154,0.4103054724824615,0.0002908206837191985,0.004047208923916163
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.000987308055031332,0.09436261020061475,0.0002113304525430903,0.002032084121675641
421,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_scale,sett_stratify_split,,,,0.0009722118518438902,0.8636126632842951,0.00019938461736389377,0.003105416101807835
97,sett_exclude_features,sett_exclude_subgroups,sett_scale,,,,,,,0.0009674352207807355,0.01800449496790049,0.00019640744347440133,0.0010298414600860904
111,sett_exclude_subgroups,sett_model,sett_scale,,,,,,,0.0009643542622388892,0.014719018874531292,0.00014662889537816592,0.0008824797795750901
150,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,0.0009570160335857429,0.11202731356648436,0.0002778579964142201,0.0025852630043484573
487,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,0.0009048777262099662,0.905382959001599,0.00024545933071155624,0.004420386978330227
302,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_age,sett_stratify_split,,,,,0.0008873517791801523,0.8124181244879405,0.00017698912681955408,0.0035779185828346913
163,sett_cutoff,sett_exclude_features,sett_preprocess_income,sett_stratify_split,,,,,,0.0008819071417209169,0.788764485705201,0.0002601563153954539,0.003864323433298041
101,sett_exclude_features,sett_model,sett_scale,,,,,,,0.0008734310861122557,0.02082013257086577,0.00017571539219574114,0.0009735008513877112
33,sett_exclude_subgroups,sett_scale,,,,,,,,0.000861137226053848,0.007750388727807285,0.00023884184560947713,0.00077119129121772
28,sett_exclude_features,sett_scale,,,,,,,,0.0008473037593483075,0.009511204101387671,0.00020432524726655672,0.0005405566138887136
