,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.37237074332799525,0.37237074332799525,0.00396956148811136,0.00396956148811136
16,sett_cutoff,sett_stratify_split,,,,,,,,0.31282570348971134,0.7665839003396995,0.0035666677037206967,0.005649092875296125
0,sett_cutoff,,,,,,,,,0.08138745352199293,0.08138745352199293,0.002058896447357532,0.002058896447357532
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.007221695216859032,0.7824782532496096,0.0005342676423039182,0.005514872814231245
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.005907624320735617,0.10629831703281648,0.0004476312996848682,0.0020783231211826563
25,sett_exclude_features,sett_model,,,,,,,,0.005851739128359831,0.012118377867784235,0.0009711525775994047,0.0010391932566852801
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.005780465049114919,0.8097626252246569,0.0010639511501723067,0.004923631669100223
36,sett_model,sett_preprocess_income,,,,,,,,0.005719121662511928,0.00982384689364077,0.00036434867650854603,0.0005319941606878451
2,sett_exclude_features,,,,,,,,,0.005303272079882476,0.005303272079882476,0.0005863040426975964,0.0005863040426975964
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.00506924328186222,0.08959805537544208,0.0004949427163366828,0.0020190047913235167
178,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,,,,,,0.005002060223821997,0.13161151962644485,0.00041756729021993905,0.0021602359858431536
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.004528672756596255,0.8132540788636707,0.000868517742602919,0.005854955284802385
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.004429264483216667,0.024730546018454397,0.00042264606845702834,0.00092895453151169
12,sett_cutoff,sett_model,,,,,,,,0.004110149014584941,0.08646096919611981,0.00028909729509875087,0.0020483148571576954
42,sett_preprocess_income,sett_scale,,,,,,,,0.0037539867498147133,0.010175756825761863,0.00026091148954406935,0.0004945652511072748
102,sett_exclude_features,sett_model,sett_stratify_split,,,,,,,0.003673549396141527,0.3934161007134329,0.000568260657439152,0.0043309608407547445
38,sett_model,sett_stratify_split,,,,,,,,0.0035991420189241826,0.37693325200646133,0.0002912350289223347,0.0038707100454417557
70,sett_cutoff,sett_preprocess_income,sett_scale,,,,,,,0.0035308594904977647,0.10082004774428052,0.000475421560821148,0.0018753779770459395
37,sett_model,sett_scale,,,,,,,,0.0034430363874220103,0.007686814551324174,0.0002651670601996757,0.0005699874338642742
7,sett_scale,,,,,,,,,0.0032804115043602363,0.0032804115043602363,0.000325826626230264,0.000325826626230264
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.0032126067322089916,0.779421543441568,0.000544130151377293,0.005654893764905565
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.003165565751589012,0.011606478257240227,0.0005108654358147833,0.0008463348649593868
6,sett_preprocess_income,,,,,,,,,0.0031413585715869136,0.0031413585715869136,0.00036939217945827454,0.00036939217945827454
3,sett_exclude_subgroups,,,,,,,,,0.0031376404257687394,0.0031376404257687394,0.0003244956564430553,0.0003244956564430553
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.0025316199420094884,0.7770754837601057,0.00029029871544716183,0.005585076432029637
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.002418474370967048,0.7967807202139511,0.0004773411459098749,0.004983651210172215
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.002410268320412313,0.8388063873446479,0.0003355388897637888,0.00491186171548941
304,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0022085620533561084,0.8468353822309643,0.0006202595462640502,0.005729467334052813
323,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,0.0021070207265746705,0.844880431653262,0.0006452498687452538,0.005894876053750536
98,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.002095884280164388,0.3893782499880046,0.0004638200230186316,0.003936003000055818
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.00190583849676135,0.7744091525860664,0.00039993448572434644,0.00534907072122288
123,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,,0.0017827637723489055,0.3889909305291194,0.0003959802897920079,0.0036755696829885087
112,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,,0.0017589001047377051,0.3850440373027074,0.00023917190428070177,0.0037989387730377796
223,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0017233091162496665,0.41019067141501053,0.0003504781310693658,0.005071498490536851
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.0016790262573283987,0.021663999048193102,0.00039110573418445075,0.002219229859988596
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.001654288102587785,0.3793283035104655,0.0002120936566855844,0.003965434995510378
34,sett_exclude_subgroups,sett_stratify_split,,,,,,,,0.0016508560200169842,0.37715923977378096,0.0002042425742715961,0.003849820703643366
30,sett_exclude_subgroups,sett_model,,,,,,,,0.0015633887457227158,0.005664395831033382,0.00029087132896586497,0.0006237243588203524
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.0014923162932931069,0.7928075033509252,0.00023956486982447178,0.004827441637875702
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.0014870349810248906,0.10010541868131348,0.0003511568898339624,0.0020051629297034813
43,sett_preprocess_income,sett_stratify_split,,,,,,,,0.001414434516210367,0.3769265364157925,0.00031302000639043593,0.00402664830517444
420,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,0.0014051620003242107,0.8840148908542711,0.000270586317325931,0.005940415923971266
184,sett_cutoff,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,,0.0013255981208307823,0.7930279589453917,0.0003885191725470021,0.0054493239522472176
65,sett_cutoff,sett_model,sett_scale,,,,,,,0.001216849130329253,0.09505800084239704,0.00016257703037939988,0.001983425418523103
143,sett_cutoff,sett_encode_categorical,sett_model,sett_stratify_split,,,,,,0.0011714832938237764,0.7855119057616338,0.00022370243330392306,0.0058077559210048795
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.001153001019406175,0.09628025339838553,0.00020105331838537785,0.0021316246711861804
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.001130917303819718,0.0856560112515814,0.00013513932391102964,0.002053874219356376
427,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,0.0010733771180724298,0.8602219310438284,0.00027228054634684295,0.006346337096290229
222,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_scale,,,,,,0.0010724276135079425,0.03359980872101033,0.00026923397761537756,0.003386164864511898
302,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_age,sett_stratify_split,,,,,0.0010623456928378627,0.8164306361621271,0.000250031894432173,0.005052096277301875
314,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.001058309097099813,0.8312274837380009,0.0002321438613582964,0.005134484050898498
150,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,0.0010219241172062777,0.11369333379870174,0.00018949545675635862,0.0026962082774520287
10,sett_cutoff,sett_exclude_features,,,,,,,,0.0010024032959264752,0.08769312889780188,0.00017721691663091747,0.0022861909598749057
234,sett_exclude_features,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.0009756563547434207,0.4075846566931721,0.00022738742939386555,0.004348089216614731
4,sett_model,,,,,,,,,0.0009633666595419272,0.0009633666595419272,0.0002523813545737839,0.0002523813545737839
