,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.37206026412246385,0.37206026412246385,0.002758752966616125,0.002758752966616125
16,sett_cutoff,sett_stratify_split,,,,,,,,0.31014492396089866,0.7643257168634621,0.0032659981870355936,0.005412661592230356
0,sett_cutoff,,,,,,,,,0.08212052878009947,0.08212052878009947,0.002240865030534413,0.002240865030534413
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.007140897741858124,0.7802605591263901,0.0004917861548057884,0.005564733735072331
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.006628167211349127,0.10836693957259161,0.0005565019450874316,0.0026970122335916564
36,sett_model,sett_preprocess_income,,,,,,,,0.005886126841592199,0.010031418282599652,0.0006014714801439908,0.0008186601464505114
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.005537453617927514,0.8063325762719599,0.0010093068026091172,0.006373797174188206
2,sett_exclude_features,,,,,,,,,0.00550107623908392,0.00550107623908392,0.000421263727605061,0.000421263727605061
178,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,,,,,,0.005113129994932174,0.13557590346036857,0.0004988002477771255,0.0033365559295867654
25,sett_exclude_features,sett_model,,,,,,,,0.005077631742375618,0.011314466455355061,0.0009236597271299114,0.0009998091426509379
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.005013465499599705,0.0905435272468111,0.0005632081619555428,0.0019996649257592904
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.004700121307646412,0.026097123307649683,0.0007197939403855028,0.0010672612305925365
12,sett_cutoff,sett_model,,,,,,,,0.004573359798943651,0.08742964705293864,0.0004891706950177749,0.0025012883410787893
70,sett_cutoff,sett_preprocess_income,sett_scale,,,,,,,0.0041661490336505885,0.10297067761210735,0.0004497335882921956,0.002118819274922207
42,sett_preprocess_income,sett_scale,,,,,,,,0.003948659706824714,0.011040099183415801,0.0003454661665879733,0.0006764943891899925
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.003940770747304432,0.8118162677345444,0.0006347808081971099,0.004820309908690574
37,sett_model,sett_scale,,,,,,,,0.0037350175010997487,0.00815268248447443,0.000515004082967071,0.0006822897850897033
7,sett_scale,,,,,,,,,0.003681906509479159,0.003681906509479159,0.0003324632839287757,0.0003324632839287757
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.003585043976714014,0.7777454248667119,0.0007081063881396956,0.004784857594739456
3,sett_exclude_subgroups,,,,,,,,,0.0035584343880586625,0.0035584343880586625,0.00030601572493377504,0.00030601572493377504
38,sett_model,sett_stratify_split,,,,,,,,0.00348482624823071,0.3762808488445902,0.0005565610624738717,0.002671317420240933
6,sett_preprocess_income,,,,,,,,,0.003409532967111928,0.003409532967111928,0.00047183151941796245,0.00047183151941796245
102,sett_exclude_features,sett_model,sett_stratify_split,,,,,,,0.0032939198141238787,0.39190353166002156,0.0005181237847735836,0.0027133821397078246
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.0032180736320118887,0.012277584259154472,0.0003343125544220971,0.0008261457488328103
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.002370331294781789,0.7747845659667738,0.0003336617173748594,0.005638677066043959
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.002335985196630328,0.8364354769621094,0.0005323870188444689,0.006180427467486159
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.002202316780191337,0.7950544916016642,0.000554814204071673,0.0052186456658020255
323,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,0.0021775285740983997,0.8454592408948156,0.0006733441540477426,0.005378842272673308
98,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.002134422246672714,0.38999955766678346,0.00045676453915859154,0.003083799087576507
223,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0020569804643533964,0.4096458503980874,0.00040331660592384324,0.0030126262194136205
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0019815303040771615,0.772940532675376,0.00037540274600595915,0.005492722533947573
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.0017965447363506204,0.02148558066250079,0.00033429010011632495,0.0016129759177916103
34,sett_exclude_subgroups,sett_stratify_split,,,,,,,,0.0017772320186443843,0.3773959305291669,0.00025567440058510594,0.0028563447635594663
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.001750055019847995,0.3793113953813958,0.0003475691357839413,0.002805731167383192
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.0017041628678310858,0.10054990445182732,0.0005240967518473428,0.0028434201545984947
123,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,,0.001680935804658609,0.3886691100177771,0.000233770987651236,0.002788332056448482
304,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0016170393998192426,0.8429398473890733,0.0003734281538497268,0.005647027735177152
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.0016160223324854207,0.7914096011495819,0.00031605594711241696,0.005614996632605024
112,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,,0.001602569801249609,0.38481714650326737,0.00028902363704959386,0.002701418277659909
30,sett_exclude_subgroups,sett_model,,,,,,,,0.0015980614507245588,0.005892254312678744,0.000286046791926086,0.0004726477372252769
43,sett_preprocess_income,sett_stratify_split,,,,,,,,0.0014116655598242216,0.37688146264940003,0.0002202832175876123,0.002809930243409286
143,sett_cutoff,sett_encode_categorical,sett_model,sett_stratify_split,,,,,,0.0013555853518162693,0.7832677100635066,0.0002932385462199603,0.005392014284747546
420,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,0.0013152478590997812,0.8814818575627795,0.00044133798231067484,0.00613017975341194
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.0012976191011336946,0.08697658226929184,0.000243074407071224,0.0021977050048576086
184,sett_cutoff,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,,0.0012955028507238777,0.7926704401491101,0.0004280598375932514,0.004811421691982298
65,sett_cutoff,sett_model,sett_scale,,,,,,,0.0012335447188024005,0.09671055089766173,0.00026121488105739394,0.0025609161384760916
314,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0011536706347317423,0.8306298191467472,0.0004184099448180561,0.004645457382343545
33,sett_exclude_subgroups,sett_scale,,,,,,,,0.0011110747957925153,0.008351415693330337,0.00021356416447774324,0.0007065772516941113
150,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,0.0011092384466467097,0.1149457459976725,0.0002493236232023021,0.003103736338860872
421,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_scale,sett_stratify_split,,,,0.0010977614429378392,0.8646278436730673,0.0002740641871402492,0.007266209168949837
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.001041701159724225,0.09757481984970992,0.0002483205176784527,0.002268365293638538
28,sett_exclude_features,sett_scale,,,,,,,,0.0010382213845209383,0.010221204133084017,0.00028602839806633507,0.0008105389990625973
97,sett_exclude_features,sett_exclude_subgroups,sett_scale,,,,,,,0.0010285768442136873,0.01913736379316077,0.00023467086625441672,0.0014402761045878218
222,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_scale,,,,,,0.0010257890729273322,0.034708930938984736,0.0002918938065576043,0.002930756108278797
365,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_scale,sett_stratify_split,,,,,0.0009076986405682278,0.42797318735657197,0.00022174181264329024,0.004318075763769282
487,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,0.0008990058936838004,0.9021482608440201,0.00024119500998885977,0.006646505497589386
315,sett_cutoff,sett_exclude_subgroups,sett_model,sett_scale,sett_stratify_split,,,,,0.000889008353468844,0.8123079478107214,0.00018126285548296345,0.005187870255509249
321,sett_cutoff,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,0.0008851847755494938,0.8181462790382508,0.00017819306396710564,0.004742630211441323
427,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,0.0008666808909652474,0.8540890959087654,0.00026556844117479075,0.005828660545051288
234,sett_exclude_features,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.0008556580374372259,0.40626585340427535,0.0002639310153387601,0.0028106826369388373
10,sett_cutoff,sett_exclude_features,,,,,,,,0.0008373865495980568,0.08845899156878145,0.00019047639823146017,0.0023871567040159147
111,sett_exclude_subgroups,sett_model,sett_scale,,,,,,,0.00083147107703602,0.015251724196086188,0.0001806993152231013,0.0012198262038349433
58,sett_cutoff,sett_exclude_subgroups,sett_model,,,,,,,0.0007761686311948041,0.09465993062405037,0.00016038269321222003,0.0023900862021385195
101,sett_exclude_features,sett_model,sett_scale,,,,,,,0.0007712930914145479,0.020540904941869456,0.00020688708732809717,0.0017111344092124215
180,sett_cutoff,sett_model,sett_scale,sett_stratify_split,,,,,,0.0007616111193106904,0.7919943505148967,0.00019979163966101196,0.005410517512635772
148,sett_cutoff,sett_encode_categorical,sett_preprocess_income,sett_stratify_split,,,,,,0.0007490374581263788,0.7801898407759066,0.00023519563904852338,0.004923963201797733
163,sett_cutoff,sett_exclude_features,sett_preprocess_income,sett_stratify_split,,,,,,0.0007431150925268099,0.7899958435333614,0.00019476231693387136,0.004890741624883091
284,sett_cutoff,sett_encode_categorical,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0007399696017320371,0.8188398010384073,0.00022268769830515147,0.004984338113937529
4,sett_model,,,,,,,,,0.0007357584738955231,0.0007357584738955231,0.00020289087428979657,0.00020289087428979657
174,sett_cutoff,sett_exclude_subgroups,sett_scale,sett_stratify_split,,,,,,0.0007350409859578067,0.7810846673958125,0.0002895362514091219,0.005563144813593313
173,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,,0.0007298170223552659,0.7878122543724306,0.0002539317607995528,0.0048497872730938725
432,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,0.0007155289059402529,0.8410684369862977,0.00022087545959266573,0.004282589043996497
141,sett_cutoff,sett_encode_categorical,sett_model,sett_preprocess_income,,,,,,0.0006987141447884692,0.1108447316511441,0.00022345870344076877,0.0029112638144179383
489,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_scale,sett_stratify_split,,,0.0006952624642519909,0.9381063575736015,0.0001719403818640352,0.005542841940225311
177,sett_cutoff,sett_model,sett_preprocess_age,sett_stratify_split,,,,,,0.0006952479892131068,0.7830135677799961,0.00017581594633287928,0.005374007424136461
364,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0006882377225881115,0.42705597529917544,0.00024893385304053487,0.003447125094306972
244,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.0006721634594085586,0.39862666202823277,0.00027758468224178655,0.002808335862855369
229,sett_exclude_features,sett_exclude_subgroups,sett_scale,sett_stratify_split,,,,,,0.0006676158722024563,0.3991775325929636,0.00022100509848716168,0.0036271798051888756
283,sett_cutoff,sett_encode_categorical,sett_model,sett_preprocess_income,sett_scale,,,,,0.0006654384062765941,0.1398197036243922,0.00019245582356353314,0.0036842301441344437
299,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_scale,sett_stratify_split,,,,,0.0006621050305774053,0.8045993057329469,0.0001638631513244172,0.006033718867263566
298,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,0.0006582894937373938,0.8095923089588366,0.00017665986169959782,0.004784808013461121
245,sett_exclude_subgroups,sett_model,sett_scale,sett_stratify_split,,,,,,0.0006561993372825711,0.3965357594554858,0.00017710768388975922,0.003069159264075835
418,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_stratify_split,,,,0.0006472680740472795,0.8450220350547697,0.0001570590835181493,0.005559046931623179
302,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_age,sett_stratify_split,,,,,0.0006456908111812385,0.8110455467632018,0.0002600138555107696,0.006086103724337605
305,sett_cutoff,sett_exclude_features,sett_model,sett_scale,sett_stratify_split,,,,,0.0006345368855722276,0.8227064254336847,0.00013817273301960613,0.006482763671411057
15,sett_cutoff,sett_scale,,,,,,,,0.0006304351153417788,0.0864328704049204,0.0001516927410539121,0.0022589032637121372
124,sett_model,sett_scale,sett_stratify_split,,,,,,,0.0006210757625346962,0.38484170245497196,0.00016757550051952174,0.002611843719350867
429,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,sett_scale,sett_stratify_split,,,,0.0006079022781653688,0.8833106726698804,0.00017510644123898308,0.006448874503658712
434,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_scale,sett_stratify_split,,,,0.0006074042891187775,0.8718857935307701,0.0002371312705339625,0.004469262298361636
235,sett_exclude_features,sett_model,sett_scale,sett_stratify_split,,,,,,0.0006008175494412538,0.4034434288467577,0.0002554654845708678,0.0030989019979283713
108,sett_exclude_features,sett_scale,sett_stratify_split,,,,,,,0.000568711550977642,0.3851230886636418,0.00020920396752500755,0.0030129710340928363
292,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_scale,,,,,0.0005649705611816335,0.1321750347173694,0.00015323752912375875,0.004205086720757049
182,sett_cutoff,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,,0.0005607674380497317,0.7802290924713653,0.0001956167751977481,0.004879394403015029
118,sett_exclude_subgroups,sett_scale,sett_stratify_split,,,,,,,0.0005590141317255557,0.3832707798034324,0.0001362973161789825,0.0030467558589165576
72,sett_cutoff,sett_scale,sett_stratify_split,,,,,,,0.0005473468246700842,0.7697082591502213,0.00020547655869422672,0.005383075397825188
291,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,0.0005422174784509911,0.13984188956157056,0.00018188519697162072,0.0031836677195202574
423,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,0.0005319840604140414,0.8170067247185482,0.00013991278563738215,0.00476477282138427
164,sett_cutoff,sett_exclude_features,sett_scale,sett_stratify_split,,,,,,0.0005316806667654006,0.7825100451053937,0.00014379171765906064,0.005704160578851438
44,sett_scale,sett_stratify_split,,,,,,,,0.0005228538372682131,0.3762650244692113,0.0001331539327088989,0.002748033580821093
175,sett_cutoff,sett_model,sett_preprocess_age,sett_preprocess_income,,,,,,0.000508296631000795,0.11071537956763111,0.00014257943748209763,0.002691061045353903
312,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_stratify_split,,,,,0.0005002702518296749,0.7994452372894971,0.0001388002549523366,0.004836956880816907
251,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,,0.0004933998354544607,0.3908653605657476,0.00017558551231533408,0.002846171542852133
69,sett_cutoff,sett_preprocess_age,sett_stratify_split,,,,,,,0.0004879176662158569,0.765408993738449,0.00014287375726933989,0.005401252707500299
156,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,,,,,,0.00047288893396669156,0.12291328485526977,0.00020620422043106327,0.0030152053440353744
459,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,0.0004636560386203002,0.4339809383376678,0.00013025190313446612,0.0037274315617398684
371,sett_exclude_features,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,0.00045513235973764415,0.40996699504147227,0.00011626246437223239,0.00286882363042024
92,sett_encode_categorical,sett_preprocess_income,sett_stratify_split,,,,,,,0.0004505835945291335,0.37779742643781355,0.0001753244434046954,0.0028621411205004724
166,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,0.00044091763351759806,0.11675748259752788,0.00017057453454571083,0.0025341854859512237
87,sett_encode_categorical,sett_model,sett_stratify_split,,,,,,,0.00043513033755734204,0.37740069288061723,0.00013992881735052599,0.0026541477334183334
416,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_preprocess_income,,,,0.00043499619523678084,0.14673773380314087,0.00012268886390008735,0.0032035697647266235
49,sett_cutoff,sett_encode_categorical,sett_preprocess_income,,,,,,,0.0004341826125212444,0.09138069642608607,0.00012913468906999728,0.0020786622358663926
19,sett_encode_categorical,sett_model,,,,,,,,0.00043099934346895515,0.0013260097657986124,0.00010008351044358948,0.00020869841924996818
395,sett_cutoff,sett_encode_categorical,sett_exclude_features,sett_model,sett_preprocess_income,sett_stratify_split,,,,0.00042507916468478385,0.8524534787970366,0.00015599746162213432,0.005522902553768956
307,sett_cutoff,sett_exclude_features,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,0.00041890699394022226,0.7939960625585949,0.00011165129974138832,0.004882023349679977
317,sett_cutoff,sett_exclude_subgroups,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,0.00041427473833927607,0.7917545226812563,0.00013305473339173083,0.004843789826258722
300,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_age,sett_preprocess_income,,,,,0.0004113427354469532,0.12683120263737116,0.00013141723008592386,0.003051215613020535
107,sett_exclude_features,sett_preprocess_income,sett_stratify_split,,,,,,,0.00040966209538637304,0.3849365898675634,0.00013906113948794225,0.002783138453469775
214,sett_encode_categorical,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.0004078092042851779,0.3911834326033824,0.0001513328100234337,0.002878166517538661
469,sett_cutoff,sett_encode_categorical,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,0.000404583106868521,0.89629070056228,9.986225984770504e-05,0.006230279080670118
27,sett_exclude_features,sett_preprocess_income,,,,,,,,0.00039433386384505795,0.009304943070040905,0.0001652926643273065,0.0005598289817184975
436,sett_cutoff,sett_model,sett_preprocess_age,sett_preprocess_income,sett_scale,sett_stratify_split,,,,0.0003922789709199617,0.8542021660786803,0.0001465071862435126,0.005253374244574774
508,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_preprocess_income,sett_scale,sett_stratify_split,,0.00038612243018322945,0.9681669599768576,9.579732885851077e-05,0.004419730079165997
425,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,sett_scale,sett_stratify_split,,,,0.00038586235212818035,0.8346664423634134,7.54061660451454e-05,0.005044026422265946
228,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,,0.00038521176457166097,0.3966569296746958,0.0001406208784837606,0.0030924622358711354
167,sett_cutoff,sett_exclude_subgroups,sett_model,sett_scale,,,,,,0.0003813936190855293,0.10662123648088895,0.00015561738324542548,0.0025632366102656718
384,sett_cutoff,sett_encode_categorical,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,0.00037836074550384827,0.8430063997081363,0.00015745926842929448,0.00594100835558694
253,sett_model,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,,0.0003759288994485444,0.4063868349465184,9.558736299501003e-05,0.0026801982260848014
376,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,0.0003734178850823324,0.40220388286130276,0.0001293610767543305,0.0029225071410357625
63,sett_cutoff,sett_model,sett_preprocess_age,,,,,,,0.0003713036967614688,0.0884182858432892,0.00010506437916353397,0.0024895441726438413
491,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_age,sett_preprocess_income,sett_scale,sett_stratify_split,,,0.00036260383212604236,0.8988844801961675,0.00012433898370939325,0.006320655142925813
405,sett_cutoff,sett_encode_categorical,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,0.0003611064843831054,0.8400502553867222,0.0001232819856869307,0.005095975732188833
492,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_preprocess_income,sett_scale,sett_stratify_split,,,0.00035726488796790937,0.8870075064235715,0.00013558030631514314,0.0034566620897209946
61,sett_cutoff,sett_exclude_subgroups,sett_scale,,,,,,,0.00035646252020142934,0.09275646121010672,0.00010940681438054343,0.0022395336770779516
221,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,0.00035437093762688305,0.0324884627531056,0.00016405473066593405,0.0015150391912030867
488,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_scale,sett_stratify_split,,,0.0003534549490436638,0.8770017938414905,0.00013382978386865477,0.006562950885981964
296,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_age,sett_stratify_split,,,,,0.0003522490259328302,0.7944281862602899,8.602358070906921e-05,0.005557450828790265
121,sett_model,sett_preprocess_age,sett_stratify_split,,,,,,,0.00034745457965977734,0.3771971867761191,7.540735906238869e-05,0.0027216587277575145
155,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_age,,,,,,0.0003460381834952248,0.10219352075077863,0.00014521603280880235,0.0027882107817772802
461,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_scale,sett_stratify_split,,,,0.0003457542633020145,0.4568682664791505,9.745399173973512e-05,0.0038389681463074565
153,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_scale,,,,,,0.00034433526407419066,0.10597015553293027,9.661381345000621e-05,0.0026310862057947995
67,sett_cutoff,sett_preprocess_age,sett_preprocess_income,,,,,,,0.00034284118905869663,0.09146691072267446,0.00011523383964435816,0.0020718751008396924
362,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_stratify_split,,,,,0.00034226521600771385,0.41243803912044896,7.97343733204672e-05,0.0029583096228769424
378,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,0.00034199106335971964,0.4202535030673231,0.00012890175904510843,0.002816832978223323
319,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,0.00033289560434428137,0.8062268490992479,0.00012278846999010272,0.004921118003507945
309,sett_cutoff,sett_exclude_features,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,0.00032716757283987217,0.8080604487059948,0.0001355227971611138,0.005107454715730044
85,sett_encode_categorical,sett_model,sett_preprocess_income,,,,,,,0.0003244199118803359,0.011157755325266664,0.00010806850698452234,0.000874348168562908
213,sett_encode_categorical,sett_model,sett_preprocess_income,sett_scale,,,,,,0.0003226361782425051,0.027775446282075497,0.0001069742314820273,0.0011094625007272334
419,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_scale,,,,0.00032044249640331645,0.17701030933317474,9.134831142037619e-05,0.004222127863021036
263,sett_cutoff,sett_encode_categorical,sett_exclude_features,sett_model,sett_stratify_split,,,,,0.0003201659171381946,0.8104474392646293,0.00010767709421222268,0.006117670919212762
320,sett_cutoff,sett_model,sett_preprocess_age,sett_preprocess_income,sett_scale,,,,,0.0003187373193634325,0.13896504974127438,0.0001252880083954327,0.003423507489497545
