,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.372245334009216,0.372245334009216,0.0024316906076065083,0.0024316906076065083
16,sett_cutoff,sett_stratify_split,,,,,,,,0.3099503283906949,0.7631797286633344,0.0022191672265868233,0.0032197891459891325
0,sett_cutoff,,,,,,,,,0.08098406626342364,0.08098406626342364,0.0015780370817086884,0.0015780370817086884
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.006783379758299853,0.10658858485656825,0.0005842706997185074,0.0017342327793576395
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.0067775822749796075,0.8055762839339018,0.001256425397298811,0.004199975047687257
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.0067455186923637495,0.7782659376952604,0.0006990160790155877,0.0031610345058667604
36,sett_model,sett_preprocess_income,,,,,,,,0.005730734830498612,0.009909859116585467,0.0005081499797045959,0.0005040109265173991
2,sett_exclude_features,,,,,,,,,0.005554759883053262,0.005554759883053262,0.0005452467379863541,0.0005452467379863541
178,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,,,,,,0.005286185404277781,0.13313837812229246,0.0006309144096685769,0.0025555817307051517
25,sett_exclude_features,sett_model,,,,,,,,0.005244147083376279,0.011727658181153022,0.0007549417416489116,0.0008090790718803319
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.004723932815287232,0.025800446214570814,0.0004696844056040001,0.00130515708876122
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.004707560762120614,0.08894200009690764,0.0006780818485323723,0.0015842536217160628
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.00449009460784602,0.8091442933406074,0.0006786624535364269,0.0035400781617945898
12,sett_cutoff,sett_model,,,,,,,,0.004203718956138676,0.0861165364342858,0.00024182293068424963,0.0017237671516199353
7,sett_scale,,,,,,,,,0.003767033446668623,0.003767033446668623,0.0003450046877720324,0.0003450046877720324
42,sett_preprocess_income,sett_scale,,,,,,,,0.0037449510803252315,0.010762357598357225,0.0005089311131439716,0.0010059110433091889
37,sett_model,sett_scale,,,,,,,,0.003654669755704261,0.008350454417096365,0.0003120948347707517,0.0005337147587099302
70,sett_cutoff,sett_preprocess_income,sett_scale,,,,,,,0.003389412349895968,0.10034812543266694,0.0003222580053605994,0.0018265502581220746
102,sett_exclude_features,sett_model,sett_stratify_split,,,,,,,0.0032587464446817535,0.3921096433950292,0.0006532070237264167,0.0025282589065001777
6,sett_preprocess_income,,,,,,,,,0.003250373071363372,0.003250373071363372,0.0003456821632130557,0.0003456821632130557
38,sett_model,sett_stratify_split,,,,,,,,0.003208220168699968,0.3763823053926394,0.0003644573090218791,0.0023874113371577708
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.003145652939612879,0.011835333151984265,0.0002966498962204834,0.0008021363030072915
3,sett_exclude_subgroups,,,,,,,,,0.003134920329318125,0.003134920329318125,0.000307080997985499,0.000307080997985499
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0028256038360256423,0.7934147327000902,0.0005767620420186242,0.002931300005935741
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.002630562971841638,0.8353765361910508,0.0005093460795551214,0.003986016479275354
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.0026185964332126714,0.7753313604320976,0.0005322387956112035,0.0027747498240528177
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.0023254183196108605,0.7735902418711871,0.0003014856973856135,0.0030999959239099905
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0019140915771939308,0.7712039180644997,0.00031941794217833346,0.003112588451032606
323,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,0.0018754976472725219,0.8418383194197805,0.0005047400161433233,0.003403106600111184
304,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0018655135626480766,0.8424800946970568,0.0005234316739233546,0.005812150469480338
98,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0018156777857389471,0.3891915991973727,0.000225502775098626,0.0026241601278849135
223,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.00175679995695033,0.4087290534161142,0.0003029630987125254,0.0031091843651235495
30,sett_exclude_subgroups,sett_model,,,,,,,,0.0017535363541382443,0.00581720789817985,0.00027700947075057436,0.0005451437731317835
123,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,,0.0017225146799394319,0.3886610294765074,0.0004432018742905197,0.002552897068827251
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.0017032844770827876,0.021465052281305057,0.00027862595904075714,0.0014020340058095288
112,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,,0.0016839685190886316,0.38458030025433937,0.0003181311603336399,0.002595634604401072
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.0016696845912785147,0.37946977848354774,0.00027956697201442405,0.002401243979885954
34,sett_exclude_subgroups,sett_stratify_split,,,,,,,,0.001625569659154997,0.3770058239976891,0.00024187367043442852,0.0024836094981463505
