,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.3727165241271723,0.3727165241271723,0.002772466245274414,0.002772466245274414
16,sett_cutoff,sett_stratify_split,,,,,,,,0.3123579770515421,0.7668624581984995,0.0027818070422809225,0.004377882827401228
0,sett_cutoff,,,,,,,,,0.08178795701978522,0.08178795701978522,0.0018946723056156296,0.0018946723056156296
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.007435084394679073,0.7830076298883444,0.0006342420185104918,0.004185478380148305
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.006589130015963537,0.8103938242311459,0.0011242727337714984,0.004936458203931421
36,sett_model,sett_preprocess_income,,,,,,,,0.006084477624448614,0.009937188650456605,0.00043903775678146684,0.000650027374063324
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.00606420079690483,0.10752438987279392,0.0006286737547259371,0.002493874514490368
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.005659375183484489,0.09033576877745329,0.0007095209201906835,0.0019397725603890622
25,sett_exclude_features,sett_model,,,,,,,,0.005583197755006642,0.011896702803535698,0.0007392034181915613,0.0011078852902136184
2,sett_exclude_features,,,,,,,,,0.0053492305967046405,0.0053492305967046405,0.00042437310201771104,0.00042437310201771104
178,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,,,,,,0.005053784553293036,0.13283227016357804,0.0009727811860534694,0.005012076320478694
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.004454308792137996,0.8150350022067592,0.0007592377722405205,0.004369814177213889
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.0043078917986683046,0.02490773491947547,0.0007217444951816839,0.0024774977454434174
12,sett_cutoff,sett_model,,,,,,,,0.004075668222162763,0.0868278996937724,0.000355921191400036,0.0019728537434057776
37,sett_model,sett_scale,,,,,,,,0.00370946279368377,0.00821440293897836,0.0005351743549423723,0.0010118276427121674
38,sett_model,sett_stratify_split,,,,,,,,0.003670144621178605,0.3773509432001753,0.00032258316080487016,0.002796059515052819
