,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.3750103758178167,0.3750103758178167,0.0033970071545514472,0.0033970071545514472
16,sett_cutoff,sett_stratify_split,,,,,,,,0.3115272414875021,0.7655814406492238,0.0025048182787637758,0.00372425469511436
0,sett_cutoff,,,,,,,,,0.07904382334390497,0.07904382334390497,0.0023516541509536982,0.0023516541509536982
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.00660997978067169,0.10555396877734749,0.0005163730392810389,0.002694723385627022
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.006475362170007748,0.779940647796658,0.000482412143688414,0.003589287151808962
36,sett_model,sett_preprocess_income,,,,,,,,0.006108437724939046,0.01038715687982605,0.0003754602214439177,0.0007692584756799443
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.0059736966505494395,0.8061792101212885,0.0008376429786276493,0.003974817116714001
25,sett_exclude_features,sett_model,,,,,,,,0.005582417634755353,0.011556705883301863,0.0009379238425673506,0.0010692467015491138
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.005438947917518138,0.08781947480151665,0.0006433619425102343,0.0023865935771660465
178,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,,,,,,0.005089615020445064,0.13270162278477607,0.0007842675281970806,0.0032984694550131453
2,sett_exclude_features,,,,,,,,,0.005032272633753056,0.005032272633753056,0.0004355483603716979,0.0004355483603716979
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.0048791084509738104,0.026430028826921914,0.0003501031229494927,0.001136096564920271
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.004387405881031689,0.8122582632510473,0.0008163485148099668,0.0035671470321551085
70,sett_cutoff,sett_preprocess_income,sett_scale,,,,,,,0.004175685945352463,0.10004390535215307,0.0005581699175835625,0.0025175646118393703
12,sett_cutoff,sett_model,,,,,,,,0.004074060855426648,0.08405989981412507,0.00022046762470876878,0.0024798280008385626
7,sett_scale,,,,,,,,,0.0038939047199652893,0.0038939047199652893,0.00029272060550227354,0.00029272060550227354
37,sett_model,sett_scale,,,,,,,,0.003699792521740445,0.008535712856499188,0.00024682622219323035,0.00047475338117969855
42,sett_preprocess_income,sett_scale,,,,,,,,0.0035700662544163172,0.010800674514475158,0.00047573232822859646,0.0007412401712068815
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.0034157098045266713,0.011599617120827637,0.00035394587532497693,0.0006950653699586089
102,sett_exclude_features,sett_model,sett_stratify_split,,,,,,,0.003361167042335814,0.394589399145159,0.0006641825960937253,0.0035516051146175964
6,sett_preprocess_income,,,,,,,,,0.0033367035400935514,0.0033367035400935514,0.0004831755441174814,0.0004831755441174814
3,sett_exclude_subgroups,,,,,,,,,0.003151634682547911,0.003151634682547911,0.00037272704901871844,0.00037272704901871844
38,sett_model,sett_stratify_split,,,,,,,,0.002867768507206292,0.3788201599398165,0.00036286479315840404,0.0032441094423408907
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.0025215330398594086,0.7787143268465244,0.0003033538214518891,0.003533138315272718
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0024410814392180355,0.7940281599841861,0.0004626263812643141,0.003475731755426085
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.00238113812828414,0.8345857950565142,0.0004963005454855165,0.003945730935290196
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.002300390175758759,0.7755067305992647,0.0003813215860248816,0.0035499781151612474
123,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,,0.0020789058704463845,0.3921799087751249,0.0005164229713031757,0.002796673961845791
223,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.001926053362685759,0.4113296951693627,0.00025140452725937775,0.004311695619605688
98,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0019227960789923106,0.39185175793731863,0.00032495153819813826,0.0036004690421187597
323,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,0.0018588759142075814,0.8458389110107354,0.0004132198183534232,0.004101299818335884
43,sett_preprocess_income,sett_stratify_split,,,,,,,,0.0018357016998294048,0.3801827810577397,0.00019048307823343194,0.003202907223976586
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.0017933818944983033,0.3818360303460681,0.00024747750307867156,0.003283331641316902
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0017649047691311384,0.7732550026228829,0.00020228050192396636,0.003869142398160639
304,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.001705917354290873,0.8443332232221386,0.0005185070595494489,0.0048636042515424254
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.0016342619155538525,0.021332700908603765,0.00032588596645893224,0.0016390242515827748
112,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,,0.0015898645320400256,0.38666163480226157,0.00021689949839420305,0.0033596982479265477
30,sett_exclude_subgroups,sett_model,,,,,,,,0.0015743886226734709,0.005668038920014835,0.00016345021680942267,0.0006615764569422052
143,sett_cutoff,sett_encode_categorical,sett_model,sett_stratify_split,,,,,,0.0015709137511680225,0.7832276641272179,0.00033675517456605947,0.0036728905227845802
184,sett_cutoff,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,,0.0015540847169753663,0.7938268356314777,0.0003985728160827825,0.003555788049324778
34,sett_exclude_subgroups,sett_stratify_split,,,,,,,,0.0015255870251836663,0.37968759752554837,0.00028285117817841086,0.0034803990403122612
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.0013959910469490606,0.0968698263756132,0.00034803984363524306,0.0030143743628061274
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.0013870973898054677,0.790761652771643,0.00022923220686822335,0.003712423532970478
65,sett_cutoff,sett_model,sett_scale,,,,,,,0.0012547074636328575,0.093493078150366,0.0002534619093325936,0.002489052267618078
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.0012314354967964212,0.08342689352324931,0.00019274123621991759,0.0024317039516192347
420,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,0.001206025820415785,0.8806642322150194,0.0001952904319390624,0.00456801074049904
314,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0010946915629486305,0.8301273670567814,0.00019132630444110928,0.003311882605387594
427,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,0.0010596310255981231,0.8583612271116683,0.00033820168759230763,0.006811221698264971
177,sett_cutoff,sett_model,sett_preprocess_age,sett_stratify_split,,,,,,0.0010076671803722031,0.7840045799796064,0.0002550538152899117,0.003650740734173889
234,sett_exclude_features,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.0009708060879922078,0.41026521732501947,0.00030226732773515656,0.003677465127720323
111,sett_exclude_subgroups,sett_model,sett_scale,,,,,,,0.0009663789063786567,0.015182558343472987,0.00014680965878404828,0.0006951960065665016
33,sett_exclude_subgroups,sett_scale,,,,,,,,0.0009544432753737605,0.007999982677886961,0.00013893735809018682,0.0004123284296388668
421,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_scale,sett_stratify_split,,,,0.0009420901984701613,0.8617774733445436,0.00017151095034399142,0.003827685965125369
4,sett_model,,,,,,,,,0.0009420156147934531,0.0009420156147934531,0.0002804990651820593,0.0002804990651820593
321,sett_cutoff,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,0.0009395233436728225,0.8199334324976694,0.0002803112086970709,0.0038969901089726507
28,sett_exclude_features,sett_scale,,,,,,,,0.0009293660149434605,0.009855543368661807,0.00015083457578522058,0.0005305661393257975
222,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_scale,,,,,,0.0009267050481603838,0.03442452022464265,0.00016960139202730357,0.0014871788109559769
365,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_scale,sett_stratify_split,,,,,0.000921265939178885,0.43000704292757114,0.0001905626285041689,0.004746189280561298
97,sett_exclude_features,sett_exclude_subgroups,sett_scale,,,,,,,0.0009063835118883098,0.01828371464299846,0.00017792342612701854,0.000635424375858959
302,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_age,sett_stratify_split,,,,,0.0009056470534648806,0.8130175032571203,0.0003417062267885845,0.004605652286793918
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.000855756925394818,0.09352987813295452,0.00016131066103249094,0.002485952986573984
