,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.3738378768225407,0.3738378768225407,0.002751425771794388,0.002751425771794388
16,sett_cutoff,sett_stratify_split,,,,,,,,0.3110626481168043,0.765359085223732,0.002368078768904177,0.0031324307863305617
0,sett_cutoff,,,,,,,,,0.08045856028438705,0.08045856028438705,0.001934261742393245,0.001934261742393245
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.006959804970592188,0.8081880952853764,0.0010394082622763687,0.004373305444584097
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.006586360195857532,0.780317718039636,0.0005314101888218955,0.002843550463614221
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.006421555183570735,0.10676034595424261,0.000726114054829554,0.002228320999279802
36,sett_model,sett_preprocess_income,,,,,,,,0.006079846591347875,0.010468760634605386,0.0007218785654015823,0.0006365203333676349
25,sett_exclude_features,sett_model,,,,,,,,0.005437941383061631,0.011668630679919429,0.0006929406356168268,0.0008789563195024358
178,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,,,,,,0.005404436378038724,0.13287517018162157,0.0004673538933356797,0.0024567869568735364
2,sett_exclude_features,,,,,,,,,0.00519563808418075,0.00519563808418075,0.0005763756646292174,0.0005763756646292174
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.00518234317582811,0.08899476629079563,0.0005795583120777909,0.0017825930048787132
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.004662050001608993,0.025786035653634236,0.0004787481986502455,0.001187482779457867
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.00443555332916057,0.8115639955374593,0.0006812883137069195,0.002867656205127827
12,sett_cutoff,sett_model,,,,,,,,0.004229126675851325,0.08572273817291542,0.0004200707859703157,0.0019788513645469397
37,sett_model,sett_scale,,,,,,,,0.003621100203891633,0.008259057570002825,0.0003490384411678657,0.0005804661537641526
7,sett_scale,,,,,,,,,0.003602906153434142,0.003602906153434142,0.00040923662166226664,0.00040923662166226664
102,sett_exclude_features,sett_model,sett_stratify_split,,,,,,,0.003582372464029401,0.39410366351675524,0.0007556892053637682,0.003178768605849227
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.003507600421449512,0.012112319296389704,0.00045346702457147803,0.0009240965729892977
70,sett_cutoff,sett_preprocess_income,sett_scale,,,,,,,0.0034889595977376205,0.09995392603212583,0.0005040999744801692,0.0021635842933805977
42,sett_preprocess_income,sett_scale,,,,,,,,0.0034312186600940825,0.010387987644108688,0.00043993594500901166,0.0009653530342647043
3,sett_exclude_subgroups,,,,,,,,,0.003409080790759442,0.003409080790759442,0.00027006888997483085,0.00027006888997483085
6,sett_preprocess_income,,,,,,,,,0.0033538628305804638,0.0033538628305804638,0.00046629641472578263,0.00046629641472578263
