,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.37556725748289305,0.37556725748289305,0.0033609647145849725,0.0033609647145849725
16,sett_cutoff,sett_stratify_split,,,,,,,,0.31166999643242754,0.7682592988422856,0.002746208476142689,0.004634210549142935
0,sett_cutoff,,,,,,,,,0.08102204492696502,0.08102204492696502,0.001463547120153726,0.001463547120153726
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.007361196492466988,0.7835058614456581,0.000541988672164174,0.005007799572199947
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.006759010756812128,0.10693418154101329,0.0007788096234042296,0.0017121154209890552
36,sett_model,sett_preprocess_income,,,,,,,,0.005914471416504716,0.010310607226403208,0.0007934590224955797,0.0007688902433220466
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.0050828467441297355,0.8079176379256479,0.0008235695689338012,0.005205358472078395
2,sett_exclude_features,,,,,,,,,0.005054863988755579,0.005054863988755579,0.000452068992882319,0.000452068992882319
25,sett_exclude_features,sett_model,,,,,,,,0.005013348795511996,0.011125545667431049,0.0006109449259730517,0.0009051999217515047
178,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,,,,,,0.00487444567343666,0.13240331945119976,0.0005893373934241982,0.0034526765116061715
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.004855380391713387,0.08921622824541342,0.0003988769024055254,0.0012953967189776889
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.004402148710939004,0.02555852247946707,0.0008084468537316262,0.0024066575801407115
12,sett_cutoff,sett_model,,,,,,,,0.0039871382391195465,0.08606651604924805,0.0003655690498962617,0.0014146233209685027
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.0038201637382798102,0.8149700070463772,0.0005769786746598568,0.005519417804840565
42,sett_preprocess_income,sett_scale,,,,,,,,0.003778784367923935,0.010878401897837753,0.0006213057998449203,0.0010983709790085355
7,sett_scale,,,,,,,,,0.003760814603178801,0.003760814603178801,0.00047687277193610037,0.00047687277193610037
70,sett_cutoff,sett_preprocess_income,sett_scale,,,,,,,0.003503693243693765,0.10076443691599274,0.0005389655200421985,0.001950225617970345
6,sett_preprocess_income,,,,,,,,,0.003338802926735017,0.003338802926735017,0.0003633199426787136,0.0003633199426787136
37,sett_model,sett_scale,,,,,,,,0.0033061675710221216,0.008124315057364396,0.0004468089659786966,0.0008815510167629552
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.0033053536506485823,0.011172384818973351,0.0005894321891826713,0.0011601840084715168
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.00317114748043265,0.7814187490618669,0.0004157948424683467,0.004283174319155996
102,sett_exclude_features,sett_model,sett_stratify_split,,,,,,,0.0030696120767976223,0.39479357447462593,0.0005182923275612607,0.0035406037903015003
38,sett_model,sett_stratify_split,,,,,,,,0.0028408949886224947,0.37946548535467906,0.0003176859812841213,0.0034606251296258007
3,sett_exclude_subgroups,,,,,,,,,0.002812167179569192,0.002812167179569192,0.0003375768598449727,0.0003375768598449727
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.0021902642588816894,0.38281238573053034,0.00036668440484284424,0.0033133301090426176
98,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.002139488219034986,0.3926297514101249,0.0005124934252980379,0.0032754422307478635
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.0020922337729075606,0.8353554367746155,0.0004021525841344979,0.0064312602397219795
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0020438607647726608,0.7967274089376315,0.0004241927256747238,0.004965642556767707
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0020328233417481914,0.7757703491588153,0.00037756981140958884,0.004550816577669922
223,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.00201654268049321,0.4113519702492364,0.0005562909538783361,0.004449765872967791
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.0019419910297081217,0.7783063221667588,0.00019326563922983522,0.004601065222581221
123,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,,0.0018110494695411938,0.3923239285881602,0.0003956093766391216,0.0036819392173671403
323,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,0.0018023128584999629,0.8468880820010345,0.0004369682211676559,0.006465444057443071
43,sett_preprocess_income,sett_stratify_split,,,,,,,,0.0017941194207002048,0.3807001798303282,0.00028962306720275684,0.003162064013300377
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.0016733859338163848,0.020376145696184428,0.0004169815278086398,0.0021905662582885656
304,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.00166343572514607,0.8448734924452164,0.00041507459314505746,0.005992382720517915
112,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,,0.0015914082159870881,0.38688911064529635,0.0004360032831169538,0.0033841142496342123
34,sett_exclude_subgroups,sett_stratify_split,,,,,,,,0.0015603566303418357,0.3799397812928041,0.00024330558784788287,0.003295171836242297
184,sett_cutoff,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,,0.001530794965701195,0.7958790717614608,0.0003841110808846201,0.004175718263364319
30,sett_exclude_subgroups,sett_model,,,,,,,,0.0014596932647192224,0.00532919332745189,0.0003640653670969009,0.0005961871146625133
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.0014196413990532858,0.7935470089309773,0.0002523190497363346,0.004364741707740476
143,sett_cutoff,sett_encode_categorical,sett_model,sett_stratify_split,,,,,,0.0014047602660841227,0.7867450046485777,0.00039510187771896416,0.005224536284206062
65,sett_cutoff,sett_model,sett_scale,,,,,,,0.0013381672842093686,0.09497658196344115,0.00026930772872821974,0.0016910406211965805
420,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,0.0012122704651888504,0.8804145058208865,0.00035192523594711954,0.0077086875692021425
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.0011989455390771933,0.09819357841972055,0.00028054306521662996,0.0014423790341448076
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.001105703164870344,0.08493991527140456,0.00015537992686568466,0.0013267812570292195
314,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0010620970268806343,0.832085588752303,0.0002495105767941693,0.005514447005768475
4,sett_model,,,,,,,,,0.0010573328831634749,0.0010573328831634749,0.00020663167126232606,0.00020663167126232606
97,sett_exclude_features,sett_exclude_subgroups,sett_scale,,,,,,,0.0009777079787619723,0.017396601196715,0.00015433538201003604,0.0010474925872129787
421,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_scale,sett_stratify_split,,,,0.0009776356152773908,0.8624055263138822,0.00019072777413444109,0.004397960080497582
365,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_scale,sett_stratify_split,,,,,0.000969706246435603,0.42919427135622334,0.00015399679046556954,0.003927158285532674
427,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,0.0009493951612294182,0.8573125488099509,0.00029399392621429503,0.006593315150780983
222,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_scale,,,,,,0.000936852330333702,0.032521443705508385,0.0002269120893943866,0.00215244067238683
321,sett_cutoff,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,0.0009108083664761688,0.8219152197853803,0.00023301161985984765,0.005821205630826437
111,sett_exclude_subgroups,sett_model,sett_scale,,,,,,,0.0008954509507900197,0.014030725605789982,0.0001795494421065399,0.00096226856558724
245,sett_exclude_subgroups,sett_model,sett_scale,sett_stratify_split,,,,,,0.0008923821318638156,0.39829562369457716,0.00019010720000155938,0.003326781441538346
177,sett_cutoff,sett_model,sett_preprocess_age,sett_stratify_split,,,,,,0.0008879576919826613,0.7869551406308295,0.00025669928092464703,0.0049888272558908054
234,sett_exclude_features,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.0008771007804461489,0.409732379088906,0.00020870653304369376,0.003837637230273951
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.0008651531789521326,0.0950251901368886,0.00016992006005146028,0.0012941952470210683
10,sett_cutoff,sett_exclude_features,,,,,,,,0.000859904047127743,0.08693681296284834,0.00020895265306021342,0.001303161761725189
418,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_stratify_split,,,,0.0008106624061590924,0.845750730442085,0.00030681748200579284,0.007285926559899126
