,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.37158823716014444,0.37158823716014444,0.0028120191991008797,0.0028120191991008797
16,sett_cutoff,sett_stratify_split,,,,,,,,0.3103623649166747,0.763702674812514,0.0024153780248979285,0.003279054335050172
0,sett_cutoff,,,,,,,,,0.08175207273569478,0.08175207273569478,0.0014896689923611746,0.0014896689923611746
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.007572571954917196,0.7796577804444572,0.0004925933358760823,0.003572019190393371
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.006549743700650751,0.10736403097375803,0.0006885821606836088,0.0013808505011515826
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.006322104169254892,0.8082878468523296,0.0009271408664044881,0.004339914499108389
2,sett_exclude_features,,,,,,,,,0.006219642596771634,0.006219642596771634,0.00045703257649175544,0.00045703257649175544
25,sett_exclude_features,sett_model,,,,,,,,0.00565267731831798,0.012802929413902401,0.0007123678766383278,0.0009424855915989209
36,sett_model,sett_preprocess_income,,,,,,,,0.005468391593568279,0.009898678494729803,0.0005729959875415393,0.000832296860172676
178,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,,,,,,0.005025689339797965,0.1337702194451218,0.0006656501945291418,0.0025144518922973983
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.005025287886769867,0.09027703802481339,0.000591118868598763,0.0011922088410625878
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.004430306427022184,0.025514745513798856,0.00038942868528640833,0.002066917017219701
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.004340409576255844,0.811130355162293,0.0003636677644008966,0.0032877440305428447
12,sett_cutoff,sett_model,,,,,,,,0.004138248155912823,0.08682093039042041,0.0003286907109457732,0.001456526712358831
7,sett_scale,,,,,,,,,0.003963298767639584,0.003963298767639584,0.00037099956334935236,0.00037099956334935236
70,sett_cutoff,sett_preprocess_income,sett_scale,,,,,,,0.003924847413402775,0.10248916468489533,0.0005072538414958315,0.0017454076489452632
102,sett_exclude_features,sett_model,sett_stratify_split,,,,,,,0.0038775455237478,0.39358931486367044,0.000608630772479906,0.0025657043971700137
42,sett_preprocess_income,sett_scale,,,,,,,,0.0037817287930201906,0.011244704963008511,0.0006351209449399314,0.0015543785541319742
6,sett_preprocess_income,,,,,,,,,0.0034996774023487347,0.0034996774023487347,0.0007071131544090843,0.0007071131544090843
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.0034936019778205483,0.012720548498762342,0.00031908419851489736,0.000641238348513167
37,sett_model,sett_scale,,,,,,,,0.0034407330313870974,0.008334641297839469,0.0004607145756404571,0.0007346696972541245
38,sett_model,sett_stratify_split,,,,,,,,0.0033136760223003775,0.37583252268125766,0.0003533001062675681,0.0028667877125551763
3,sett_exclude_subgroups,,,,,,,,,0.0030073039241701586,0.0030073039241701586,0.00025928212155886633,0.00025928212155886633
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.0029892137626519543,0.7768939175123103,0.0005942226360105996,0.0026475723886764746
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.0025647067043443376,0.838632921947524,0.00042178722307367663,0.004989609028655221
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.00243786878434533,0.7945126818871902,0.00038010232933674917,0.0033135807474800943
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.002413809385545908,0.7750364430101253,0.00038836389577524843,0.003349782412891989
98,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.00224963677887029,0.39015481053102896,0.00037337380186162764,0.0026996416720466055
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0022130879450843015,0.7718407043284862,0.00041235920135789526,0.003204390085430218
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.0020069267435753385,0.3798148065004915,0.00032051918876596153,0.0028040932687993614
323,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,0.001995432248892634,0.8437842228413824,0.0004233604183173429,0.0043955393247891526
223,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0019569312172283285,0.41114334742862363,0.0003356510733515821,0.002931475689506804
123,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,,0.0019227871475647983,0.3884004424727652,0.0003445550322216647,0.0027599469663578567
304,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0018494971004112937,0.8456338138938596,0.0005932922493341492,0.004292964362481063
30,sett_exclude_subgroups,sett_model,,,,,,,,0.0018283563082858423,0.005766269731268789,0.00024493403963992734,0.00039102549635138174
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.0017765458627686333,0.022908737486947585,0.00023221736486368508,0.0015074827947183312
43,sett_preprocess_income,sett_stratify_split,,,,,,,,0.0016770636480256803,0.3767649782105189,0.0002929855379678104,0.002982131665163502
112,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,,0.0016521951461330165,0.38390983940952317,0.00028914953803512746,0.0027186382904274796
143,sett_cutoff,sett_encode_categorical,sett_model,sett_stratify_split,,,,,,0.0015952533102592318,0.7833610579342603,0.0002222595805424183,0.003712360919003608
34,sett_exclude_subgroups,sett_stratify_split,,,,,,,,0.001589461349676456,0.3761850024339911,0.00015414343038321643,0.0028393374589521306
