,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.3714760618092685,0.3714760618092685,0.003833862363780882,0.003833862363780882
16,sett_cutoff,sett_stratify_split,,,,,,,,0.31217845688625967,0.7640841533136251,0.0027164051631459927,0.004005362973025009
0,sett_cutoff,,,,,,,,,0.08042963461809688,0.08042963461809688,0.0015146426491183943,0.0015146426491183943
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.007928867939337537,0.8084590829801852,0.0016437505996123485,0.004342904675618816
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.006627163450595334,0.7792699410340563,0.000886028109663178,0.003998011043721746
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.006532962273805541,0.10671945667475802,0.0005039285719268244,0.0016817716678213322
36,sett_model,sett_preprocess_income,,,,,,,,0.006049784123913991,0.009930035809752638,0.0007050902971086624,0.0008520085010756544
25,sett_exclude_features,sett_model,,,,,,,,0.00585452819599705,0.011585835745881666,0.0006236702713911473,0.0008275446094426883
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.005650848101593876,0.08898191124116944,0.000589016622976469,0.0014067557742681643
178,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,,,,,,0.005582591914804048,0.13387979375664194,0.0005600426896148675,0.002589954838887635
2,sett_exclude_features,,,,,,,,,0.004752484385524653,0.004752484385524653,0.00043719973028499685,0.00043719973028499685
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.00459183361689597,0.02584016203368736,0.0005156055987926721,0.0018466925850231313
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.004242526267723176,0.8110158320328925,0.0006465055204822798,0.0033802825902647634
12,sett_cutoff,sett_model,,,,,,,,0.004175975871509074,0.08558443365396592,0.0003019495317030496,0.0017597374151669507
42,sett_preprocess_income,sett_scale,,,,,,,,0.00408465620322534,0.010584324823826522,0.000439014116030148,0.0007523058844339135
102,sett_exclude_features,sett_model,sett_stratify_split,,,,,,,0.0037305406295703165,0.39197536569594116,0.0005601228027848229,0.003417442934925563
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.0036959588710278567,0.011535098230592782,0.0004684088261712922,0.0008729676017877879
70,sett_cutoff,sett_preprocess_income,sett_scale,,,,,,,0.0036639861337965556,0.10099294480965722,0.00046521522092817544,0.001590838754828769
37,sett_model,sett_scale,,,,,,,,0.00363539630469091,0.008212459568173371,0.0004931013439628198,0.0007349831407024564
7,sett_scale,,,,,,,,,0.0035982400991224966,0.0035982400991224966,0.00036200452409354094,0.00036200452409354094
38,sett_model,sett_stratify_split,,,,,,,,0.003403825233966827,0.37585871020759537,0.0004705572581660831,0.003645572725265745
3,sett_exclude_subgroups,,,,,,,,,0.003086654974040271,0.003086654974040271,0.0003812327458852506,0.0003812327458852506
6,sett_preprocess_income,,,,,,,,,0.002901428521478684,0.002901428521478684,0.00033413655806141464,0.00033413655806141464
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.0027020117051318937,0.777002373835281,0.00048094002937323606,0.003500515277345364
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.002685180628171357,0.7934365786864727,0.0005702403530125295,0.003605633444637346
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.002500880536097024,0.8385362833640263,0.000577968104018577,0.005780563925944148
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.0023499272980237965,0.7738687027426507,0.0002967100143279449,0.0035713705359869206
98,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0022010730199242233,0.388523276746344,0.0004163927985536827,0.0034985198191624005
304,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.002006805119664058,0.8464773160731488,0.0003542589793750391,0.004253657824361089
123,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,,0.0020023978117375838,0.38847625285817705,0.00037093610569079925,0.00377901245858065
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.0019415868518129508,0.7903331343991228,0.0004648966796549192,0.003824999768360285
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.0018906557521983216,0.09898513745590926,0.00040988019010591213,0.0019044778639836918
143,sett_cutoff,sett_encode_categorical,sett_model,sett_stratify_split,,,,,,0.001846740200495208,0.7832988267523009,0.000540831273178773,0.004009639783535208
223,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0017911384399498993,0.4093562090118903,0.00047941281283038397,0.0033810613415578483
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.0017791022772538046,0.378007648472047,0.0003373123342456985,0.0035617069035744414
323,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,0.001767934603215803,0.8442656459946637,0.0003654336829343218,0.0035795640711218735
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0017496943643466017,0.7715065974919744,0.00036036185123658937,0.003883924543010193
30,sett_exclude_subgroups,sett_model,,,,,,,,0.001697399322351378,0.0057628774607516135,0.000298701502907122,0.0006633214021425506
112,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,,0.001689295928490363,0.383864001841782,0.00040148275546763045,0.0032708527560148
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.0016873813508605107,0.021753230264161684,0.00018682062741562624,0.001469649972785866
43,sett_preprocess_income,sett_stratify_split,,,,,,,,0.0016639321934514436,0.3760414225241987,0.00031778734841516205,0.0037965493015675042
184,sett_cutoff,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,,0.001576343352301129,0.7917716894527567,0.00040535849679581204,0.0035670608016690306
34,sett_exclude_subgroups,sett_stratify_split,,,,,,,,0.0015319414093046325,0.37609465819261345,0.00023485709185902255,0.003754832087674737
65,sett_cutoff,sett_model,sett_scale,,,,,,,0.00133948167700521,0.09482170286712792,0.0001735858933659911,0.001882733548721733
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.0012033687353579193,0.0951252904829286,0.000277959715560268,0.0015392208809419672
427,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,0.001099912731962559,0.858799854293992,0.0003008102216530352,0.005371258729540334
420,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,0.0010778639988894309,0.8836820849559572,0.00028287881831750867,0.005628795610077348
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.0010541534306577115,0.08457044302279487,0.0001210635869789403,0.0015263710808533278
314,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0010016224963982684,0.8285248044129434,0.0002884872229658234,0.0030569063851730565
222,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_scale,,,,,,0.0009896774993114281,0.03448737694313631,0.00023323321470422007,0.002066106878265751
421,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_scale,sett_stratify_split,,,,0.0009860240183119753,0.8653802801171331,0.0002644184733149964,0.005175426254678097
321,sett_cutoff,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,0.0009849757283432634,0.8175791192571398,0.00025552021510922066,0.0037052835913861226
111,sett_exclude_subgroups,sett_model,sett_scale,,,,,,,0.0009843913686427138,0.01479367183673197,0.00023075112425849077,0.001263417301908843
4,sett_model,,,,,,,,,0.0009788231643599642,0.0009788231643599642,0.00028694169049842946,0.00028694169049842946
234,sett_exclude_features,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.0009630522250996885,0.4069563612685031,0.00025270230098659426,0.003679771181588761
101,sett_exclude_features,sett_model,sett_scale,,,,,,,0.0009523878506463919,0.020623457572581307,0.0002334242683234434,0.001231469592850621
315,sett_cutoff,sett_exclude_subgroups,sett_model,sett_scale,sett_stratify_split,,,,,0.000930538199000332,0.8102134453993818,0.0002630237021391047,0.003632406181463542
163,sett_cutoff,sett_exclude_features,sett_preprocess_income,sett_stratify_split,,,,,,0.0009246640248495629,0.7890614796592376,0.00021111476938371774,0.0032831304470886573
97,sett_exclude_features,sett_exclude_subgroups,sett_scale,,,,,,,0.0009096893807966118,0.017707391886275965,0.00019394560585029425,0.0010374523033590288
