,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.37341682400427567,0.37341682400427567,0.00332664934688423,0.00332664934688423
16,sett_cutoff,sett_stratify_split,,,,,,,,0.31221323157393843,0.7676209625594134,0.0029953467982755944,0.004411073435963474
0,sett_cutoff,,,,,,,,,0.08199090698119922,0.08199090698119922,0.0018468290123061226,0.0018468290123061226
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.006979308089423573,0.783131722461224,0.0007060803958071239,0.004463899721820304
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.006521623331012849,0.8098064812113777,0.0009913952209923364,0.005219872266912145
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.006458498381355603,0.10794159854387943,0.0004939937944827176,0.0022146620319527374
36,sett_model,sett_preprocess_income,,,,,,,,0.006288580404735499,0.010301450151969203,0.0006783213882132165,0.00072073543260841
178,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,,,,,,0.005663268767005292,0.13490425432768813,0.0005231421863819513,0.0027763869593583636
2,sett_exclude_features,,,,,,,,,0.005384098763591567,0.005384098763591567,0.00035827613071812506,0.00035827613071812506
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.004987237906127714,0.025849130142479707,0.00048751173177797626,0.0016281520698036276
25,sett_exclude_features,sett_model,,,,,,,,0.004944124639945776,0.01123690716304629,0.0007518292301687796,0.0008040652571430326
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.004924788502051925,0.0900198814709759,0.0006578385686113567,0.001924614250026073
12,sett_cutoff,sett_model,,,,,,,,0.004265954527303473,0.08716554526801165,0.00033106085111088163,0.0020189086819948124
42,sett_preprocess_income,sett_scale,,,,,,,,0.0037483165680092935,0.01010058449683,0.0006271438109013124,0.0009841676085454317
70,sett_cutoff,sett_preprocess_income,sett_scale,,,,,,,0.0035689933341195752,0.1012270472881432,0.00040853688733807756,0.0025277618386572312
37,sett_model,sett_scale,,,,,,,,0.0035640435752775463,0.007720809275882444,0.0005189912725937686,0.000635467608708131
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.003553907496414768,0.8135162341138165,0.0005162179580683922,0.0037122966057355723
38,sett_model,sett_stratify_split,,,,,,,,0.003356813525574725,0.3776823212893593,0.0004158553146263894,0.003115265368252028
7,sett_scale,,,,,,,,,0.00324808194109595,0.00324808194109595,0.00022722654338945544,0.00022722654338945544
6,sett_preprocess_income,,,,,,,,,0.003104185987724756,0.003104185987724756,0.00031800654077275526,0.00031800654077275526
