,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.3739528888659758,0.3739528888659758,0.003661455473379931,0.003661455473379931
16,sett_cutoff,sett_stratify_split,,,,,,,,0.31244496235861835,0.7676178935211149,0.0038554367290031793,0.0054183903004372085
0,sett_cutoff,,,,,,,,,0.08122004229652063,0.08122004229652063,0.002274485742472998,0.002274485742472998
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.007254248606613889,0.7827476893279703,0.000851265526813576,0.004845031279119449
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.006648850520249351,0.10630442340282173,0.00076409291286068,0.0024874581436657443
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.006035535100060106,0.809805104151513,0.0009104300450687523,0.005087907931815795
25,sett_exclude_features,sett_model,,,,,,,,0.005972988072881389,0.011921778942701838,0.0006674828935701285,0.0008565326765977725
36,sett_model,sett_preprocess_income,,,,,,,,0.005588780489363067,0.009195263790001577,0.0007208785422779598,0.0009053809012547794
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.005438950997709213,0.08937590441005,0.0005880559141054789,0.0019238454926136432
178,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,,,,,,0.0051920036959362875,0.1319469624200732,0.0008480957251888786,0.004135230046059121
2,sett_exclude_features,,,,,,,,,0.005059218685002104,0.005059218685002104,0.0005854155646908746,0.0005854155646908746
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.00466843847090798,0.024134546162919965,0.0006241092530049597,0.0019302622200608726
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.004337142413095697,0.8135641857111253,0.0006790481809353596,0.0053619244520468875
102,sett_exclude_features,sett_model,sett_stratify_split,,,,,,,0.003840514932689781,0.3945342714161556,0.0006665867325509635,0.003551348997190229
12,sett_cutoff,sett_model,,,,,,,,0.0038013157983409667,0.08591093027967994,0.00034465575798151807,0.002359956901146098
70,sett_cutoff,sett_preprocess_income,sett_scale,,,,,,,0.0036082836042246186,0.10028737288093384,0.0004387070875424964,0.002064573421498073
37,sett_model,sett_scale,,,,,,,,0.003518294682899439,0.007908527548912277,0.0005040901169559404,0.0007342310072866919
7,sett_scale,,,,,,,,,0.0035006606811944937,0.0035006606811944937,0.00048501354796653793,0.00048501354796653793
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.003337638469912688,0.011525403499177803,0.0004991950485441898,0.0011935644296826842
42,sett_preprocess_income,sett_scale,,,,,,,,0.0032518885379164758,0.009469460334931134,0.0005213468197967998,0.0009406773938697569
38,sett_model,sett_stratify_split,,,,,,,,0.003184659217082315,0.37802712026787644,0.0004549754060335184,0.0034876558212307077
3,sett_exclude_subgroups,,,,,,,,,0.003128546344263011,0.003128546344263011,0.00038899784696236903,0.00038899784696236903
6,sett_preprocess_income,,,,,,,,,0.0027169111158201636,0.0027169111158201636,0.00047308524983128764,0.00047308524983128764
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.002554185916919734,0.8396779113444709,0.0005002029434948411,0.005738376238194458
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.0025490838633803643,0.779830101153868,0.0005721567446569155,0.005613517020778818
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.002156935089089395,0.022397802773097837,0.0004416376776310152,0.0019552305422695492
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.002147848081978328,0.7969980195601392,0.0005674456138826531,0.0049576673372251565
223,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0021233272187446365,0.4121993297111063,0.0004937569714436768,0.003692591283717463
