,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.3730267470298701,0.3730267470298701,0.0034269066762954593,0.0034269066762954593
16,sett_cutoff,sett_stratify_split,,,,,,,,0.30903260622515677,0.763755636960165,0.003004850863141986,0.0038104343567923
0,sett_cutoff,,,,,,,,,0.08169628370513804,0.08169628370513804,0.0016483479372707585,0.0016483479372707585
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.007096056302170716,0.7795498225694889,0.0006133444654418447,0.004070392558482388
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.007077462113054203,0.10701549115954023,0.0006167012509122485,0.0017795205316886874
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.006342691005472938,0.8071175978961838,0.0010114797456132066,0.0038204622885063553
178,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,,,,,,0.005494299435531126,0.133212422165093,0.0005535781328808424,0.0027562454662510352
25,sett_exclude_features,sett_model,,,,,,,,0.005414303721998758,0.011497637410783695,0.0007636099392593034,0.000879407620231752
36,sett_model,sett_preprocess_income,,,,,,,,0.005208876160005817,0.00912539753221219,0.0005885090480113893,0.0007880774409130527
2,sett_exclude_features,,,,,,,,,0.0051537167076241884,0.0051537167076241884,0.00042920226828923745,0.00042920226828923745
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.004945351448272705,0.08962853954445636,0.0005577116649687148,0.0017854830519575954
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.004908096570834844,0.024186370960797537,0.0004976571943342985,0.0016813541544362588
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.0043744850591981525,0.8109253728617414,0.0005851150894025156,0.004645116939196551
12,sett_cutoff,sett_model,,,,,,,,0.004170996360863093,0.08679689704716187,0.000443119067033313,0.0015056798870365488
38,sett_model,sett_stratify_split,,,,,,,,0.0035975159651293717,0.3775538799761602,0.0002931257969509749,0.0033321956567383976
102,sett_exclude_features,sett_model,sett_stratify_split,,,,,,,0.003589619017863435,0.3933597367278395,0.0006220578621322708,0.003927862366254371
70,sett_cutoff,sett_preprocess_income,sett_scale,,,,,,,0.0035524242891626845,0.1005873080391104,0.00038781454730232303,0.0020878130358964494
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.003520396733717547,0.011775118052046278,0.0006346604363254443,0.000991863612975268
7,sett_scale,,,,,,,,,0.0034289122612754337,0.0034289122612754337,0.0004647285048259306,0.0004647285048259306
42,sett_preprocess_income,sett_scale,,,,,,,,0.003425272674408707,0.009841089326729766,0.0005359307190372131,0.0010932356246007616
37,sett_model,sett_scale,,,,,,,,0.0032986919220663624,0.007657221164502544,0.0003549541216921066,0.0006961392658724198
3,sett_exclude_subgroups,,,,,,,,,0.003101004610704544,0.003101004610704544,0.0003567433259806679,0.0003567433259806679
6,sett_preprocess_income,,,,,,,,,0.002986904391045625,0.002986904391045625,0.00043438408394289913,0.00043438408394289913
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.002953622034943864,0.7940330825631328,0.0003478561727482407,0.0038005421976290642
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.002804358454913023,0.7742612969733846,0.000542931764483975,0.003552854324640514
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.002649640196631901,0.7762595256532681,0.0003387087442377989,0.004123780742191944
98,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.002362096737010858,0.39044738731911094,0.0005064321324445412,0.00355253234373108
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.0023575371374141953,0.8367528641686179,0.00043916307702425374,0.0046100188391728835
123,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,,0.002210838266891283,0.3898824914512558,0.0004067430569616523,0.0034475068249929064
43,sett_preprocess_income,sett_stratify_split,,,,,,,,0.0019219926571528493,0.37793564407806857,0.00035760707047622205,0.003666939792127556
223,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0018332071691768664,0.41053854087774966,0.00042347201832253944,0.004823351493784592
304,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.001819956044466161,0.8443936617393482,0.0003289789975212632,0.004525838404880073
323,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,0.0017501848113869963,0.8430498265501324,0.0004367393801392433,0.005751723018177684
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.001715501568139976,0.09997978659141439,0.0005139436227717131,0.0011993480365432932
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.00169876711749412,0.7714106533229481,0.00029021500183759775,0.0035759949060023767
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.0016482173041929239,0.3798286810416872,0.0002645887801302619,0.003516600022845903
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.0016420902262342435,0.021362756450476625,0.00035005021374221704,0.0019905630224888514
34,sett_exclude_subgroups,sett_stratify_split,,,,,,,,0.001635208195990756,0.3777629598365654,0.0003080175031511426,0.0032035805407452504
184,sett_cutoff,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,,0.0016213494094903184,0.7899797537804771,0.00048212101772165613,0.004621247695692453
30,sett_exclude_subgroups,sett_model,,,,,,,,0.0016016274690365934,0.005632249060901885,0.00029624224443711123,0.000501564884949141
65,sett_cutoff,sett_model,sett_scale,,,,,,,0.0015370745824663805,0.09561373508277726,0.0002219925085757246,0.001637483097215607
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.001525297832668424,0.7903294178462286,0.0003072149002262144,0.0029880509033683262
112,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,,0.0014831730080387153,0.38537489325993085,0.00031933874613155277,0.003130921802247303
143,sett_cutoff,sett_encode_categorical,sett_model,sett_stratify_split,,,,,,0.001377948979943484,0.7826394848772238,0.0002207106090648932,0.003916982730257283
427,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,0.001239206060736455,0.8587858093976459,0.00033773618911343183,0.005363725518753413
420,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,0.001226614403547586,0.8820519893930086,0.0002075810019847252,0.004661258694333973
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.0012200364385937497,0.08601732475443633,0.0001577045162663595,0.001632490838277593
321,sett_cutoff,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,0.0011307743259025098,0.8191025937592786,0.00027977282950983595,0.0049725285841201936
28,sett_exclude_features,sett_scale,,,,,,,,0.0010399420899948946,0.009622571058894518,0.0002595763266755608,0.0007179843567141873
177,sett_cutoff,sett_model,sett_preprocess_age,sett_stratify_split,,,,,,0.0010370998202593545,0.7836978299088816,0.00034273474574169407,0.004383399326243529
314,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0010226462680111002,0.8291009509902927,0.00019793124694357639,0.004210453517550265
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.0010053132066638916,0.09659611894893154,0.00011812385248588236,0.0014150644644467297
222,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_scale,,,,,,0.0009496197718956096,0.03337375387875226,0.0002179834763145405,0.002676075316574803
234,sett_exclude_features,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.0009347642323596297,0.40804534438473034,0.0002437115608830519,0.004123391879012942
421,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_scale,sett_stratify_split,,,,0.0009310358148830406,0.8621671491187886,0.00027897426778795037,0.0042234062346657
4,sett_model,,,,,,,,,0.0009296169811607483,0.0009296169811607483,0.0002202467516733322,0.0002202467516733322
97,sett_exclude_features,sett_exclude_subgroups,sett_scale,,,,,,,0.0009063466324025868,0.017923536539610208,0.0002328276937558689,0.001371522292685926
150,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,0.0009060672359042909,0.11376614363111082,0.0001815882903400324,0.0019993964084254632
10,sett_cutoff,sett_exclude_features,,,,,,,,0.0008993675464895853,0.08774936795925181,0.00019146366311628726,0.0015158389424100313
487,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,0.0008855177691294749,0.9063043516484175,0.000210873856176067,0.006048431950595729
111,sett_exclude_subgroups,sett_model,sett_scale,,,,,,,0.0008351908428995975,0.013968261591034292,0.0001755545097168626,0.0010056511169451786
302,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_age,sett_stratify_split,,,,,0.0008147929581071685,0.8136393571406112,0.0002625289839883785,0.004434591779662105
365,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_scale,sett_stratify_split,,,,,0.0008070501133082277,0.4272279579789168,0.0002148277454128788,0.004748114611253067
163,sett_cutoff,sett_exclude_features,sett_preprocess_income,sett_stratify_split,,,,,,0.0007908220449733308,0.788825562305649,0.00024184987454254885,0.0039492342809232
58,sett_cutoff,sett_exclude_subgroups,sett_model,,,,,,,0.0007898211188415692,0.09350938668433834,0.00012003083829659019,0.0012822050431786779
432,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,0.0007866077361356574,0.8415519529885942,0.0002181624103677952,0.004978840623113138
101,sett_exclude_features,sett_model,sett_scale,,,,,,,0.0007790764038501416,0.020044260087970528,0.00016975545954970973,0.0011979283748927041
33,sett_exclude_subgroups,sett_scale,,,,,,,,0.000773217503891014,0.007303134375870992,0.00015464351056854758,0.0006833866312101555
148,sett_cutoff,sett_encode_categorical,sett_preprocess_income,sett_stratify_split,,,,,,0.00076884395133762,0.7788442464734586,0.0002703772917018296,0.004112649900382265
418,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_stratify_split,,,,0.000745889304893718,0.8474612309230445,0.00016441408272630415,0.005465119610808794
298,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,0.0007412009770763357,0.8078529552117479,0.0002677991301470651,0.003336441720759238
315,sett_cutoff,sett_exclude_subgroups,sett_model,sett_scale,sett_stratify_split,,,,,0.0007304006775044286,0.8096552071428063,0.00018856334273728884,0.003612069183654012
284,sett_cutoff,sett_encode_categorical,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0007266733457135808,0.818044574645055,0.00018051997512128192,0.004745511021822629
69,sett_cutoff,sett_preprocess_age,sett_stratify_split,,,,,,,0.0007182473818060564,0.7654877208082684,0.0002882426976045224,0.0039028155138052362
141,sett_cutoff,sett_encode_categorical,sett_model,sett_preprocess_income,,,,,,0.0007055199185749925,0.10945586747748053,0.00023654708074888166,0.001787850081188529
245,sett_exclude_subgroups,sett_model,sett_scale,sett_stratify_split,,,,,,0.0006946972071125175,0.39579535226754337,0.00015636577370915902,0.0026840952266295164
156,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,,,,,,0.000680698142833495,0.12204051733620114,0.00015868132757542464,0.0012153863149126072
229,sett_exclude_features,sett_exclude_subgroups,sett_scale,sett_stratify_split,,,,,,0.0006751340837954903,0.3987880992645323,0.00020672860051772782,0.0030343212122130054
180,sett_cutoff,sett_model,sett_scale,sett_stratify_split,,,,,,0.0006565193787344171,0.7904829623312695,0.0001960306604793984,0.004148210835671792
489,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_scale,sett_stratify_split,,,0.0006499924506666156,0.9349689166902029,0.00014090754498847897,0.003550606036344275
251,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,,0.0006448220763827229,0.39292618281742586,0.0001612810910264781,0.0033901561501251333
173,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,,0.0006400038567098609,0.7852875224847233,0.00013594062096039858,0.0038023117550718237
364,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0006398202457627892,0.428105617299686,0.0001331341034206508,0.005015473606496716
299,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_scale,sett_stratify_split,,,,,0.0006383566716273252,0.8020357270052783,0.00015738546459955258,0.002611750971502381
283,sett_cutoff,sett_encode_categorical,sett_model,sett_preprocess_income,sett_scale,,,,,0.0006378996884953707,0.13736224803345737,0.0002009295125417824,0.00311579340486001
121,sett_model,sett_preprocess_age,sett_stratify_split,,,,,,,0.000610566313279208,0.3791196913583935,0.00019479651882004672,0.003200623387560719
371,sett_exclude_features,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,0.0006080304618224098,0.4130694114969122,0.00017183696715867446,0.004203242961443646
305,sett_cutoff,sett_exclude_features,sett_model,sett_scale,sett_stratify_split,,,,,0.0006064933557276939,0.8222949287238479,0.00019432844487001738,0.003360428976180167
307,sett_cutoff,sett_exclude_features,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,0.0005998618193784934,0.7938915067447342,0.0001708768881091915,0.004086024342802798
429,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,sett_scale,sett_stratify_split,,,,0.0005948410675586521,0.8828724107109893,0.00023759486974871228,0.004701946631383659
244,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.0005912716514776173,0.3990261435402769,8.624836620458497e-05,0.003221087962591252
72,sett_cutoff,sett_scale,sett_stratify_split,,,,,,,0.000589144546103811,0.7687450887458046,0.00013715997193865844,0.0038541927444867554
175,sett_cutoff,sett_model,sett_preprocess_age,sett_preprocess_income,,,,,,0.0005799083374388814,0.10974762634293037,0.00017061665510687506,0.0017929939512940172
108,sett_exclude_features,sett_scale,sett_stratify_split,,,,,,,0.0005788121965682635,0.38529558329797897,0.00017686945550465634,0.0030280889475499564
15,sett_cutoff,sett_scale,,,,,,,,0.0005521592698072117,0.08567735523622068,0.00011385156994302788,0.0017087887347946628
174,sett_cutoff,sett_exclude_subgroups,sett_scale,sett_stratify_split,,,,,,0.0005495323958140377,0.7784998930502115,0.00017531909343653765,0.0035279275403110734
434,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_scale,sett_stratify_split,,,,0.0005455591826323616,0.8678379675605993,0.00015909310900238483,0.004794427461029692
423,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,0.0005379140121954781,0.8164873953234539,0.00016456057238133665,0.0038990044373363526
235,sett_exclude_features,sett_model,sett_scale,sett_stratify_split,,,,,,0.0005329768017393762,0.40388878620466107,0.00013744267075947448,0.0033692615103201517
182,sett_cutoff,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,,0.000527049363150281,0.7793602553401631,0.00015532588208928697,0.004247013226992817
312,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_stratify_split,,,,,0.0005203500166061554,0.7998873351868685,0.0001501007458132681,0.004383336551401418
291,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,0.0005196049013225738,0.13834984906945746,0.00018950135093947842,0.0017767249821897995
118,sett_exclude_subgroups,sett_scale,sett_stratify_split,,,,,,,0.0005191114690405444,0.38290343677922556,0.00013443916776537094,0.0029195176935902342
107,sett_exclude_features,sett_preprocess_income,sett_stratify_split,,,,,,,0.000512834596704329,0.38575509154723003,0.00016272966025730016,0.003726797708525269
27,sett_exclude_features,sett_preprocess_income,,,,,,,,0.0005046788606399951,0.008645299959309807,0.00012098109526559476,0.0006347425271034034
300,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_age,sett_preprocess_income,,,,,0.0005039938479555398,0.12653777049615084,0.00015596876307984945,0.0012666333418938447
63,sett_cutoff,sett_model,sett_preprocess_age,,,,,,,0.0004735468385495081,0.08811638045940848,0.00016532429360017673,0.0014824533700892148
41,sett_preprocess_age,sett_stratify_split,,,,,,,,0.00046261041180148827,0.37368728157962305,0.00014616666343827533,0.0033433800472784272
49,sett_cutoff,sett_encode_categorical,sett_preprocess_income,,,,,,,0.000459149698215358,0.09047877751115158,0.00010595170147717155,0.0017068070564817783
459,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,0.00045793276267161703,0.4364585333306706,0.0001123149398210436,0.005116425880588403
124,sett_model,sett_scale,sett_stratify_split,,,,,,,0.00045140209287391103,0.38515212196082915,0.0001142808228470783,0.0029681364622489454
425,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,sett_scale,sett_stratify_split,,,,0.0004393650726024998,0.8305860738865323,0.00013798806881471794,0.003069801453072756
405,sett_cutoff,sett_encode_categorical,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,0.00043743238822120537,0.8388445296657755,0.00016256369198289016,0.004177529711188433
395,sett_cutoff,sett_encode_categorical,sett_exclude_features,sett_model,sett_preprocess_income,sett_stratify_split,,,,0.0004365808295929936,0.8538797508371945,0.00010149212493727459,0.005154346741785683
317,sett_cutoff,sett_exclude_subgroups,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,0.00043617593394301875,0.7898956136598478,0.00017776060896909212,0.0041556088484064795
214,sett_encode_categorical,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.0004348028432767563,0.39231736080057383,0.00012429696217092462,0.003655722423194945
92,sett_encode_categorical,sett_preprocess_income,sett_stratify_split,,,,,,,0.00043316972230553197,0.3788465622547793,0.00012627119702606775,0.003725126958690461
51,sett_cutoff,sett_encode_categorical,sett_stratify_split,,,,,,,0.00043137408009680527,0.7644661504229463,0.00011585346696257721,0.0037718919205052023
469,sett_cutoff,sett_encode_categorical,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,0.00043117077230836,0.8968938606502264,0.00014730435406900704,0.005506669859420891
296,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_age,sett_stratify_split,,,,,0.0004272976243357698,0.794254097776633,0.00013023203568112741,0.0032565625967417
44,sett_scale,sett_stratify_split,,,,,,,,0.0004192357084531628,0.3768748949995987,0.0001707641217474773,0.0031444839571381535
87,sett_encode_categorical,sett_model,sett_stratify_split,,,,,,,0.00040491744294411213,0.3786193967637411,8.413199081220927e-05,0.0034377428967802192
100,sett_exclude_features,sett_model,sett_preprocess_income,,,,,,,0.0004047184920912823,0.02060281531456641,0.0001098910359035861,0.0012264383041311311
376,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,0.00039776611411870713,0.40350095656029467,0.00012963940591804345,0.0032143105892663264
19,sett_encode_categorical,sett_model,,,,,,,,0.0003958948757822207,0.0014891212260421268,0.00011284345472038117,0.0002443475374908336
166,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,0.00039111193283385056,0.11489600390659012,0.00010897588423334425,0.0015845582511778437
416,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_preprocess_income,,,,0.0003883501920651262,0.14571685305325582,9.749317737059785e-05,0.0020004616153502857
362,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_stratify_split,,,,,0.0003835185166532541,0.41424030646382515,9.415235378078984e-05,0.004913403437078798
436,sett_cutoff,sett_model,sett_preprocess_age,sett_preprocess_income,sett_scale,sett_stratify_split,,,,0.0003811118041645101,0.8532469360145963,0.00015536969678771152,0.006344217100197855
232,sett_exclude_features,sett_model,sett_preprocess_age,sett_stratify_split,,,,,,0.000377318922180501,0.39565637763009137,0.00014919913538957786,0.0038841039085191873
292,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_scale,,,,,0.000375139182747088,0.12943241600976974,0.00011099293744004156,0.0025870203162070594
228,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,,0.00036815603624569895,0.39735145474744304,0.00014018367806208017,0.003725428876392832
164,sett_cutoff,sett_exclude_features,sett_scale,sett_stratify_split,,,,,,0.00036811005822549566,0.7813826937690309,0.0001479496898082588,0.00333953080088263
508,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_preprocess_income,sett_scale,sett_stratify_split,,0.0003651457052866918,0.9680459490811562,6.44078580025862e-05,0.0026904034650226017
491,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_age,sett_preprocess_income,sett_scale,sett_stratify_split,,,0.00036197256256046925,0.9013947330514392,0.0001268988652548956,0.005099882837962798
384,sett_cutoff,sett_encode_categorical,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,0.00036138838576759303,0.8430772574085691,0.00013369448631873174,0.004906925661911559
221,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,0.0003584121311029854,0.03147978193698335,8.133787364585761e-05,0.0021528961773445497
13,sett_cutoff,sett_preprocess_age,,,,,,,,0.0003533019165445374,0.08224750975963396,0.00012798013431923282,0.0016414013022924602
488,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_scale,sett_stratify_split,,,0.0003527805238329216,0.8766844712755889,7.598358502633309e-05,0.004941086360573579
492,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_preprocess_income,sett_scale,sett_stratify_split,,,0.000351971196868371,0.8844203083174096,0.0001484463383412216,0.005837572987538049
161,sett_cutoff,sett_exclude_features,sett_preprocess_age,sett_stratify_split,,,,,,0.0003506105754945237,0.7767019384326508,9.176515211891473e-05,0.0036268333528422857
373,sett_exclude_features,sett_model,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,0.0003453054158091449,0.4282040703227338,0.0001325874484411168,0.003442934566152987
414,sett_cutoff,sett_encode_categorical,sett_model,sett_preprocess_income,sett_scale,sett_stratify_split,,,,0.0003448071988427027,0.8530022234798944,8.580198170446127e-05,0.006067975859713894
461,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_scale,sett_stratify_split,,,,0.00033679469175738983,0.4559036993525961,9.313518286861578e-05,0.004732734624849306
213,sett_encode_categorical,sett_model,sett_preprocess_income,sett_scale,,,,,,0.0003314551812816026,0.025848904421372325,0.00010501634618740403,0.0017895948859678746
155,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_age,,,,,,0.00033106503206015506,0.10196831623092159,0.00014718020049775624,0.0013385741904917748
309,sett_cutoff,sett_exclude_features,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,0.00033022997278698874,0.805425033743234,0.00015802651647365456,0.004091784457353878
167,sett_cutoff,sett_exclude_subgroups,sett_model,sett_scale,,,,,,0.0003289081487525182,0.10452146778837504,9.421249853945706e-05,0.0014930511777735292
60,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,,,,,,,0.0003159172721021262,0.09441218395688145,7.910538623336073e-05,0.0017358027023069169
110,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,,0.00031430781391279995,0.014289023516890792,0.00010961637647997145,0.0009106634810026603
428,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_age,sett_scale,sett_stratify_split,,,,0.0003141463383392952,0.8304783620887766,0.00013102945879262662,0.0040869712042989476
