,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.3735355156979945,0.3735355156979945,0.0028311834450700916,0.0028311834450700916
16,sett_cutoff,sett_stratify_split,,,,,,,,0.30948612333988335,0.7623993447351495,0.004022762164168976,0.005314605193209239
0,sett_cutoff,,,,,,,,,0.07937770569727166,0.07937770569727166,0.0016164939864609078,0.0016164939864609078
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.006195717224276757,0.804694587941963,0.00111558801554896,0.004148588969119685
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.0061952700777974,0.7764636354402967,0.0005440229779953996,0.005279826893453491
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.0061857214511205315,0.10470131107449232,0.0006775139264199684,0.002021145202454528
25,sett_exclude_features,sett_model,,,,,,,,0.00614427210680334,0.012192650077309379,0.0008790220223746996,0.0009849723169955856
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.0056354486148067874,0.08829581331657993,0.0007364715478576039,0.0017170064244284567
36,sett_model,sett_preprocess_income,,,,,,,,0.005564874603626181,0.009514734774033865,0.0005358358255997677,0.0005746243932279535
178,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,,,,,,0.005423915955714301,0.1315531581576484,0.0004969357653662909,0.0026898733062401497
2,sett_exclude_features,,,,,,,,,0.0053811768045998335,0.0053811768045998335,0.0004040802079668535,0.0004040802079668535
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.004475037718426178,0.025251239945481188,0.00046642671175641654,0.0010158201512288686
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.004412045034189439,0.8078867265972458,0.0006822883535895557,0.0040619796967301235
12,sett_cutoff,sett_model,,,,,,,,0.0039877005372594655,0.08403260740043733,0.0003009435631251127,0.0016459595914289516
42,sett_preprocess_income,sett_scale,,,,,,,,0.0038670956294233607,0.011005627930913454,0.00034661218107518305,0.0005949799838679034
7,sett_scale,,,,,,,,,0.0038558732969886157,0.0038558732969886157,0.00023982636683134777,0.00023982636683134777
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.003825881635093362,0.012500249209249175,0.00039898049635792997,0.0007131797655710961
70,sett_cutoff,sett_preprocess_income,sett_scale,,,,,,,0.0037119050706450806,0.10026263947102303,0.00037068132718403197,0.0019928173875287673
102,sett_exclude_features,sett_model,sett_stratify_split,,,,,,,0.003672019722089792,0.39441214612764175,0.0005578900417811626,0.0033111346647863036
37,sett_model,sett_scale,,,,,,,,0.0035384985266091688,0.008061572989503989,0.00019666656597947842,0.0004176787920038257
3,sett_exclude_subgroups,,,,,,,,,0.0032931907695559815,0.0032931907695559815,0.0003176951917875508,0.0003176951917875508
6,sett_preprocess_income,,,,,,,,,0.0032826590045014785,0.0032826590045014785,0.0005049926967447301,0.0005049926967447301
38,sett_model,sett_stratify_split,,,,,,,,0.0032141189241841313,0.37741683578808477,0.00034974905271716267,0.002832726832403184
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.0027481516373528475,0.7757989761994348,0.0005774402434753688,0.004525599907758804
98,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.002332376169916844,0.3918700827327287,0.000467578230764082,0.0029178860392332796
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.0022117151689302218,0.7727140188735702,0.00030189334311727593,0.005277174462646891
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.002101353821730541,0.7911545761160588,0.00032022610741773015,0.004774197668326338
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.002013865924976639,0.8347039117739801,0.0004332837412203205,0.003701756140973651
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.002013814751609325,0.023175165442624275,0.0004076581455641622,0.0017926472879775817
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.0019042693100757282,0.09838626608074293,0.0004414497540538431,0.0015940591247973522
112,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,,0.0018975675386037796,0.38616132225480504,0.0003894182766196575,0.0027392901556678446
304,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0018871384326281625,0.8419984203354649,0.0006167967745690055,0.0030733156511154386
123,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,,0.0018608186037275558,0.3898585602075644,0.00038764231951837785,0.0025515282976905124
223,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0018601250777261313,0.41318883022870767,0.0004250300519611674,0.004016104262189934
30,sett_exclude_subgroups,sett_model,,,,,,,,0.0018496282090562268,0.0058100201445184145,0.0002306573721174556,0.0005134553179812736
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0018479860700390256,0.7704985176314487,0.0004588838854990641,0.004748907190670003
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.0017978417060639893,0.3807145342086583,0.000313464290546814,0.0029892854259898974
43,sett_preprocess_income,sett_stratify_split,,,,,,,,0.0017333722076243283,0.3785515469101203,0.0003867132261032317,0.0029255151763065462
34,sett_exclude_subgroups,sett_stratify_split,,,,,,,,0.0017040999495042876,0.3785328064170547,0.00035073604192206314,0.0026379478695598515
323,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,0.0016063808008930272,0.8405120870203081,0.0003797696579013721,0.005055867707637262
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.0014884894661334365,0.789347041587654,0.0002727038444831908,0.0045399517658259265
184,sett_cutoff,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,,0.0014620501358697212,0.7904294881346337,0.00034827622557453015,0.004776916557140221
65,sett_cutoff,sett_model,sett_scale,,,,,,,0.0014475687279633517,0.09340650010938452,0.00021276529755074035,0.0017119817733176796
143,sett_cutoff,sett_encode_categorical,sett_model,sett_stratify_split,,,,,,0.0013520524503375085,0.779653070460285,0.0003082023372429857,0.005595998237945304
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.0012538961071999993,0.08392479257402766,0.00021259208287634457,0.0014508119808554455
314,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.001228746191405785,0.8266966232100668,0.00039944517380849804,0.003716973283599515
420,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,0.0012134138719317382,0.8804994424572394,0.00021871711917635824,0.00329011031017171
427,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,0.0011044550646106726,0.8547095123890198,0.0003976431011385067,0.004251158028371723
97,sett_exclude_features,sett_exclude_subgroups,sett_scale,,,,,,,0.0010866267383401896,0.01925453575500847,0.00010684933109780203,0.0007647008892874896
111,sett_exclude_subgroups,sett_model,sett_scale,,,,,,,0.0010785990930573977,0.015225313890713158,0.00023211600062471606,0.0005367265888223653
222,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_scale,,,,,,0.001075223161722552,0.03647523077878958,0.0001881796369536821,0.0018451242399411924
421,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_scale,sett_stratify_split,,,,0.0010487459704102255,0.8627926535954183,0.00024341645542836583,0.004046964949387278
234,sett_exclude_features,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.0010254251557407098,0.4090119827704428,0.00037639756131386214,0.003206147085803422
321,sett_cutoff,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,0.0009956852068281922,0.8144684615731606,0.00036088372484240674,0.003912832056320568
33,sett_exclude_subgroups,sett_scale,,,,,,,,0.0009423228295395627,0.008091386896084159,0.00018260120927195698,0.00044438980761263514
10,sett_cutoff,sett_exclude_features,,,,,,,,0.0009239404588266881,0.08568282296069818,0.00019657167424954564,0.0016967076703258508
365,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_scale,sett_stratify_split,,,,,0.0009152752361351409,0.4316073235183357,0.00024130187876710718,0.0043333805159865655
150,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,0.0008967275841583986,0.11314972589412925,0.00020398858490777358,0.001845728456887969
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.0008871025466408555,0.09494289401918839,0.00017437336961701478,0.0014268927957568826
302,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_age,sett_stratify_split,,,,,0.0008709287136707874,0.8105674668701566,0.0003383896205201182,0.003906464546210187
28,sett_exclude_features,sett_scale,,,,,,,,0.0008694636808909234,0.01010651378247937,0.00016831192082043654,0.0003913765047564562
101,sett_exclude_features,sett_model,sett_scale,,,,,,,0.0008534580090168939,0.02130994359081498,0.00015039010879218292,0.0010062374195703248
177,sett_cutoff,sett_model,sett_preprocess_age,sett_stratify_split,,,,,,0.0008429809600784563,0.7797389314528933,0.00020777069477451204,0.005193458725151275
163,sett_cutoff,sett_exclude_features,sett_preprocess_income,sett_stratify_split,,,,,,0.0008299600506234145,0.7880898919589707,0.0002658452326852757,0.004256232690698248
487,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,0.0008288103118603222,0.9026245092397049,0.00015611249363711293,0.004899188272314331
315,sett_cutoff,sett_exclude_subgroups,sett_model,sett_scale,sett_stratify_split,,,,,0.0008285559608742326,0.8083302992818009,0.00014821316024428655,0.005179521955782378
298,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,0.0008156723999334204,0.8080722629370203,0.0001852044037032935,0.0035260840619505255
