,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.37309812065644427,0.37309812065644427,0.0031211701368527934,0.0031211701368527934
16,sett_cutoff,sett_stratify_split,,,,,,,,0.3122468277740072,0.7678261563914088,0.003066508223404889,0.005693888361624941
0,sett_cutoff,,,,,,,,,0.08248120796095731,0.08248120796095731,0.0016346554561045882,0.0016346554561045882
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.006778427657181226,0.7833820439334549,0.0003522385909957742,0.005411151213584868
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.00610341568694619,0.1078244616656168,0.0005847989926187001,0.0019535558304271242
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.005994338481373574,0.8100090276450026,0.0008741683277062203,0.0056508944705995195
36,sett_model,sett_preprocess_income,,,,,,,,0.005924406326380921,0.010235212742118385,0.0004101803028444622,0.0006051295667147796
25,sett_exclude_features,sett_model,,,,,,,,0.0054068220277134135,0.011684749411268245,0.00046647911116258137,0.0008355773691163601
2,sett_exclude_features,,,,,,,,,0.005260723174280203,0.005260723174280203,0.0006537681290784133,0.0006537681290784133
178,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,,,,,,0.005207861987677602,0.1333830522085112,0.0004117253089353177,0.002228375369712852
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.004820166774708988,0.09059497694212915,0.00035107692822316865,0.001475903523269254
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.004391738774592809,0.8146618165895824,0.0008444684456910969,0.005698484351439989
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.004277810173813276,0.024928949726615572,0.00041081442332500717,0.00119402544179487
12,sett_cutoff,sett_model,,,,,,,,0.004184458500885909,0.08768287067111785,0.0003506527724135996,0.0017493862705882952
42,sett_preprocess_income,sett_scale,,,,,,,,0.003774702642322654,0.010606504173464728,0.00043512342045459924,0.0007093221367420036
70,sett_cutoff,sett_preprocess_income,sett_scale,,,,,,,0.003576807515526766,0.10211780399911455,0.0005433922454811064,0.0014849534986391031
38,sett_model,sett_stratify_split,,,,,,,,0.0035757971747044097,0.37769112204042327,0.000390157513465538,0.0029004713789046663
7,sett_scale,,,,,,,,,0.0035381993246792367,0.0035381993246792367,0.00047525236186280226,0.00047525236186280226
102,sett_exclude_features,sett_model,sett_stratify_split,,,,,,,0.003333250330681651,0.39352934888404056,0.00048361329379188864,0.002622830945571494
6,sett_preprocess_income,,,,,,,,,0.0032936022064628365,0.0032936022064628365,0.00028972896127241584,0.00028972896127241584
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.0032209484159312273,0.011381069699506472,0.00046143150105233303,0.001191942231152432
37,sett_model,sett_scale,,,,,,,,0.0031030248436820225,0.007658428377635887,0.0004067339739627358,0.0007032031901209575
3,sett_exclude_subgroups,,,,,,,,,0.002899398109295042,0.002899398109295042,0.0003169968839243787,0.0003169968839243787
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.0028825941319705114,0.7805840691865786,0.0004865838385453531,0.00571443373407143
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.0023745383267335402,0.838515369223811,0.0003444410946951379,0.004404662863216762
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.002339323122146278,0.797776309528348,0.0005490592541133114,0.004647916402144813
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.002302961530506167,0.775811228659809,0.0003906313341712839,0.005233612551340188
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.0022919647636822195,0.7781902989602365,0.0003316366657240161,0.005745373256551555
123,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,,0.0021022990730376846,0.3907729793283323,0.00041382511216704723,0.0027687731042857922
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.0018374313109419892,0.38019627514166643,0.00046098965657370846,0.002808195874645939
323,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,0.0018340724576283434,0.8464396168645264,0.000388737206421714,0.005435434135463552
223,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0018235201266145152,0.40951896254428555,0.0005698782424555781,0.0031985455427553044
112,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,,0.001804891613333647,0.3853511301537392,0.0005164349434697412,0.002650598819715551
98,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0017699111673831636,0.38943030896163155,0.0003106217426909278,0.0027863413295163694
43,sett_preprocess_income,sett_stratify_split,,,,,,,,0.001761549682027538,0.37815327254493464,0.0002906533930850352,0.002988600988778538
304,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.001716488500612334,0.8470257878606475,0.0004820459350742905,0.005955211558835499
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.0016287148345751033,0.7937276094324275,0.00026421055332790354,0.004866911018142955
184,sett_cutoff,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,,0.0016276038305537265,0.7948145231671431,0.0003173445767678403,0.005490015912287047
30,sett_exclude_subgroups,sett_model,,,,,,,,0.0016119422633315659,0.005528544581901235,0.0002749506008273801,0.0004451679667566375
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.0015284303029511994,0.10085286949598606,0.00031163301633881644,0.0019609432322466465
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.0015152258370001667,0.020932264036826246,0.00030413848009209994,0.0017439797872013526
65,sett_cutoff,sett_model,sett_scale,,,,,,,0.0014470664807360984,0.09640427889467199,0.0001760897193364819,0.0017391461679117921
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.0014389365012433405,0.08681954257149571,0.0002111696778465625,0.0014268136709247058
143,sett_cutoff,sett_encode_categorical,sett_model,sett_stratify_split,,,,,,0.0013861817212595898,0.7866474842692208,0.0004061502134132755,0.0054248471469386045
34,sett_exclude_subgroups,sett_stratify_split,,,,,,,,0.0013437761273556355,0.377341294893095,0.0002442861128783927,0.002988941718308808
420,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,0.0013320838144703722,0.8838351013131838,0.0003730867190540616,0.004875943846021951
321,sett_cutoff,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,0.0012707504594983994,0.8232766138190735,0.00027226648673857757,0.0062799944097052226
427,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,0.0012263287789898616,0.8617977193578705,0.00020200750656747138,0.006670887768053082
177,sett_cutoff,sett_model,sett_preprocess_age,sett_stratify_split,,,,,,0.0011900989322408586,0.7877032493381205,0.0003458288978235748,0.005631281623584174
314,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0011735026153558985,0.833139737529661,0.00020396993267666715,0.004847379804328255
4,sett_model,,,,,,,,,0.0010172042092746279,0.0010172042092746279,0.00018224710951093587,0.00018224710951093587
487,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,0.0009913712500253873,0.909321944301011,0.00015149033792990243,0.004342068220487557
10,sett_cutoff,sett_exclude_features,,,,,,,,0.0009740233199233802,0.0887159544551609,0.00026408246186616343,0.001667220285789168
234,sett_exclude_features,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.0009652669671957328,0.40891278383876395,0.00022562859604439636,0.002557277565117396
111,sett_exclude_subgroups,sett_model,sett_scale,,,,,,,0.0009605799600139713,0.01394454423078579,0.00020766658119244445,0.0012764977198322315
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.000932663785901327,0.09720790126753184,0.00019375704477345092,0.001720764681168561
421,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_scale,sett_stratify_split,,,,0.0009232723508148368,0.8641222830574018,0.0002444274742601999,0.003686704835960757
222,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_scale,,,,,,0.0009089355946209045,0.03251838600660835,0.00019364522111407865,0.002737643306329736
432,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,0.0008538996048774854,0.846576765700241,0.0001327263473153911,0.005264630404607989
150,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,0.0008465534897762966,0.11397157422614636,0.00019689660107189834,0.002415148710840288
365,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_scale,sett_stratify_split,,,,,0.0008311130581285292,0.425908010106693,0.0002243361595668154,0.0038052790158333337
69,sett_cutoff,sett_preprocess_age,sett_stratify_split,,,,,,,0.0008257490335624398,0.7695010342852411,0.00020236940420441575,0.00569157812185508
33,sett_exclude_subgroups,sett_scale,,,,,,,,0.0008141955205093244,0.007251792954483603,0.00014048565461051874,0.0007825082294973167
97,sett_exclude_features,sett_exclude_subgroups,sett_scale,,,,,,,0.0008068115651073196,0.017218191687731817,0.0002014058782837435,0.0017042805025514148
418,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_stratify_split,,,,0.0008067249617688539,0.849720392052935,0.00021392040256687145,0.0040562923633408465
315,sett_cutoff,sett_exclude_subgroups,sett_model,sett_scale,sett_stratify_split,,,,,0.0008043217204225714,0.8139483927278022,0.00020681960588410313,0.004109211326296799
101,sett_exclude_features,sett_model,sett_scale,,,,,,,0.00077645958323986,0.019780348740798828,0.00015120271206864306,0.0014489079214667065
302,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_age,sett_stratify_split,,,,,0.0007483370483514191,0.8166972986522262,0.0001327192934504521,0.005831055497629083
156,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,,,,,,0.0007380673852332802,0.122824136773409,0.00021462102933059732,0.0022145824046480933
245,sett_exclude_subgroups,sett_model,sett_scale,sett_stratify_split,,,,,,0.0007350657051123396,0.39608457838896516,0.00017624647493329115,0.002593824119863659
251,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,,0.0007274159545674374,0.393654469999135,0.0001961328588417483,0.003120867128464281
180,sett_cutoff,sett_model,sett_scale,sett_stratify_split,,,,,,0.000714538230962418,0.7943802637576551,0.00018645748796308333,0.005047431349944573
163,sett_cutoff,sett_exclude_features,sett_preprocess_income,sett_stratify_split,,,,,,0.0007093325237403296,0.7928410619323516,0.0003030297986993828,0.005629577932200375
364,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0006795105427282245,0.4279080209412002,0.00018134048182050176,0.003428432489395661
28,sett_exclude_features,sett_scale,,,,,,,,0.000677915577929462,0.009476838076888903,0.0001285559955086818,0.001013589673909764
284,sett_cutoff,sett_encode_categorical,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0006724420181976698,0.8210852253932924,0.00025826110829055553,0.005991472736440698
58,sett_cutoff,sett_exclude_subgroups,sett_model,,,,,,,0.0006530363276813399,0.09428618387266915,0.00014663423308813276,0.001592948808067372
307,sett_cutoff,sett_exclude_features,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,0.0006520488713604535,0.7979871892713646,0.00010218253808246422,0.005701906469753446
229,sett_exclude_features,sett_exclude_subgroups,sett_scale,sett_stratify_split,,,,,,0.000647463660440646,0.3973249450949637,0.00014399240062517026,0.0028422160515478405
173,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,,0.0006460394363601023,0.7900666394563159,0.00014720280165386274,0.00519093926520873
298,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,0.0006398076346447066,0.8112993304979741,0.00013935108305660127,0.004714257078713113
299,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_scale,sett_stratify_split,,,,,0.0006377707937375851,0.8053597435491013,0.00011788800678150104,0.0043643959396009804
312,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_stratify_split,,,,,0.0006339872586801782,0.804072253057116,0.00015078867889090135,0.00477052439165625
15,sett_cutoff,sett_scale,,,,,,,,0.0006331175744567588,0.08665252486009332,0.00014641264491814393,0.001533906808799633
305,sett_cutoff,sett_exclude_features,sett_model,sett_scale,sett_stratify_split,,,,,0.0006272004340328974,0.8250053993668318,0.00022352952560673346,0.0051870799329210154
244,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.0006168653511482703,0.39993395996547476,0.0001553424537130518,0.002549927269856959
371,sett_exclude_features,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,0.0006142945131328825,0.41381186168981166,0.00012844651827600848,0.003124405720648091
174,sett_cutoff,sett_exclude_subgroups,sett_scale,sett_stratify_split,,,,,,0.000613008786605939,0.7832636660654861,0.00015412678834527782,0.004892440525215922
182,sett_cutoff,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,,0.0006075032701970902,0.7837039243986089,0.00014126724199922997,0.005765123708809759
148,sett_cutoff,sett_encode_categorical,sett_preprocess_income,sett_stratify_split,,,,,,0.0006022499455941169,0.7827395243652429,0.00024249409387194128,0.005913518726161641
124,sett_model,sett_scale,sett_stratify_split,,,,,,,0.0005966444456942943,0.38532369183456133,0.0002056824536125867,0.002655552273494038
118,sett_exclude_subgroups,sett_scale,sett_stratify_split,,,,,,,0.0005910372554523086,0.3826794281738183,9.960311425244036e-05,0.0029286548164853487
423,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,0.0005846461667797958,0.820305445563101,0.0001811069765357236,0.004559947624174719
489,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_scale,sett_stratify_split,,,0.000583121514839345,0.9354385051845101,0.00014036309669877397,0.003934261164818776
235,sett_exclude_features,sett_model,sett_scale,sett_stratify_split,,,,,,0.0005825882385833882,0.40362319412706266,0.00016540294204631358,0.002593751989048202
72,sett_cutoff,sett_scale,sett_stratify_split,,,,,,,0.0005709277439068748,0.7729631022145341,0.0001498438779327314,0.005461585286506292
175,sett_cutoff,sett_model,sett_preprocess_age,sett_preprocess_income,,,,,,0.0005705887501749785,0.11061268117839268,0.00017133658970935433,0.0019601879036826807
63,sett_cutoff,sett_model,sett_preprocess_age,,,,,,,0.0005631983401159783,0.08909408145762185,0.00016090039673828652,0.001741896200636445
121,sett_model,sett_preprocess_age,sett_stratify_split,,,,,,,0.0005476977502421616,0.3790915765117958,0.0001447060835620618,0.0030063397590191225
107,sett_exclude_features,sett_preprocess_income,sett_stratify_split,,,,,,,0.0005162232850450702,0.38616342320024444,0.00019774237330918203,0.0026402713540340738
164,sett_cutoff,sett_exclude_features,sett_scale,sett_stratify_split,,,,,,0.0005031923462308197,0.7851107054722024,0.0001313695829541442,0.005423493165796784
166,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,0.0005003332374414083,0.11565083445147889,0.00012772903158811663,0.0017762119236167271
87,sett_encode_categorical,sett_model,sett_stratify_split,,,,,,,0.000497923688486683,0.37887497081646965,0.00019456820671437324,0.0029542298881982685
459,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,0.0004948582948513025,0.43634785215502203,9.129528425377658e-05,0.003549477920677148
291,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,0.0004911677262772492,0.1383838606597717,0.0001182665384445476,0.002793620638818915
429,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,sett_scale,sett_stratify_split,,,,0.00048776743674819204,0.8843721194196488,0.00012217479879919458,0.005409150164715125
317,sett_cutoff,sett_exclude_subgroups,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,0.00048744704577384783,0.7949175924318405,9.093055983484253e-05,0.005233751676616778
434,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_scale,sett_stratify_split,,,,0.0004870335623887975,0.8718100369328995,0.0001398598945410033,0.004329661825780053
395,sett_cutoff,sett_encode_categorical,sett_exclude_features,sett_model,sett_preprocess_income,sett_stratify_split,,,,0.00046307718588550165,0.8562025539653518,0.00012514912810479082,0.0062108669821930845
