,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.37254042902665796,0.37254042902665796,0.0026490369110356918,0.0026490369110356918
16,sett_cutoff,sett_stratify_split,,,,,,,,0.31133045732590653,0.7655876600745956,0.0030020197365996535,0.004681477216120779
0,sett_cutoff,,,,,,,,,0.08171677372203104,0.08171677372203104,0.0016884908493298163,0.0016884908493298163
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.006940015538072317,0.7811893218352699,0.000620346292888556,0.004853654620398254
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.006839993016117395,0.1072523481429051,0.000728279067804632,0.0018937523482512686
25,sett_exclude_features,sett_model,,,,,,,,0.005514468419496485,0.011345594073042838,0.0006205015886410891,0.0009797460328731557
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.005484563197767701,0.8066469214834022,0.0010315686953902945,0.005459702529734157
36,sett_model,sett_preprocess_income,,,,,,,,0.005381603065573837,0.009619548013208084,0.0006195484396642903,0.0008320173826911478
178,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,,,,,,0.00525450783042604,0.1341580045377433,0.00051903540500483,0.003363114295684188
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.004950896454583574,0.08985692819842403,0.0005083597347695182,0.0016604143501313961
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.004834010264090535,0.02556070261141628,0.0004740118335891177,0.001980866802569581
2,sett_exclude_features,,,,,,,,,0.004782438727721525,0.004782438727721525,0.00039544963427787656,0.00039544963427787656
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.004389445501960642,0.8122872211041365,0.0005972757517784249,0.0038098235654685716
12,sett_cutoff,sett_model,,,,,,,,0.0041251369369650175,0.08689059758482089,0.0004076394928578998,0.0017413909012496294
42,sett_preprocess_income,sett_scale,,,,,,,,0.004099628845401051,0.011040839860307718,0.00046643756473183697,0.0010735046222971614
7,sett_scale,,,,,,,,,0.003751952993097246,0.003751952993097246,0.0005828718034904029,0.0005828718034904029
70,sett_cutoff,sett_preprocess_income,sett_scale,,,,,,,0.003624519342768642,0.10185656298706601,0.0005352522973864507,0.0022689075999153484
38,sett_model,sett_stratify_split,,,,,,,,0.003487822359812356,0.37707693831229516,0.0005194784074110508,0.002636037264891321
102,sett_exclude_features,sett_model,sett_stratify_split,,,,,,,0.003264386660254633,0.3922131402316083,0.0004951708217915096,0.0030500216522396937
37,sett_model,sett_scale,,,,,,,,0.0032555624956193633,0.008056202414541434,0.0003199225266700638,0.0007595229884038005
6,sett_preprocess_income,,,,,,,,,0.003189258021809421,0.003189258021809421,0.00048328326486403835,0.00048328326486403835
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.003144945935530562,0.01103236308279887,0.00030321146105630935,0.0007005603316729632
3,sett_exclude_subgroups,,,,,,,,,0.0031049784195467827,0.0031049784195467827,0.0003630422689087993,0.0003630422689087993
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.0028241561970665614,0.7784486206476409,0.0006398856606170799,0.004005466745806805
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.0025006049106987907,0.8340989936564788,0.0004875659475657398,0.005391327414635098
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.0022923984867112557,0.7751684192721896,0.0003018363556189949,0.004755488054387865
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.002261989627017496,0.7736317635510124,0.0004026005657635634,0.004666476764883827
