,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.3725801832115111,0.3725801832115111,0.0025990506605526606,0.0025990506605526606
16,sett_cutoff,sett_stratify_split,,,,,,,,0.31212972377248516,0.7668615981745774,0.0027037827382068616,0.00367096428645276
0,sett_cutoff,,,,,,,,,0.08215169119058127,0.08215169119058127,0.001703757541289848,0.001703757541289848
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.007414714831515723,0.811122840551133,0.001469048804324719,0.0037512707302996434
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.0074131200329878195,0.7827565934716669,0.0005159955776523963,0.00344491644415951
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.006046884664626675,0.1066165254923033,0.0007952158820557853,0.002320008858753201
25,sett_exclude_features,sett_model,,,,,,,,0.005677226995580904,0.011801146726227342,0.0007829331664227862,0.0009009404756051214
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.005374003338984284,0.09023715518247624,0.0004581518023776111,0.0018360975786752476
36,sett_model,sett_preprocess_income,,,,,,,,0.005208588991412226,0.008931111525019613,0.000804340933161965,0.0008476979287155363
2,sett_exclude_features,,,,,,,,,0.005112857849949753,0.005112857849949753,0.0005309048951443406,0.0005309048951443406
178,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,,,,,,0.004890817267509076,0.13158482999746715,0.0007995718546824073,0.003489738452641932
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.004277315526697623,0.8133967925324531,0.0006418273623506188,0.00355844281615454
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.0042120912565100106,0.023849381360178452,0.00043837681856598385,0.0017965241491631051
12,sett_cutoff,sett_model,,,,,,,,0.0041128347730914495,0.0872755878443694,0.00040230589799729674,0.002016952945192248
42,sett_preprocess_income,sett_scale,,,,,,,,0.003869501117726642,0.010259371121877203,0.0004815979367968669,0.0009780782509714494
