,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.3732410708325667,0.3732410708325667,0.003576418714217943,0.003576418714217943
16,sett_cutoff,sett_stratify_split,,,,,,,,0.3120446363571586,0.7651895247963801,0.0038305715789489444,0.004795469658068583
0,sett_cutoff,,,,,,,,,0.07990381760665485,0.07990381760665485,0.0017280137273603835,0.0017280137273603835
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.006966788498681241,0.7801545985720446,0.0005077728044434355,0.0049686042335277646
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.0069226271606063604,0.8090997882329747,0.0009754855816812383,0.004818722967885299
36,sett_model,sett_preprocess_income,,,,,,,,0.006158569965237886,0.009953214202131995,0.0007956404286953687,0.0007397495909100092
25,sett_exclude_features,sett_model,,,,,,,,0.005946908273496652,0.012317306648665594,0.0007251537149921436,0.000992251060565299
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.005902167002842613,0.10450061923724702,0.00041521329263525733,0.0017774103076178252
2,sett_exclude_features,,,,,,,,,0.005569645000215737,0.005569645000215737,0.0005295955410842581,0.0005295955410842581
178,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,,,,,,0.004914433743392288,0.1299123285892796,0.0005321724806269313,0.0027387463756714508
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.004681427263302758,0.08757913573189852,0.000464012592595673,0.0017784659902194088
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.004654306674362412,0.025127725434116024,0.0006675000274234433,0.00185557200078437
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.004591140278173814,0.8104717079881276,0.0007399900972210939,0.004833997701574283
12,sett_cutoff,sett_model,,,,,,,,0.004059993162314785,0.08476456414392285,0.0003017585970610566,0.0017375286357005498
102,sett_exclude_features,sett_model,sett_stratify_split,,,,,,,0.0036306682015649276,0.3941988773974382,0.000598953809475453,0.0037802317070709003
42,sett_preprocess_income,sett_scale,,,,,,,,0.0035987250155488366,0.010045682034850107,0.000620755457788831,0.0009328004262287245
37,sett_model,sett_scale,,,,,,,,0.0034684133847124156,0.007722232917025984,0.0003917773341604895,0.0005679200836189426
7,sett_scale,,,,,,,,,0.0034530661573603646,0.0034530661573603646,0.00030882364536422637,0.00030882364536422637
70,sett_cutoff,sett_preprocess_income,sett_scale,,,,,,,0.0033446900443965854,0.09852888455653884,0.00035863894832587236,0.0019350193149927667
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.0032668437037169915,0.011728792551727197,0.0004957335040641957,0.0009700257036165507
38,sett_model,sett_stratify_split,,,,,,,,0.003137538739715204,0.3771793629472351,0.00034709026389030716,0.0037357774720827965
6,sett_preprocess_income,,,,,,,,,0.002993890861940906,0.002993890861940906,0.000275956157253796,0.000275956157253796
3,sett_exclude_subgroups,,,,,,,,,0.002892303847794468,0.002892303847794468,0.0002134270105225876,0.0002134270105225876
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.0025416739503004515,0.7770585725917954,0.00045625691809788704,0.004593915092471735
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.002445715504173357,0.775929389057562,0.00033106592220021676,0.005051191975014317
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.0024051006679108866,0.837475548792231,0.00025878455734399796,0.004630175182844133
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.002344521266358071,0.7938534488706723,0.00040228531734460773,0.0048384241695666255
