,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.37279509886457807,0.37279509886457807,0.0030913196776978917,0.0030913196776978917
16,sett_cutoff,sett_stratify_split,,,,,,,,0.30881366845044184,0.7628523105884646,0.0042848105053897205,0.006330860408436841
0,sett_cutoff,,,,,,,,,0.08124354327344466,0.08124354327344466,0.0021637466167888407,0.0021637466167888407
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.006872696163368267,0.7777219471697872,0.0006412879219277131,0.006312053580129275
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.00651694222874497,0.8037004657665396,0.0008463460674296568,0.0060755208350292194
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.0062678675436938745,0.10697788250343829,0.00047100214958673155,0.0018773060518279905
36,sett_model,sett_preprocess_income,,,,,,,,0.005722906206538678,0.009709355171275351,0.0005658555788123358,0.000738730634688045
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.005518717774416324,0.08974426121339849,0.000563297731847207,0.0018239277019765306
25,sett_exclude_features,sett_model,,,,,,,,0.005260041983378362,0.011242419136134333,0.0007180083967399639,0.0006341223334712782
2,sett_exclude_features,,,,,,,,,0.004977928353556805,0.004977928353556805,0.0005349626243046901,0.0005349626243046901
178,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,,,,,,0.004948633991621183,0.13311621992941342,0.0008329377807045045,0.003329300397741949
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.004445426586337818,0.025211260299196774,0.0006303733943043451,0.001156385849203107
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.004351608353531045,0.8096461260547987,0.0006679672993082299,0.0043697796219091915
12,sett_cutoff,sett_model,,,,,,,,0.0042383987406080775,0.0864863908132519,0.00035692005185860854,0.0021400679436476217
7,sett_scale,,,,,,,,,0.0040767703083334625,0.0040767703083334625,0.0004585133290445298,0.0004585133290445298
70,sett_cutoff,sett_preprocess_income,sett_scale,,,,,,,0.003898317848500035,0.1017925699136355,0.0006854955901888897,0.002388841755130642
