,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
16,sett_cutoff,sett_stratify_split,,,,,,,,0.4443916651581574,0.8002307908760894,0.0009783332991498159,0.0010811632048772263
8,sett_stratify_split,,,,,,,,,0.28995815771409783,0.28995815771409783,0.00039228953364781857,0.00039228953364781857
0,sett_cutoff,,,,,,,,,0.0658809680038342,0.0658809680038342,0.00028874759381350743,0.00028874759381350743
178,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,,,,,,0.009152506276059225,0.12194852967446754,0.00011741097646314929,0.0005075953805500031
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.008699477768622432,0.8192100795662453,0.00016108466088521337,0.0010709836773404788
2,sett_exclude_features,,,,,,,,,0.007787173733164931,0.007787173733164931,0.00013818844603871944,0.00013818844603871944
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.007705437701722032,0.09266854210248551,0.00013985991148239132,0.0003660730656675695
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.0069285013099144935,0.07570519329570931,0.00012068924288518997,0.00033250422336720983
70,sett_cutoff,sett_preprocess_income,sett_scale,,,,,,,0.006140105723660123,0.08743097293585263,0.00011690259527132251,0.00041513713494059374
38,sett_model,sett_stratify_split,,,,,,,,0.0046987119848598685,0.29574776834913996,9.456373706176317e-05,0.0004792692867575244
12,sett_cutoff,sett_model,,,,,,,,0.004490200286491311,0.07146206694050775,8.308511729400076e-05,0.0002904975246005082
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.0038268457517687112,0.8654934561386688,0.00018902777382230314,0.0009353606717202017
36,sett_model,sett_preprocess_income,,,,,,,,0.003676812168380621,0.007663434800523485,8.061561261481073e-05,9.046276943106819e-05
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.0036493611759709013,0.016820006764312688,6.420971823494548e-05,0.0001329453227319031
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.0033447561776534145,0.8133443676651455,0.00014059029208523873,0.0009429671041234006
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.0032020777548607765,0.8139288157148644,0.00014635485295035877,0.0011138327752314228
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.0031633820523587555,0.826421161604252,0.0002067142649959062,0.0009472514224449881
65,sett_cutoff,sett_model,sett_scale,,,,,,,0.003082916057624334,0.0793290460256458,5.7735125595204825e-05,0.0003247571672612809
6,sett_preprocess_income,,,,,,,,,0.0028957239819606207,0.0028957239819606207,6.579005952727614e-05,6.579005952727614e-05
102,sett_exclude_features,sett_model,sett_stratify_split,,,,,,,0.002609996533167925,0.3091975373333581,0.0001650491662328641,0.0006974401394774817
42,sett_preprocess_income,sett_scale,,,,,,,,0.0024710353111537225,0.0067335103475946725,8.49431686777077e-05,0.00010060563775364943
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.002447324889232048,0.8396831761216528,0.0001348161156478786,0.0009016094055621683
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0023892679457299644,0.8295777355605959,0.00013747120459335998,0.001082458051774324
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.002285190023609735,0.8474966888857494,9.503673269252626e-05,0.001120771684192384
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.0021939649843657903,0.011244226712298978,8.581147294524069e-05,0.00016747251465010755
323,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,0.0019578187376359684,0.8826235698433547,0.00011298552014657779,0.0011911521484418244
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0017720828756240111,0.805216349453786,0.00011722437038727307,0.0010550205581038661
304,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0017581508204568834,0.8735151249410628,0.0002122441211218606,0.001056520279634206
15,sett_cutoff,sett_scale,,,,,,,,0.0017478875508491428,0.06899560660916366,4.760293861265728e-05,0.00029878453708552223
184,sett_cutoff,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,,0.0017426808960946361,0.8278936642928978,0.00011680385063192369,0.0012120970465053064
223,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0017143969556853622,0.3196940889007693,8.812347903366574e-05,0.0007042558393079746
37,sett_model,sett_scale,,,,,,,,0.0016694244221842505,0.004127074126846824,4.7530029892136727e-05,6.489968385435201e-05
112,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,,0.0016488697552235507,0.3000431675314185,0.0001043968508959264,0.0005276778657832854
98,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.001563363878520361,0.30507941477596134,0.0001092129842886644,0.00046606606997627917
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.0015450906993051553,0.2992904221465679,0.00010530649239751245,0.0004453825288191025
25,sett_exclude_features,sett_model,,,,,,,,0.0015075080185800904,0.010385580401927266,7.210706392990912e-05,0.0001728067894831833
7,sett_scale,,,,,,,,,0.001366751054480329,0.001366751054480329,3.549880399783177e-05,3.549880399783177e-05
3,sett_exclude_subgroups,,,,,,,,,0.0012630879947682565,0.0012630879947682565,6.73001092465062e-05,6.73001092465062e-05
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.0011818119355653102,0.06832586793416776,6.374201273872495e-05,0.00029592696645926544
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.001170524446165193,0.07991408727679615,7.368037801394123e-05,0.0002973495401084038
4,sett_model,,,,,,,,,0.001090898650182244,0.001090898650182244,4.2660384334366885e-05,4.2660384334366885e-05
321,sett_cutoff,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,0.0010879788758138412,0.8534411572060966,0.00011818676668928985,0.0011198023189455683
150,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,0.0010807193872399638,0.09095149022692296,4.710696832344987e-05,0.0003202087081731191
283,sett_cutoff,sett_encode_categorical,sett_model,sett_preprocess_income,sett_scale,,,,,0.0010779461969363672,0.1261872034654472,7.36892146436757e-05,0.000581771612029817
251,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,,0.001026955852727988,0.3062107579573679,9.234288573660672e-05,0.0005291348724100914
487,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,0.0009908912774268766,0.9227769999428963,0.00011226808536143235,0.0013684059125399818
420,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,0.0009796921683784567,0.9043348916942288,0.00014503808732991996,0.001032624935499219
177,sett_cutoff,sett_model,sett_preprocess_age,sett_stratify_split,,,,,,0.0009753944418932014,0.8212731898444856,0.00012703856430711354,0.0010555531866622491
141,sett_cutoff,sett_encode_categorical,sett_model,sett_preprocess_income,,,,,,0.0009362662919732252,0.0948205267959572,4.534638701629944e-05,0.00038910303935285357
123,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,,0.0009211445870166723,0.303913170878537,5.449456533449328e-05,0.000526556622240107
302,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_age,sett_stratify_split,,,,,0.0008988935364996351,0.8451639798679438,0.00010461995808363563,0.0010012340960693044
234,sett_exclude_features,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.0008732020527228365,0.3193278869203734,0.00010198785314911862,0.0008464477870647208
427,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,0.0008315222700612368,0.8854344119215631,9.75125592632114e-05,0.0012330260381003956
163,sett_cutoff,sett_exclude_features,sett_preprocess_income,sett_stratify_split,,,,,,0.0008258537970981901,0.8290133859318052,0.00011838162885011315,0.0008731296380829128
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.0007946903253714482,0.0819879951965567,3.7833895454520485e-05,0.0002939884457610483
34,sett_exclude_subgroups,sett_stratify_split,,,,,,,,0.0007685757717389766,0.29198982148060504,6.943345918149985e-05,0.0004234477251481399
232,sett_exclude_features,sett_model,sett_preprocess_age,sett_stratify_split,,,,,,0.0007461498888593384,0.3111560638477333,9.880817321733898e-05,0.0008377030667414833
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.0007294265665611689,0.015186925608170247,3.700929028789255e-05,0.00020219170209784755
58,sett_cutoff,sett_exclude_subgroups,sett_model,,,,,,,0.0007290940551528267,0.07525092658654192,2.5084889081501145e-05,0.00030853258136009725
43,sett_preprocess_income,sett_stratify_split,,,,,,,,0.0006717217920391438,0.29352560348809764,4.049893595754295e-05,0.0004375864791428193
299,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_scale,sett_stratify_split,,,,,0.0006709754797642293,0.8330081049843947,6.965176058383487e-05,0.0009399169302048716
284,sett_cutoff,sett_encode_categorical,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0006652137885740475,0.8519840974089903,7.015114993325837e-05,0.0011794872369336946
421,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_scale,sett_stratify_split,,,,0.0006467927710604501,0.8812206077494255,7.378148949083238e-05,0.0008591298110265632
418,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_stratify_split,,,,0.0006458738507911391,0.8734624882392624,6.322840267982629e-05,0.0010524919086558982
156,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,,,,,,0.0006367280963413356,0.10479529647357338,7.732600328043225e-05,0.00037574454674043793
414,sett_cutoff,sett_encode_categorical,sett_model,sett_preprocess_income,sett_scale,sett_stratify_split,,,,0.0006357295801093227,0.8912253398285661,5.754811193641568e-05,0.0013313756407560104
180,sett_cutoff,sett_model,sett_scale,sett_stratify_split,,,,,,0.000617254610209104,0.8283088177583453,5.1332674411959244e-05,0.0010831004898569938
30,sett_exclude_subgroups,sett_model,,,,,,,,0.0006148656605477667,0.002968852305498267,4.5087278730263605e-05,9.029755144048051e-05
253,sett_model,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,,0.0006073330870984732,0.31443540014881644,4.672270822705474e-05,0.0005250624912745936
143,sett_cutoff,sett_encode_categorical,sett_model,sett_stratify_split,,,,,,0.0005961135170301718,0.8210891866764624,4.128530145621685e-05,0.001081140353521159
298,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,0.0005898435602253769,0.8442035782075407,8.612750867434669e-05,0.0008998052330741452
502,sett_cutoff,sett_encode_categorical,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,0.0005708874745324969,0.9399543706589839,6.582322660533156e-05,0.0009850710513157719
175,sett_cutoff,sett_model,sett_preprocess_age,sett_preprocess_income,,,,,,0.0005648977015469127,0.09425256989604523,4.59164007705174e-05,0.0003959336308519598
371,sett_exclude_features,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,0.0005149630685524157,0.3240394787303052,7.431882582235644e-05,0.0010201409901033406
47,sett_cutoff,sett_encode_categorical,sett_model,,,,,,,0.0005022988893928029,0.07226194530760617,2.56753512036519e-05,0.0002939388366869944
364,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0004945584728669907,0.3315482314626784,4.560249642028726e-05,0.0008355264703180996
161,sett_cutoff,sett_exclude_features,sett_preprocess_age,sett_stratify_split,,,,,,0.0004941217482695595,0.8150053519914877,7.568342419714396e-05,0.0008712487718576591
315,sett_cutoff,sett_exclude_subgroups,sett_model,sett_scale,sett_stratify_split,,,,,0.0004930810247222084,0.8407065738219259,4.541627994406111e-05,0.0011091229666483021
107,sett_exclude_features,sett_preprocess_income,sett_stratify_split,,,,,,,0.0004873067145890615,0.30364334782296293,7.325749889680744e-05,0.0005422945591100297
469,sett_cutoff,sett_encode_categorical,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,0.000475619787942001,0.9153024585786943,8.052658715712333e-05,0.0010174583021737757
459,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,0.0004694226935038798,0.33827105865150564,4.3160624747838485e-05,0.0009692030007634423
174,sett_cutoff,sett_exclude_subgroups,sett_scale,sett_stratify_split,,,,,,0.0004501336448443759,0.8094864040622691,4.1359951253315364e-05,0.0010400985991447268
508,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_preprocess_income,sett_scale,sett_stratify_split,,0.0004452906610552725,0.9725927106179237,6.7663636888985e-05,0.0012178017109956087
432,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,0.0004385701095025737,0.8675292241157859,7.26760486832184e-05,0.001212110982748501
10,sett_cutoff,sett_exclude_features,,,,,,,,0.0004365561789324746,0.0741046979159316,3.7042654784490384e-05,0.0002907623122697971
314,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0004359820122325218,0.8595102820265821,5.38192694404741e-05,0.0011094502349313156
273,sett_cutoff,sett_encode_categorical,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.00042822555081659553,0.8327277456198083,8.808863540731681e-05,0.0011171852518534894
124,sett_model,sett_scale,sett_stratify_split,,,,,,,0.00042541801278954075,0.29923496648736425,4.7338995945530656e-05,0.00047942151590654606
423,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,0.00041857621128619415,0.8494268107203554,6.448255717553059e-05,0.0008719903750032111
164,sett_cutoff,sett_exclude_features,sett_scale,sett_stratify_split,,,,,,0.00040838765516085674,0.8176154522262489,4.018948623715816e-05,0.0009671094452802249
142,sett_cutoff,sett_encode_categorical,sett_model,sett_scale,,,,,,0.00040685202538783926,0.08065209255067102,2.9789378153149465e-05,0.0003379558901076476
305,sett_cutoff,sett_exclude_features,sett_model,sett_scale,sett_stratify_split,,,,,0.0004059848098626455,0.8507076059402887,5.248446464074568e-05,0.0009452879132035068
